ENSBBBP00000016292	ENSBBBG00000024247	Bison_bison_bison
ENSVPAP00000007606	ENSVPAG00000008172	Vicugna_pacos
ENSFDAP00000013183	ENSFDAG00000020503	Fukomys_damarensis
ENSMMMP00000017541	ENSMMMG00000015578	Marmota_marmota_marmota
ENSRBIP00000013264	ENSRBIG00000030652	Rhinopithecus_bieti
ENSLAFP00000013381	ENSLAFG00000015959	Loxodonta_africana
ENSPCAP00000008245	ENSPCAG00000008791	Procavia_capensis
ENSUAMP00000012254	ENSUAMG00000009942	Ursus_americanus
ENSPTRP00000047329	ENSPTRG00000028231	Pan_troglodytes
ENSPPRP00000029241	ENSPPRG00000021761	Panthera_pardus
ENSOARP00000002315	ENSOARG00000002194	Ovis_aries
ENSBIXP00005010722	ENSBIXG00005015449	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000004485	ENSCHIG00000008681	Capra_hircus
ENSP00000498643	ENSG00000286237	Homo_sapiens
ENSETEP00000006210	ENSETEG00000007644	Echinops_telfairi
ENSPSMP00000022347	ENSPSMG00000015795	Prolemur_simus	ENSPSMT00000025939
ENSCGRP00000009543	ENSCGRG00000006975	Cricetulus_griseus_CriGri_1.0
ENSPCAP00000008112	ENSPCAG00000008703	Procavia_capensis
ENSCCNP00000003053	ENSCCNG00000003314	Castor_canadensis
ENSTGEP00000015710	ENSTGEG00000012694	Theropithecus_gelada
ENSMNEP00000028215	ENSMNEG00000037536	Macaca_nemestrina
ENSCAFP00000037681	ENSCAFG00000017782	Canis_lupus_familiaris
ENSHGLP00100001416	ENSHGLG00100001118	Heterocephalus_glaber_HetGla_1.0
ENSMMUP00000004559	ENSMMUG00000003419	Macaca_mulatta
ENSVVUP00000002069	ENSVVUG00000001691	Vulpes_vulpes
ENSHGLP00000027934	ENSHGLG00000020036	Heterocephalus_glaber_HetGla_female_1.0
ENSMNEP00000005714	ENSMNEG00000025915	Macaca_nemestrina
ENSCATP00000036202	ENSCATG00000040920	Cercocebus_atys
ENSSDAP00000020862	ENSSDAG00000018991	Spermophilus_dauricus
ENSCGRP00001004820	ENSCGRG00001006208	Cricetulus_griseus_CHOK1GS_HDv1
ENSOCUP00000011239	ENSOCUG00000013059	Oryctolagus_cuniculus
ENSMAUP00000000527	ENSMAUG00000000434	Mesocricetus_auratus
ENSPPAP00000002271	ENSPPAG00000010256	Pan_paniscus
ENSMFAP00000014780	ENSMFAG00000030578	Macaca_fascicularis
ENSBTAP00000061599	ENSBTAG00000046608	Bos_taurus
ENSLAFP00000016142	ENSLAFG00000031232	Loxodonta_africana
ENSSARP00000012404	ENSSARG00000013737	Sorex_araneus
ENSCANP00000005062	ENSCANG00000017437	Colobus_angolensis_palliatus
ENSJJAP00000005257	ENSJJAG00000010211	Jaculus_jaculus
ENSRROP00000007447	ENSRROG00000027541	Rhinopithecus_roxellana
ENSPEMP00000016367	ENSPEMG00000015611	Peromyscus_maniculatus_bairdii
ENSUPAP00010012267	ENSUPAG00010009962	Urocitellus_parryii
ENSCATP00000041464	ENSCATG00000043402	Cercocebus_atys
