ENSCSAVP00000016995	ENSCSAVG00000009998	Ciona_savignyi
ENSCINP00000027686	ENSCING00000005847	Ciona_intestinalis
ENSPVIP00000022449	ENSPVIG00000016898	Pogona_vitticeps
ENSACAP00000012921	ENSACAG00000013133	Anolis_carolinensis
ENSNSUP00000019830	ENSNSUG00000014439	Notechis_scutatus
ENSSMRP00000010773	ENSSMRG00000008433	Salvator_merianae
ENSSPUP00000010167	ENSSPUG00000007839	Sphenodon_punctatus
ENSGALP00000017381	ENSGALG00000010699	Gallus_gallus
ENSCJPP00005013699	ENSCJPG00005011529	Coturnix_japonica
ENSMGAP00000010151	ENSMGAG00000009808	Meleagris_gallopavo
ENSNMEP00000005958	ENSNMEG00000006097	Numida_meleagris
ENSABRP00000003410	ENSABRG00000003185	Anser_brachyrhynchus
ENSAPLP00000002016	ENSAPLG00000002570	Anas_platyrhynchos_platyrhynchos
ENSCCEP00000021298	ENSCCEG00000019298	Cyanistes_caeruleus
ENSPMJP00000013291	ENSPMJG00000010119	Parus_major
ENSFALP00000010636	ENSFALG00000010192	Ficedula_albicollis
ENSZALP00000012943	ENSZALG00000010798	Zonotrichia_albicollis
ENSJHYP00000001231	ENSJHYG00000001051	Junco_hyemalis
ENSSCAP00000018258	ENSSCAG00000013169	Serinus_canaria
ENSTGUP00000001726	ENSTGUG00000001673	Taeniopygia_guttata
ENSLSDP00000024986	ENSLSDG00000017519	Lonchura_striata_domestica
ENSMVIP00005003926	ENSMVIG00005003008	Manacus_vitellinus
ENSLCOP00000016625	ENSLCOG00000011813	Lepidothrix_coronata
ENSMUNP00000001078	ENSMUNG00000000921	Melopsittacus_undulatus
ENSCPGP00000018538	ENSCPGG00000012951	Calidris_pygmaea
ENSCPUP00000013596	ENSCPUG00000009600	Calidris_pugnax
ENSAOWP00000010082	ENSAOWG00000006932	Apteryx_owenii
ENSAHAP00000010102	ENSAHAG00000007325	Apteryx_haastii
ENSARWP00000002537	ENSARWG00000001901	Apteryx_rowi
ENSNPEP00000018063	ENSNPEG00000013363	Nothoprocta_perdicaria
ENSDNVP00000000661	ENSDNVG00000000463	Dromaius_novaehollandiae
ENSCPRP00005020805	ENSCPRG00005014456	Crocodylus_porosus
ENSGAGP00000016314	ENSGAGG00000012221	Gopherus_agassizii
ENSCABP00000001212	ENSCABG00000000921	Chelonoidis_abingdonii
ENSCPBP00000034972	ENSCPBG00000024381	Chrysemys_picta_bellii
ENSPSIP00000004893	ENSPSIG00000004559	Pelodiscus_sinensis
ENSMOCP00000019630	ENSMOCG00000017559	Microtus_ochrogaster
ENSPEMP00000015295	ENSPEMG00000014859	Peromyscus_maniculatus_bairdii
ENSCGRP00015034270	ENSCGRG00015025825	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001024867	ENSCGRG00001022654	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000004143	ENSCGRG00000003048	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008555	ENSMAUG00000009947	Mesocricetus_auratus
ENSMSIP00000003908	ENSMSIG00000003604	Mus_spicilegus
ENSMUSP00000039301	ENSMUSG00000042447	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0075396	MGP_SPRETEiJ_G0029095	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0072556	MGP_CAROLIEiJ_G0028095	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0048688	MGP_PahariEiJ_G0021851	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075737	ENSRNOG00000007924	Rattus_norvegicus
