ENSMAMP00000012100	ENSMAMG00000008181	Mastacembelus_armatus
ENSMALP00000020427	ENSMALG00000014274	Monopterus_albus
ENSATEP00000025037	ENSATEG00000017374	Anabas_testudineus
ENSSLDP00000009576	ENSSLDG00000007619	Seriola_lalandi_dorsalis
ENSSDUP00000008937	ENSSDUG00000006574	Seriola_dumerili
ENSLCAP00010001091	ENSLCAG00010000676	Lates_calcarifer
ENSACLP00000008293	ENSACLG00000005643	Astatotilapia_calliptera
ENSMZEP00005032540	ENSMZEG00005024241	Maylandia_zebra
ENSHBUP00000025382	ENSHBUG00000007329	Haplochromis_burtoni
ENSPNYP00000004701	ENSPNYG00000003646	Pundamilia_nyererei
ENSNBRP00000020520	ENSNBRG00000015784	Neolamprologus_brichardi
ENSONIP00000019132	ENSONIG00000015201	Oreochromis_niloticus
ENSACIP00000016117	ENSACIG00000012530	Amphilophus_citrinellus
ENSPRNP00000056583	ENSPRNG00000026426	Parambassis_ranga
ENSLCRP00005027681	ENSLCRG00005011010	Larimichthys_crocea
ENSLBEP00000006589	ENSLBEG00000005086	Labrus_bergylta
ENSCGOP00000056732	ENSCGOG00000024622	Cottoperca_gobio
ENSTNIP00000006848	ENSTNIG00000004224	Tetraodon_nigroviridis
ENSTRUP00000016728	ENSTRUG00000006811	Takifugu_rubripes
ENSMMOP00000025773	ENSMMOG00000019540	Mola_mola
ENSXMAP00000024430	ENSXMAG00000025637	Xiphophorus_maculatus
ENSGAFP00000031140	ENSGAFG00000020997	Gambusia_affinis
ENSPLAP00000028792	ENSPLAG00000018451	Poecilia_latipinna
ENSPMEP00000034224	ENSPMEG00000000511	Poecilia_mexicana
ENSPFOP00000003291	ENSPFOG00000003422	Poecilia_formosa
ENSPREP00000002271	ENSPREG00000001671	Poecilia_reticulata
ENSFHEP00000035061	ENSFHEG00000023089	Fundulus_heteroclitus
ENSCVAP00000022637	ENSCVAG00000000657	Cyprinodon_variegatus
ENSKMAP00000024313	ENSKMAG00000018036	Kryptolebias_marmoratus
ENSORLP00000003789	ENSORLG00000003033	Oryzias_latipes_ASM223467v1
ENSORLP00015008883	ENSORLG00015009689	Oryzias_latipes_ASM223469v1
ENSOMEP00000035458	ENSOMEG00000022740	Oryzias_melastigma
ENSBSLP00000045222	ENSBSLG00000021601	Betta_splendens
ENSGACP00000023512	ENSGACG00000017792	Gasterosteus_aculeatus
ENSAPEP00000028363	ENSAPEG00000020131	Amphiprion_percula
ENSAOCP00000004041	ENSAOCG00000007405	Amphiprion_ocellaris
ENSAPOP00000005919	ENSAPOG00000007685	Acanthochromis_polyacanthus
ENSSPAP00000016312	ENSSPAG00000012295	Stegastes_partitus
ENSSMAP00000017142	ENSSMAG00000010500	Scophthalmus_maximus
ENSCSEP00000033253	ENSCSEG00000021343	Cynoglossus_semilaevis
ENSGWIP00000052520	ENSGWIG00000025337	Gouania_willdenowi
ENSHCOP00000023676	ENSHCOG00000012413	Hippocampus_comes
ENSPMGP00000012180	ENSPMGG00000010055	Periophthalmus_magnuspinnatus
ENSGMOP00000011593	ENSGMOG00000010846	Gadus_morhua
ENSHHUP00000008860	ENSHHUG00000005420	Hucho_hucho
ENSHHUP00000089986	ENSHHUG00000051957	Hucho_hucho
ENSELUP00000027756	ENSELUG00000004094	Esox_lucius
ENSAMXP00005009711	ENSAMXG00005005496	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000050139	ENSAMXG00000034872	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000020547	ENSPNAG00000027441	Pygocentrus_nattereri
ENSIPUP00000022830	ENSIPUG00000015463	Ictalurus_punctatus
ENSEEEP00000026916	ENSEEEG00000012993	Electrophorus_electricus
ENSDARP00000029765	ENSDARG00000023303	Danio_rerio
ENSDCDP00000003374	ENSDCDG00000001736	Denticeps_clupeoides
ENSSFOP00015019059	ENSSFOG00015012268	Scleropages_formosus
ENSPKIP00000025266	ENSPKIG00000008203	Paramormyrops_kingsleyae
ENSXCOP00000026012	ENSXCOG00000019440	Xiphophorus_couchianus
ENSLOCP00000000890	ENSLOCG00000000804	Lepisosteus_oculatus
ENSECRP00000002416	ENSECRG00000001650	Erpetoichthys_calabaricus
