ENSPMAP00000001975	ENSPMAG00000001790	Petromyzon_marinus	ENSPMAT00000001985
ENSEBUP00000016095	ENSEBUG00000010124	Eptatretus_burgeri	ENSEBUT00000016671
ENSCHAP00000033091	ENSCHAG00000015665	Clupea_harengus
ENSDCDP00000042922	ENSDCDG00000027532	Denticeps_clupeoides
ENSAMXP00000032574	ENSAMXG00000006911	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005052694	ENSAMXG00005023640	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000023647	ENSPNAG00000008196	Pygocentrus_nattereri
ENSIPUP00000026184	ENSIPUG00000017601	Ictalurus_punctatus
ENSEEEP00000009004	ENSEEEG00000004448	Electrophorus_electricus
ENSDARP00000121021	ENSDARG00000004634	Danio_rerio
ENSCGOP00000036353	ENSCGOG00000016693	Cottoperca_gobio
ENSGACP00000022399	ENSGACG00000016955	Gasterosteus_aculeatus
ENSLCRP00005047912	ENSLCRG00005018126	Larimichthys_crocea
ENSMMOP00000005042	ENSMMOG00000004025	Mola_mola
ENSLBEP00000001505	ENSLBEG00000000949	Labrus_bergylta
ENSSMAP00000001616	ENSSMAG00000000918	Scophthalmus_maximus
ENSCSEP00000003010	ENSCSEG00000001971	Cynoglossus_semilaevis
ENSSLDP00000031653	ENSSLDG00000024312	Seriola_lalandi_dorsalis
ENSSDUP00000026383	ENSSDUG00000019142	Seriola_dumerili
ENSLCAP00010037819	ENSLCAG00010017717	Lates_calcarifer
ENSMAMP00000018583	ENSMAMG00000012504	Mastacembelus_armatus
ENSMALP00000026254	ENSMALG00000018224	Monopterus_albus
ENSATEP00000015230	ENSATEG00000010615	Anabas_testudineus
ENSBSLP00000016085	ENSBSLG00000008418	Betta_splendens
ENSAOCP00000000055	ENSAOCG00000002875	Amphiprion_ocellaris
ENSAPEP00000003899	ENSAPEG00000002726	Amphiprion_percula
ENSAPOP00000030578	ENSAPOG00000017245	Acanthochromis_polyacanthus
ENSSPAP00000017367	ENSSPAG00000013108	Stegastes_partitus
ENSPRNP00000014380	ENSPRNG00000007761	Parambassis_ranga
ENSCVAP00000008051	ENSCVAG00000009794	Cyprinodon_variegatus
ENSFHEP00000009090	ENSFHEG00000010325	Fundulus_heteroclitus
ENSPFOP00000007306	ENSPFOG00000007407	Poecilia_formosa
ENSPLAP00000015664	ENSPLAG00000019625	Poecilia_latipinna
ENSPMEP00000002370	ENSPMEG00000003457	Poecilia_mexicana
ENSPREP00000000101	ENSPREG00000000101	Poecilia_reticulata
ENSXMAP00000007845	ENSXMAG00000007816	Xiphophorus_maculatus
ENSXCOP00000006850	ENSXCOG00000005294	Xiphophorus_couchianus
ENSGAFP00000020633	ENSGAFG00000013926	Gambusia_affinis
ENSKMAP00000007558	ENSKMAG00000005675	Kryptolebias_marmoratus
