ENSTRUP00000052373	ENSTRUG00000005982	Takifugu_rubripes
ENSTNIP00000006425	ENSTNIG00000003824	Tetraodon_nigroviridis
ENSMMOP00000015206	ENSMMOG00000011606	Mola_mola
ENSMAMP00000005662	ENSMAMG00000003827	Mastacembelus_armatus
ENSSMAP00000025695	ENSSMAG00000015719	Scophthalmus_maximus
ENSGACP00000024036	ENSGACG00000018182	Gasterosteus_aculeatus
ENSXCOP00000006945	ENSXCOG00000005371	Xiphophorus_couchianus
ENSGAFP00000005364	ENSGAFG00000003655	Gambusia_affinis
ENSPFOP00000011327	ENSPFOG00000011257	Poecilia_formosa
ENSPMEP00000001410	ENSPMEG00000002321	Poecilia_mexicana
ENSPFOP00000011519	ENSPFOG00000011436	Poecilia_formosa
ENSPMEP00000005109	ENSPMEG00000006433	Poecilia_mexicana
ENSPLAP00000021065	ENSPLAG00000004502	Poecilia_latipinna
ENSXMAP00000040763	ENSXMAG00000001746	Xiphophorus_maculatus
ENSPREP00000032796	ENSPREG00000022222	Poecilia_reticulata
ENSFHEP00000013127	ENSFHEG00000014661	Fundulus_heteroclitus
ENSCVAP00000028926	ENSCVAG00000016360	Cyprinodon_variegatus
ENSORLP00015021130	ENSORLG00015022359	Oryzias_latipes_ASM223469v1
ENSORLP00000036675	ENSORLG00000012185	Oryzias_latipes_ASM223467v1
ENSORLP00020025967	ENSORLG00020008218	Oryzias_latipes_ASM223471v1
ENSOMEP00000033386	ENSOMEG00000019366	Oryzias_melastigma
ENSBSLP00000045518	ENSBSLG00000021679	Betta_splendens
ENSCGOP00000055394	ENSCGOG00000024138	Cottoperca_gobio
ENSLCRP00005019856	ENSLCRG00005008111	Larimichthys_crocea
ENSLBEP00000029695	ENSLBEG00000022445	Labrus_bergylta
ENSSLDP00000027458	ENSSLDG00000021297	Seriola_lalandi_dorsalis
ENSSDUP00000027737	ENSSDUG00000020022	Seriola_dumerili
ENSLCAP00010005264	ENSLCAG00010002642	Lates_calcarifer
ENSMALP00000007615	ENSMALG00000005423	Monopterus_albus
ENSATEP00000002680	ENSATEG00000001927	Anabas_testudineus
ENSAPEP00000021596	ENSAPEG00000015385	Amphiprion_percula
ENSAOCP00000005121	ENSAOCG00000002553	Amphiprion_ocellaris
ENSAPOP00000014403	ENSAPOG00000017322	Acanthochromis_polyacanthus
ENSSPAP00000011573	ENSSPAG00000008784	Stegastes_partitus
ENSPRNP00000008111	ENSPRNG00000004798	Parambassis_ranga
