ENSOCUP00000006641	ENSOCUG00000007669	Oryctolagus_cuniculus
ENSONIP00000010460	ENSONIG00000008315	Oreochromis_niloticus
ENSSCAP00000000986	ENSSCAG00000000813	Serinus_canaria
ENSATEP00000019021	ENSATEG00000013127	Anabas_testudineus
ENSKMAP00000029381	ENSKMAG00000021694	Kryptolebias_marmoratus
ENSPLAP00000005507	ENSPLAG00000007602	Poecilia_latipinna
ENSPMGP00000013082	ENSPMGG00000010781	Periophthalmus_magnuspinnatus
ENSXETP00000051241	ENSXETG00000020418	Xenopus_tropicalis
ENSAPOP00000010284	ENSAPOG00000012850	Acanthochromis_polyacanthus
ENSDNVP00000026794	ENSDNVG00000018623	Dromaius_novaehollandiae
ENSSMAP00000012716	ENSSMAG00000007750	Scophthalmus_maximus
ENSMAUP00000001784	ENSMAUG00000001195	Mesocricetus_auratus
ENSJHYP00000022944	ENSJHYG00000016532	Junco_hyemalis
ENSBTAP00000008516	ENSBTAG00000006489	Bos_taurus
ENSMGAP00000007870	ENSMGAG00000007708	Meleagris_gallopavo
ENSAOWP00000020537	ENSAOWG00000013893	Apteryx_owenii
ENSSFOP00015029114	ENSSFOG00015018643	Scleropages_formosus
ENSEASP00005014327	ENSEASG00005009982	Equus_asinus_asinus
ENSMLUP00000006416	ENSMLUG00000006954	Myotis_lucifugus
ENSFALP00000012419	ENSFALG00000011894	Ficedula_albicollis
ENSVURP00010006485	ENSVURG00010005015	Vombatus_ursinus
ENSRBIP00000006613	ENSRBIG00000026539	Rhinopithecus_bieti
MGP_PahariEiJ_P0024339	MGP_PahariEiJ_G0015301	Mus_pahari_strain_PAHARI_EIJ
ENSSLDP00000026469	ENSSLDG00000017369	Seriola_lalandi_dorsalis
ENSCMIP00000048543	ENSCMIG00000019635	Callorhinchus_milii
ENSORLP00000006863	ENSORLG00000005448	Oryzias_latipes_ASM223467v1
MGP_SPRETEiJ_P0092344	MGP_SPRETEiJ_G0033575	Mus_spretus_strain_SPRET/EiJ
ENSTSYP00000002309	ENSTSYG00000002504	Carlito_syrichta
ENSPREP00000008073	ENSPREG00000005450	Poecilia_reticulata
ENSSPUP00000006811	ENSSPUG00000005207	Sphenodon_punctatus	ENSSPUT00000007246
ENSDCDP00000051919	ENSDCDG00000029826	Denticeps_clupeoides
ENSNMEP00000026765	ENSNMEG00000022454	Numida_meleagris
ENSMMOP00000016739	ENSMMOG00000012752	Mola_mola
ENSUMAP00000032129	ENSUMAG00000020539	Ursus_maritimus
ENSMEUP00000014340	ENSMEUG00000015684	Notamacropus_eugenii
ENSLOCP00000016516	ENSLOCG00000013374	Lepisosteus_oculatus
ENSLBEP00000021092	ENSLBEG00000016205	Labrus_bergylta
ENSARWP00000002249	ENSARWG00000001714	Apteryx_rowi
ENSGACP00000021810	ENSGACG00000016512	Gasterosteus_aculeatus
ENSCPBP00000040882	ENSCPBG00000027893	Chrysemys_picta_bellii
