ENSEBUP00000021865	ENSEBUG00000013485	Eptatretus_burgeri
ENSPMAP00000001916	ENSPMAG00000001717	Petromyzon_marinus
ENSXETP00000000151	ENSXETG00000000377	Xenopus_tropicalis	ENSXETT00000002686
ENSXETP00000013929	ENSXETG00000000714	Xenopus_tropicalis	ENSXETT00000001506
ENSMVIP00005002619	ENSMVIG00005002039	Manacus_vitellinus
ENSLCOP00000013187	ENSLCOG00000009292	Lepidothrix_coronata
ENSTGUP00000002717	ENSTGUG00000002633	Taeniopygia_guttata
ENSTGUP00000015201	ENSTGUG00000014844	Taeniopygia_guttata
ENSSCAP00000010001	ENSSCAG00000007610	Serinus_canaria
ENSJHYP00000004636	ENSJHYG00000003818	Junco_hyemalis
ENSLSDP00000014669	ENSLSDG00000010591	Lonchura_striata_domestica
ENSFALP00000012507	ENSFALG00000011920	Ficedula_albicollis
ENSPMJP00000015665	ENSPMJG00000011885	Parus_major
ENSCCEP00000016782	ENSCCEG00000015624	Cyanistes_caeruleus
ENSCPGP00000026722	ENSCPGG00000018414	Calidris_pygmaea
ENSCPUP00000026748	ENSCPUG00000017991	Calidris_pugnax
ENSMUNP00000017136	ENSMUNG00000013170	Melopsittacus_undulatus
ENSAPLP00000019780	ENSAPLG00000007441	Anas_platyrhynchos_platyrhynchos
ENSABRP00000017964	ENSABRG00000015477	Anser_brachyrhynchus
ENSMGAP00000008800	ENSMGAG00000008330	Meleagris_gallopavo
ENSCJPP00005007860	ENSCJPG00005007128	Coturnix_japonica
ENSGALP00000015272	ENSGALG00000009382	Gallus_gallus
ENSNMEP00000016662	ENSNMEG00000014654	Numida_meleagris
ENSAOWP00000005709	ENSAOWG00000003912	Apteryx_owenii
ENSAHAP00000001842	ENSAHAG00000001534	Apteryx_haastii
ENSDNVP00000021651	ENSDNVG00000015121	Dromaius_novaehollandiae
ENSNPEP00000002853	ENSNPEG00000002191	Nothoprocta_perdicaria
ENSCABP00000024280	ENSCABG00000017900	Chelonoidis_abingdonii
ENSCPBP00000016880	ENSCPBG00000012414	Chrysemys_picta_bellii
ENSSMRP00000000474	ENSSMRG00000000452	Salvator_merianae
ENSCPRP00005003872	ENSCPRG00005002834	Crocodylus_porosus
ENSCPRP00005003892	ENSCPRG00005002837	Crocodylus_porosus
ENSCPBP00000016879	ENSCPBG00000012412	Chrysemys_picta_bellii
ENSCABP00000024279	ENSCABG00000017898	Chelonoidis_abingdonii
ENSGAGP00000005707	ENSGAGG00000004631	Gopherus_agassizii
ENSPSIP00000016058	ENSPSIG00000014086	Pelodiscus_sinensis
ENSPVIP00000018540	ENSPVIG00000014122	Pogona_vitticeps	ENSPVIT00000023024
ENSACAP00000003082	ENSACAG00000002512	Anolis_carolinensis	ENSACAT00000003160
ENSNSUP00000013304	ENSNSUG00000009947	Notechis_scutatus
ENSSPUP00000009192	ENSSPUG00000007013	Sphenodon_punctatus
ENSCCAP00000026253	ENSCCAG00000030926	Cebus_capucinus_imitator
ENSSBOP00000007972	ENSSBOG00000020907	Saimiri_boliviensis_boliviensis
ENSCJAP00000019590	ENSCJAG00000008270	Callithrix_jacchus
ENSANAP00000003276	ENSANAG00000019551	Aotus_nancymaae
ENSGGOP00000030133	ENSGGOG00000034990	Gorilla_gorilla
ENSPPYP00000000190	ENSPPYG00000000188	Pongo_abelii
ENSPTRP00000088678	ENSPTRG00000043346	Pan_troglodytes
ENSPPAP00000024503	ENSPPAG00000035387	Pan_paniscus
ENSP00000355837	ENSG00000203697	Homo_sapiens
ENSNLEP00000033293	ENSNLEG00000013334	Nomascus_leucogenys
ENSCANP00000003754	ENSCANG00000013240	Colobus_angolensis_palliatus
ENSPTEP00000004532	ENSPTEG00000005291	Piliocolobus_tephrosceles
ENSRBIP00000029807	ENSRBIG00000038782	Rhinopithecus_bieti
ENSRROP00000022070	ENSRROG00000034922	Rhinopithecus_roxellana
ENSCSAP00000012104	ENSCSAG00000016122	Chlorocebus_sabaeus
ENSCATP00000026490	ENSCATG00000036644	Cercocebus_atys
ENSMLEP00000040004	ENSMLEG00000044021	Mandrillus_leucophaeus
ENSPANP00000002457	ENSPANG00000005933	Papio_anubis
ENSTGEP00000006214	ENSTGEG00000005083	Theropithecus_gelada
ENSMMUP00000047933	ENSMMUG00000042038	Macaca_mulatta
ENSMFAP00000007132	ENSMFAG00000042857	Macaca_fascicularis
ENSMNEP00000006696	ENSMNEG00000027844	Macaca_nemestrina
ENSTSYP00000008383	ENSTSYG00000009134	Carlito_syrichta
ENSMICP00000037748	ENSMICG00000027054	Microcebus_murinus
ENSPSMP00000001140	ENSPSMG00000000823	Prolemur_simus
ENSPCOP00000017126	ENSPCOG00000020364	Propithecus_coquereli
ENSOGAP00000008176	ENSOGAG00000009120	Otolemur_garnettii
ENSTBEP00000002562	ENSTBEG00000002984	Tupaia_belangeri
MGP_SPRETEiJ_P0022796	MGP_SPRETEiJ_G0015803	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000019568	ENSMSIG00000016604	Mus_spicilegus
ENSMUSP00000047164	ENSMUSG00000038599	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0021722	MGP_CAROLIEiJ_G0015003	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0076968	MGP_PahariEiJ_G0028235	Mus_pahari_strain_PAHARI_EIJ
