ENSUMAP00000016814	ENSUMAG00000012354	Ursus_maritimus	ENSUMAT00000019883
ENSUAMP00000001230	ENSUAMG00000001191	Ursus_americanus	ENSUAMT00000001420
ENSAMEP00000000762	ENSAMEG00000000731	Ailuropoda_melanoleuca	ENSAMET00000000788
ENSNVIP00000031134	ENSNVIG00000023965	Neovison_vison	ENSNVIT00000036064
ENSCAFP00020033611	ENSCAFG00020026085	Canis_lupus_dingo
ENSVVUP00000001720	ENSVVUG00000001344	Vulpes_vulpes
ENSPTIP00000020911	ENSPTIG00000018227	Panthera_tigris_altaica
ENSPPRP00000022923	ENSPPRG00000013293	Panthera_pardus
ENSFCAP00000009226	ENSFCAG00000009942	Felis_catus
ENSSARP00000006281	ENSSARG00000006907	Sorex_araneus
ENSPVAP00000010676	ENSPVAG00000011324	Pteropus_vampyrus
ENSOARP00000015321	ENSOARG00000014272	Ovis_aries
ENSCHIP00000010138	ENSCHIG00000012756	Capra_hircus
ENSBIXP00005020351	ENSBIXG00005023465	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000064611	ENSBTAG00000038063	Bos_taurus
ENSBMUP00000012120	ENSBMUG00000009290	Bos_mutus
ENSBBBP00000003542	ENSBBBG00000012591	Bison_bison_bison
ENSBIXP00000031314	ENSBIXG00000013576	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVPAP00000005729	ENSVPAG00000006177	Vicugna_pacos
ENSEASP00005017918	ENSEASG00005012370	Equus_asinus_asinus
ENSECAP00000012161	ENSECAG00000014492	Equus_caballus
ENSPSMP00000003500	ENSPSMG00000002864	Prolemur_simus
ENSMICP00000017494	ENSMICG00000014733	Microcebus_murinus
ENSPCOP00000018313	ENSPCOG00000021051	Propithecus_coquereli
ENSOGAP00000014122	ENSOGAG00000015768	Otolemur_garnettii
ENSPTRP00000050556	ENSPTRG00000029844	Pan_troglodytes
ENSPPAP00000024813	ENSPPAG00000035538	Pan_paniscus
ENSP00000361007	ENSG00000204022	Homo_sapiens
ENSGGOP00000011466	ENSGGOG00000011759	Gorilla_gorilla
ENSNLEP00000014765	ENSNLEG00000012160	Nomascus_leucogenys
ENSCANP00000010749	ENSCANG00000028787	Colobus_angolensis_palliatus
ENSPTEP00000040868	ENSPTEG00000037587	Piliocolobus_tephrosceles
ENSRBIP00000040014	ENSRBIG00000043443	Rhinopithecus_bieti
ENSRROP00000003723	ENSRROG00000014905	Rhinopithecus_roxellana
ENSMFAP00000037234	ENSMFAG00000037866	Macaca_fascicularis
ENSMMUP00000018843	ENSMMUG00000014343	Macaca_mulatta
ENSMNEP00000011601	ENSMNEG00000030144	Macaca_nemestrina
ENSTGEP00000008321	ENSTGEG00000006797	Theropithecus_gelada
ENSPANP00000020541	ENSPANG00000021890	Papio_anubis
ENSCATP00000043846	ENSCATG00000044436	Cercocebus_atys
ENSMLEP00000019041	ENSMLEG00000033724	Mandrillus_leucophaeus
ENSCSAP00000003205	ENSCSAG00000006921	Chlorocebus_sabaeus
ENSSBOP00000030299	ENSSBOG00000031427	Saimiri_boliviensis_boliviensis
ENSCJAP00000009791	ENSCJAG00000005354	Callithrix_jacchus
ENSCCAP00000023688	ENSCCAG00000029638	Cebus_capucinus_imitator
ENSANAP00000002796	ENSANAG00000019172	Aotus_nancymaae
ENSCLAP00000013038	ENSCLAG00000008996	Chinchilla_lanigera
ENSODEP00000006048	ENSODEG00000004545	Octodon_degus
ENSOCUP00000026652	ENSOCUG00000029546	Oryctolagus_cuniculus
ENSTBEP00000009233	ENSTBEG00000010677	Tupaia_belangeri
ENSLAFP00000009352	ENSLAFG00000011174	Loxodonta_africana
ENSPCAP00000002717	ENSPCAG00000002891	Procavia_capensis
