ENSPMAP00000006078	ENSPMAG00000005513	Petromyzon_marinus	ENSPMAT00000006107
ENSEBUP00000015605	ENSEBUG00000009804	Eptatretus_burgeri	ENSEBUT00000016181
ENSSLDP00000005981	ENSSLDG00000004788	Seriola_lalandi_dorsalis
ENSLCAP00010004562	ENSLCAG00010002333	Lates_calcarifer
ENSSMAP00000014135	ENSSMAG00000008688	Scophthalmus_maximus
ENSAPEP00000029386	ENSAPEG00000020900	Amphiprion_percula
ENSAOCP00000015089	ENSAOCG00000019804	Amphiprion_ocellaris
ENSAPOP00000020478	ENSAPOG00000024046	Acanthochromis_polyacanthus
ENSSPAP00000019931	ENSSPAG00000015034	Stegastes_partitus
ENSACLP00000041486	ENSACLG00000027921	Astatotilapia_calliptera
ENSMZEP00005002613	ENSMZEG00005002074	Maylandia_zebra
ENSPNYP00000006282	ENSPNYG00000004836	Pundamilia_nyererei
ENSHBUP00000005883	ENSHBUG00000007271	Haplochromis_burtoni
ENSNBRP00000008451	ENSNBRG00000006627	Neolamprologus_brichardi
ENSONIP00000009469	ENSONIG00000007508	Oreochromis_niloticus
ENSACIP00000018454	ENSACIG00000014406	Amphilophus_citrinellus
ENSPRNP00000018172	ENSPRNG00000009584	Parambassis_ranga
ENSLBEP00000007355	ENSLBEG00000005693	Labrus_bergylta
ENSLBEP00000037367	ENSLBEG00000027894	Labrus_bergylta
ENSMALP00000006293	ENSMALG00000004503	Monopterus_albus
ENSATEP00000019970	ENSATEG00000013933	Anabas_testudineus
ENSMMOP00000005679	ENSMMOG00000004385	Mola_mola
ENSBSLP00000036127	ENSBSLG00000017665	Betta_splendens
ENSTNIP00000009227	ENSTNIG00000006459	Tetraodon_nigroviridis
ENSTRUP00000046263	ENSTRUG00000018067	Takifugu_rubripes
ENSFHEP00000006546	ENSFHEG00000007607	Fundulus_heteroclitus	ENSFHET00000005311
ENSCVAP00000019225	ENSCVAG00000022561	Cyprinodon_variegatus
ENSPFOP00000001786	ENSPFOG00000001911	Poecilia_formosa
ENSPMEP00000019136	ENSPMEG00000022104	Poecilia_mexicana
ENSPLAP00000002074	ENSPLAG00000003255	Poecilia_latipinna
ENSXMAP00000005150	ENSXMAG00000005141	Xiphophorus_maculatus
ENSXCOP00000001979	ENSXCOG00000001591	Xiphophorus_couchianus
ENSGAFP00000019160	ENSGAFG00000012939	Gambusia_affinis
ENSKMAP00000015338	ENSKMAG00000011480	Kryptolebias_marmoratus
ENSGWIP00000038082	ENSGWIG00000019512	Gouania_willdenowi
ENSGACP00000021270	ENSGACG00000016123	Gasterosteus_aculeatus
ENSORLP00000044670	ENSORLG00000027763	Oryzias_latipes_ASM223467v1
ENSORLP00015030360	ENSORLG00015014018	Oryzias_latipes_ASM223469v1
ENSORLP00020006409	ENSORLG00020007251	Oryzias_latipes_ASM223471v1
ENSOMEP00000008644	ENSOMEG00000009843	Oryzias_melastigma	ENSOMET00000002100
ENSHCOP00000002112	ENSHCOG00000003192	Hippocampus_comes
ENSGMOP00000018249	ENSGMOG00000016997	Gadus_morhua
ENSHHUP00000043728	ENSHHUG00000026835	Hucho_hucho
ENSHHUP00000000176	ENSHHUG00000000137	Hucho_hucho
ENSELUP00000043020	ENSELUG00000024481	Esox_lucius
ENSHHUP00000012134	ENSHHUG00000007381	Hucho_hucho
ENSHHUP00000073624	ENSHHUG00000043201	Hucho_hucho
ENSELUP00000000845	ENSELUG00000002393	Esox_lucius
ENSEEEP00000020870	ENSEEEG00000010180	Electrophorus_electricus
ENSIPUP00000007794	ENSIPUG00000005347	Ictalurus_punctatus
ENSAMXP00000015114	ENSAMXG00000014690	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005053133	ENSAMXG00005023832	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031150	ENSPNAG00000018334	Pygocentrus_nattereri
ENSDARP00000045283	ENSDARG00000034291	Danio_rerio
