ENSRBIP00000032523	ENSRBIG00000040059	Rhinopithecus_bieti	ENSRBIT00000056499
ENSRROP00000014728	ENSRROG00000031556	Rhinopithecus_roxellana	ENSRROT00000038858
ENSCANP00000038374	ENSCANG00000042865	Colobus_angolensis_palliatus
ENSCATP00000043946	ENSCATG00000044482	Cercocebus_atys
ENSMLEP00000011852	ENSMLEG00000030108	Mandrillus_leucophaeus
ENSMNEP00000017941	ENSMNEG00000032932	Macaca_nemestrina
ENSMFAP00000001464	ENSMFAG00000036054	Macaca_fascicularis
ENSPANP00000031584	ENSPANG00000034170	Papio_anubis
ENSGGOP00000037874	ENSGGOG00000037357	Gorilla_gorilla
ENSPPAP00000002883	ENSPPAG00000012450	Pan_paniscus
ENSP00000490507	ENSG00000283268	Homo_sapiens
ENSCJAP00000056968	ENSCJAG00000047769	Callithrix_jacchus
ENSMICP00000043521	ENSMICG00000046387	Microcebus_murinus
ENSPCOP00000017798	ENSPCOG00000020742	Propithecus_coquereli
ENSCCNP00000033029	ENSCCNG00000031302	Castor_canadensis
ENSFDAP00000011598	ENSFDAG00000019120	Fukomys_damarensis
MGP_CAROLIEiJ_P0047994	MGP_CAROLIEiJ_G0022649	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000130094	ENSMUSG00000090840	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000037455	ENSMSIG00000031210	Mus_spicilegus
MGP_SPRETEiJ_P0049965	MGP_SPRETEiJ_G0023562	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0021001	MGP_PahariEiJ_G0014144	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000067843	ENSRNOG00000048966	Rattus_norvegicus
ENSMUGP00000001970	ENSMUGG00000001853	Meriones_unguiculatus
ENSCGRP00015006799	ENSCGRG00015005278	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000007941	ENSCGRG00000005788	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001010703	ENSCGRG00001012530	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000012803	ENSMAUG00000013004	Mesocricetus_auratus
ENSPEMP00000011368	ENSPEMG00000012036	Peromyscus_maniculatus_bairdii
ENSMOCP00000024425	ENSMOCG00000020857	Microtus_ochrogaster
ENSUPAP00010006727	ENSUPAG00010005405	Urocitellus_parryii
ENSSTOP00000027913	ENSSTOG00000031064	Ictidomys_tridecemlineatus
ENSSDAP00000006407	ENSSDAG00000005943	Spermophilus_dauricus
ENSEASP00005016431	ENSEASG00005011375	Equus_asinus_asinus
ENSECAP00000029111	ENSECAG00000028010	Equus_caballus
