ENSSLDP00000014777	ENSSLDG00000011800	Seriola_lalandi_dorsalis
ENSORLP00015017614	ENSORLG00015018644	Oryzias_latipes_ASM223469v1
ENSORLP00020011791	ENSORLG00020012723	Oryzias_latipes_ASM223471v1
ENSHBUP00000026338	ENSHBUG00000008944	Haplochromis_burtoni
ENSATEP00000008292	ENSATEG00000005841	Anabas_testudineus
ENSGMOP00000007888	ENSGMOG00000007385	Gadus_morhua
ENSAOCP00000031949	ENSAOCG00000023946	Amphiprion_ocellaris
ENSAMXP00000025328	ENSAMXG00000024623	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSDUP00000008205	ENSSDUG00000006022	Seriola_dumerili
ENSSPAP00000016280	ENSSPAG00000012272	Stegastes_partitus
ENSLBEP00000020788	ENSLBEG00000015997	Labrus_bergylta
ENSAPOP00000007502	ENSAPOG00000009490	Acanthochromis_polyacanthus
ENSMMOP00000022578	ENSMMOG00000017165	Mola_mola
ENSMALP00000014256	ENSMALG00000010021	Monopterus_albus
ENSIPUP00000009361	ENSIPUG00000006411	Ictalurus_punctatus
ENSPFOP00000011017	ENSPFOG00000011054	Poecilia_formosa
ENSACLP00000014202	ENSACLG00000009694	Astatotilapia_calliptera
ENSMZEP00005021875	ENSMZEG00005016395	Maylandia_zebra
ENSFHEP00000028984	ENSFHEG00000013439	Fundulus_heteroclitus
ENSSMAP00000020986	ENSSMAG00000012860	Scophthalmus_maximus	ENSSMAT00000021237
ENSGACP00000017427	ENSGACG00000013179	Gasterosteus_aculeatus	ENSGACT00000017461
ENSPNYP00000018056	ENSPNYG00000013644	Pundamilia_nyererei
ENSMAMP00000015394	ENSMAMG00000010449	Mastacembelus_armatus
ENSDARP00000135337	ENSDARG00000104269	Danio_rerio
ENSCVAP00000026268	ENSCVAG00000011677	Cyprinodon_variegatus
ENSPNAP00000021592	ENSPNAG00000028689	Pygocentrus_nattereri
ENSSFOP00015037971	ENSSFOG00015024168	Scleropages_formosus
ENSTRUP00000049647	ENSTRUG00000023003	Takifugu_rubripes
ENSELUP00000012039	ENSELUG00000012326	Esox_lucius
ENSORLP00000037589	ENSORLG00000030365	Oryzias_latipes_ASM223467v1
ENSCSEP00000018436	ENSCSEG00000011831	Cynoglossus_semilaevis
ENSPKIP00000027716	ENSPKIG00000009661	Paramormyrops_kingsleyae
ENSAPEP00000032077	ENSAPEG00000022792	Amphiprion_percula
