ENSPTIP00000023628	ENSPTIG00000019645	Panthera_tigris_altaica
ENSMUSP00000022504	ENSMUSG00000021936	Mus_musculus_strain_reference_(CL57BL6)
ENSONIP00000009656	ENSONIG00000007660	Oreochromis_niloticus
ENSOCUP00000009184	ENSOCUG00000010663	Oryctolagus_cuniculus
ENSHHUP00000040339	ENSHHUG00000024945	Hucho_hucho
ENSPVAP00000002648	ENSPVAG00000002803	Pteropus_vampyrus
ENSMICP00000046077	ENSMICG00000014359	Microcebus_murinus
ENSAMXP00005000814	ENSAMXG00005000510	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCSEP00000029326	ENSCSEG00000018779	Cynoglossus_semilaevis
ENSMLUP00000013225	ENSMLUG00000014533	Myotis_lucifugus
ENSFHEP00000003632	ENSFHEG00000004561	Fundulus_heteroclitus
ENSGACP00000021655	ENSGACG00000016396	Gasterosteus_aculeatus
ENSOANP00000031336	ENSOANG00000032144	Ornithorhynchus_anatinus
ENSACLP00000010373	ENSACLG00000007086	Astatotilapia_calliptera
ENSSTOP00000001622	ENSSTOG00000001819	Ictidomys_tridecemlineatus
ENSHCOP00000016089	ENSHCOG00000019799	Hippocampus_comes
ENSMPUP00000002266	ENSMPUG00000002290	Mustela_putorius_furo
ENSEEEP00000034774	ENSEEEG00000016536	Electrophorus_electricus
ENSOMEP00000027045	ENSOMEG00000009255	Oryzias_melastigma
ENSODEP00000010590	ENSODEG00000007899	Octodon_degus
ENSPTRP00000091347	ENSPTRG00000002478	Pan_troglodytes
ENSACAP00000011801	ENSACAG00000011795	Anolis_carolinensis
ENSAMXP00000041927	ENSAMXG00000043643	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAPLP00000005448	ENSAPLG00000005856	Anas_platyrhynchos_platyrhynchos
ENSMMUP00000042171	ENSMMUG00000008342	Macaca_mulatta
ENSRNOP00000062048	ENSRNOG00000020155	Rattus_norvegicus
ENSCJAP00000074868	ENSCJAG00000057490	Callithrix_jacchus
ENSARWP00000021423	ENSARWG00000014648	Apteryx_rowi
ENSSLDP00000013573	ENSSLDG00000010799	Seriola_lalandi_dorsalis
ENSXMAP00000035566	ENSXMAG00000013557	Xiphophorus_maculatus
