ENSCAFP00000042327	ENSCAFG00000031808	Canis_lupus_familiaris
ENSCAFP00020025062	ENSCAFG00020019692	Canis_lupus_dingo
ENSVVUP00000009105	ENSVVUG00000006800	Vulpes_vulpes
ENSECAP00000029402	ENSECAG00000039645	Equus_caballus
ENSMAUP00000004997	ENSMAUG00000006781	Mesocricetus_auratus
ENSMUGP00000002177	ENSMUGG00000002056	Meriones_unguiculatus
ENSCLAP00000025309	ENSCLAG00000017382	Chinchilla_lanigera
ENSODEP00000025426	ENSODEG00000018672	Octodon_degus
ENSHGLP00100028013	ENSHGLG00100021219	Heterocephalus_glaber_HetGla_1.0
ENSCCNP00000023568	ENSCCNG00000023144	Castor_canadensis
ENSPTRP00000065449	ENSPTRG00000043951	Pan_troglodytes
ENSPPAP00000002835	ENSPPAG00000012286	Pan_paniscus
ENSGGOP00000033611	ENSGGOG00000043748	Gorilla_gorilla
ENSSBOP00000040682	ENSSBOG00000036394	Saimiri_boliviensis_boliviensis
ENSCJAP00000069754	ENSCJAG00000055700	Callithrix_jacchus
ENSANAP00000000470	ENSANAG00000004036	Aotus_nancymaae
ENSPSMP00000036494	ENSPSMG00000025097	Prolemur_simus
ENSNVIP00000007985	ENSNVIG00000006342	Neovison_vison
ENSUAMP00000000042	ENSUAMG00000000020	Ursus_americanus
ENSPTIP00000003671	ENSPTIG00000006376	Panthera_tigris_altaica
ENSFCAP00000055926	ENSFCAG00000051478	Felis_catus	ENSFCAT00000073128
ENSBMUP00000007174	ENSBMUG00000005668	Bos_mutus
ENSBBBP00000018718	ENSBBBG00000011743	Bison_bison_bison
ENSEASP00005011926	ENSEASG00005008356	Equus_asinus_asinus
ENSMODP00000053818	ENSMODG00000039785	Monodelphis_domestica
ENSGALP00000067467	ENSGALG00000051082	Gallus_gallus
ENSSPUP00000000177	ENSSPUG00000000200	Sphenodon_punctatus
