ENSCINP00000021425	ENSCING00000010863	Ciona_intestinalis	ENSCINT00000021425
ENSCINP00000006094	ENSCING00000002994	Ciona_intestinalis	ENSCINT00000006094
ENSCGOP00000038422	ENSCGOG00000017608	Cottoperca_gobio
ENSGACP00000012468	ENSGACG00000009448	Gasterosteus_aculeatus
ENSLBEP00000006579	ENSLBEG00000004982	Labrus_bergylta
ENSLCRP00005029030	ENSLCRG00005011491	Larimichthys_crocea
ENSMMOP00000013309	ENSMMOG00000010215	Mola_mola
ENSSLDP00000004268	ENSSLDG00000003408	Seriola_lalandi_dorsalis
ENSSDUP00000022982	ENSSDUG00000016682	Seriola_dumerili
ENSLCAP00010044771	ENSLCAG00010020808	Lates_calcarifer
ENSSMAP00000032471	ENSSMAG00000019903	Scophthalmus_maximus
ENSATEP00000017843	ENSATEG00000012412	Anabas_testudineus
ENSBSLP00000038782	ENSBSLG00000018816	Betta_splendens
ENSMAMP00000010511	ENSMAMG00000007087	Mastacembelus_armatus
ENSTRUP00000053596	ENSTRUG00000025725	Takifugu_rubripes
ENSTRUP00000024507	ENSTRUG00000009756	Takifugu_rubripes
ENSTNIP00000020415	ENSTNIG00000017277	Tetraodon_nigroviridis
ENSCSEP00000003524	ENSCSEG00000002313	Cynoglossus_semilaevis
ENSKMAP00000012450	ENSKMAG00000009348	Kryptolebias_marmoratus
ENSKMAP00000012494	ENSKMAG00000009391	Kryptolebias_marmoratus
ENSACIP00000006969	ENSACIG00000005444	Amphilophus_citrinellus
ENSACIP00000006898	ENSACIG00000005405	Amphilophus_citrinellus
ENSMZEP00005006038	ENSMZEG00005004644	Maylandia_zebra
ENSHBUP00000005678	ENSHBUG00000007085	Haplochromis_burtoni
ENSACLP00000023555	ENSACLG00000016008	Astatotilapia_calliptera
ENSNBRP00000031709	ENSNBRG00000024095	Neolamprologus_brichardi
ENSNBRP00000031716	ENSNBRG00000024102	Neolamprologus_brichardi
ENSPNYP00000024941	ENSPNYG00000018805	Pundamilia_nyererei
ENSPNYP00000024874	ENSPNYG00000018775	Pundamilia_nyererei
ENSONIP00000004446	ENSONIG00000003531	Oreochromis_niloticus
ENSAPOP00000011668	ENSAPOG00000014251	Acanthochromis_polyacanthus
ENSAPOP00000011687	ENSAPOG00000014274	Acanthochromis_polyacanthus
ENSAPEP00000025796	ENSAPEG00000018344	Amphiprion_percula
ENSAPEP00000025882	ENSAPEG00000018389	Amphiprion_percula
ENSAOCP00000002769	ENSAOCG00000005920	Amphiprion_ocellaris
ENSAOCP00000002808	ENSAOCG00000005964	Amphiprion_ocellaris
ENSSPAP00000029830	ENSSPAG00000022417	Stegastes_partitus
ENSFHEP00000005309	ENSFHEG00000006285	Fundulus_heteroclitus
ENSFHEP00000005371	ENSFHEG00000006371	Fundulus_heteroclitus
ENSGAFP00000003099	ENSGAFG00000002104	Gambusia_affinis
ENSXCOP00000006278	ENSXCOG00000004854	Xiphophorus_couchianus
ENSXMAP00000007734	ENSXMAG00000007702	Xiphophorus_maculatus
ENSPLAP00000011125	ENSPLAG00000014164	Poecilia_latipinna
ENSPFOP00000002114	ENSPFOG00000002008	Poecilia_formosa
ENSPMEP00000026806	ENSPMEG00000010746	Poecilia_mexicana
ENSPREP00000029321	ENSPREG00000019849	Poecilia_reticulata
ENSCVAP00000013080	ENSCVAG00000015579	Cyprinodon_variegatus
ENSORLP00020012593	ENSORLG00020013516	Oryzias_latipes_ASM223471v1
ENSORLP00000018174	ENSORLG00000014503	Oryzias_latipes_ASM223467v1
ENSORLP00015029144	ENSORLG00015012100	Oryzias_latipes_ASM223469v1
ENSOMEP00000027950	ENSOMEG00000010717	Oryzias_melastigma
ENSGWIP00000030883	ENSGWIG00000016019	Gouania_willdenowi
