ENSCCEP00000001769	ENSCCEG00000002066	Cyanistes_caeruleus
ENSGWIP00000032398	ENSGWIG00000016690	Gouania_willdenowi
ENSTGUP00000002434	ENSTGUG00000002358	Taeniopygia_guttata
ENSVURP00010004674	ENSVURG00010003714	Vombatus_ursinus
ENSORLP00000008237	ENSORLG00000006563	Oryzias_latipes_ASM223467v1
ENSMUGP00000011744	ENSMUGG00000010264	Meriones_unguiculatus
ENSCAPP00000015463	ENSCAPG00000015578	Cavia_aperea
ENSMFAP00000031830	ENSMFAG00000036977	Macaca_fascicularis
ENSP00000369081	ENSG00000239264	Homo_sapiens
ENSCAFP00000014084	ENSCAFG00000009582	Canis_lupus_familiaris
ENSCJPP00005021268	ENSCJPG00005017023	Coturnix_japonica
ENSOMEP00000031190	ENSOMEG00000015910	Oryzias_melastigma
ENSPPRP00000010649	ENSPPRG00000004740	Panthera_pardus
ENSSMAP00000032382	ENSSMAG00000019843	Scophthalmus_maximus
ENSPSMP00000002298	ENSPSMG00000001772	Prolemur_simus
ENSGACP00000003016	ENSGACG00000002309	Gasterosteus_aculeatus
ENSCATP00000015080	ENSCATG00000031520	Cercocebus_atys
ENSMALP00000001886	ENSMALG00000001376	Monopterus_albus
ENSCMIP00000034120	ENSCMIG00000014493	Callorhinchus_milii
ENSAPEP00000002692	ENSAPEG00000001943	Amphiprion_percula
ENSLAFP00000022041	ENSLAFG00000028090	Loxodonta_africana
ENSIPUP00000026972	ENSIPUG00000018268	Ictalurus_punctatus	ENSIPUT00000028079
ENSCANP00000014916	ENSCANG00000030905	Colobus_angolensis_palliatus
ENSACIP00000005061	ENSACIG00000003980	Amphilophus_citrinellus
ENSPFOP00000008876	ENSPFOG00000008858	Poecilia_formosa
ENSBSLP00000013453	ENSBSLG00000006684	Betta_splendens
ENSCSEP00000014785	ENSCSEG00000009500	Cynoglossus_semilaevis
ENSMOCP00000019109	ENSMOCG00000017191	Microtus_ochrogaster
ENSACAP00000002963	ENSACAG00000003016	Anolis_carolinensis
ENSCHAP00000062111	ENSCHAG00000027640	Clupea_harengus	ENSCHAT00000066838
ENSSPUP00000009561	ENSSPUG00000007429	Sphenodon_punctatus
ENSODEP00000008396	ENSODEG00000006265	Octodon_degus
ENSEEEP00000033594	ENSEEEG00000015974	Electrophorus_electricus	ENSEEET00000033988
ENSXMAP00000006022	ENSXMAG00000005999	Xiphophorus_maculatus
ENSETEP00000008717	ENSETEG00000010731	Echinops_telfairi
ENSHBUP00000021157	ENSHBUG00000023448	Haplochromis_burtoni
ENSMZEP00005023109	ENSMZEG00005017309	Maylandia_zebra
ENSMUSP00000041839	ENSMUSG00000038991	Mus_musculus_strain_reference_(CL57BL6)
ENSDORP00000015866	ENSDORG00000004682	Dipodomys_ordii
ENSPTEP00000010035	ENSPTEG00000011392	Piliocolobus_tephrosceles
ENSBIXP00000001743	ENSBIXG00000008299	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGMOP00000000615	ENSGMOG00000000624	Gadus_morhua
ENSSTOP00000022113	ENSSTOG00000019465	Ictidomys_tridecemlineatus
ENSPKIP00000024381	ENSPKIG00000007645	Paramormyrops_kingsleyae
ENSCLAP00000003143	ENSCLAG00000002251	Chinchilla_lanigera
ENSLCAP00010018626	ENSLCAG00010008798	Lates_calcarifer
ENSRROP00000017739	ENSRROG00000032967	Rhinopithecus_roxellana
ENSMICP00000041772	ENSMICG00000007363	Microcebus_murinus
ENSCINP00000007213	ENSCING00000003517	Ciona_intestinalis
ENSAPOP00000029056	ENSAPOG00000014699	Acanthochromis_polyacanthus
ENSEASP00005017340	ENSEASG00005011929	Equus_asinus_asinus
ENSAPLP00000002607	ENSAPLG00000003126	Anas_platyrhynchos_platyrhynchos
ENSPEMP00000006929	ENSPEMG00000009019	Peromyscus_maniculatus_bairdii
ENSLACP00000013059	ENSLACG00000011503	Latimeria_chalumnae
ENSCGRP00015032907	ENSCGRG00015024727	Cricetulus_griseus_CriGri-PICR
ENSPCOP00000019902	ENSPCOG00000021911	Propithecus_coquereli
ENSFHEP00000024036	ENSFHEG00000005412	Fundulus_heteroclitus
ENSGALP00000020830	ENSGALG00000012784	Gallus_gallus
ENSFDAP00000005401	ENSFDAG00000014422	Fukomys_damarensis
ENSXETP00000022372	ENSXETG00000005822	Xenopus_tropicalis
ENSANAP00000005981	ENSANAG00000021047	Aotus_nancymaae
ENSPCIP00000040155	ENSPCIG00000029391	Phascolarctos_cinereus
ENSFALP00000013851	ENSFALG00000013266	Ficedula_albicollis
FBpp0073396	FBgn0030329	Drosophila_melanogaster
ENSMMOP00000006346	ENSMMOG00000004960	Mola_mola
ENSAOCP00000012102	ENSAOCG00000001137	Amphiprion_ocellaris
ENSCJAP00000039691	ENSCJAG00000021322	Callithrix_jacchus
ENSNGAP00000019760	ENSNGAG00000019460	Nannospalax_galili
ENSKMAP00000005894	ENSKMAG00000004450	Kryptolebias_marmoratus
ENSOPRP00000013230	ENSOPRG00000014493	Ochotona_princeps
ENSRBIP00000008914	ENSRBIG00000028339	Rhinopithecus_bieti
ENSMMUP00000063455	ENSMMUG00000038560	Macaca_mulatta
ENSSFOP00015018860	ENSSFOG00015012116	Scleropages_formosus
ENSBMUP00000021723	ENSBMUG00000016367	Bos_mutus
ENSTSYP00000003344	ENSTSYG00000003650	Carlito_syrichta
ENSSMRP00000008336	ENSSMRG00000006683	Salvator_merianae
ENSMUNP00000011805	ENSMUNG00000009296	Melopsittacus_undulatus
ENSCSAP00000003685	ENSCSAG00000007421	Chlorocebus_sabaeus
ENSHGLP00000027188	ENSHGLG00000019336	Heterocephalus_glaber_HetGla_female_1.0
ENSBTAP00000064179	ENSBTAG00000019237	Bos_taurus
ENSHHUP00000007881	ENSHHUG00000004744	Hucho_hucho
ENSPVAP00000003001	ENSPVAG00000003181	Pteropus_vampyrus
ENSORLP00015020415	ENSORLG00015021563	Oryzias_latipes_ASM223469v1
ENSPLAP00000021348	ENSPLAG00000000086	Poecilia_latipinna
ENSGGOP00000051781	ENSGGOG00000000906	Gorilla_gorilla
ENSMICP00000005441	ENSMICG00000005966	Microcebus_murinus
MGP_PahariEiJ_P0040745	MGP_PahariEiJ_G0019511	Mus_pahari_strain_PAHARI_EIJ
ENSLOCP00000016301	ENSLOCG00000013233	Lepisosteus_oculatus
