ENSSTOP00000011372	ENSSTOG00000012685	Ictidomys_tridecemlineatus
ENSPPYP00000021590	ENSPPYG00000019279	Pongo_abelii
ENSNBRP00000011405	ENSNBRG00000008889	Neolamprologus_brichardi
ENSAMXP00005020482	ENSAMXG00005010606	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPGP00000019735	ENSCPGG00000013820	Calidris_pygmaea
ENSECAP00000035975	ENSECAG00000021853	Equus_caballus
ENSUMAP00000029953	ENSUMAG00000021667	Ursus_maritimus
ENSORLP00015024554	ENSORLG00015005109	Oryzias_latipes_ASM223469v1
ENSTGUP00000001106	ENSTGUG00000001076	Taeniopygia_guttata
ENSSHAP00000005810	ENSSHAG00000005070	Sarcophilus_harrisii
ENSGACP00000006750	ENSGACG00000005110	Gasterosteus_aculeatus
ENSCPBP00000036428	ENSCPBG00000025304	Chrysemys_picta_bellii
ENSMUGP00000017214	ENSMUGG00000014670	Meriones_unguiculatus
ENSCGOP00000017764	ENSCGOG00000008517	Cottoperca_gobio
ENSDORP00000005480	ENSDORG00000005855	Dipodomys_ordii
ENSPCIP00000033296	ENSPCIG00000024714	Phascolarctos_cinereus
ENSPNAP00000037607	ENSPNAG00000029476	Pygocentrus_nattereri
ENSSBOP00000013001	ENSSBOG00000023248	Saimiri_boliviensis_boliviensis
ENSPKIP00000014084	ENSPKIG00000001266	Paramormyrops_kingsleyae
ENSLCOP00000007097	ENSLCOG00000005230	Lepidothrix_coronata
ENSSPAP00000016017	ENSSPAG00000012054	Stegastes_partitus
ENSGAGP00000008819	ENSGAGG00000006982	Gopherus_agassizii	ENSGAGT00000010139
FBpp0070398	FBgn0027296	Drosophila_melanogaster
ENSATEP00000015378	ENSATEG00000010670	Anabas_testudineus
ENSABRP00000001879	ENSABRG00000001909	Anser_brachyrhynchus
ENSPLAP00000029894	ENSPLAG00000020488	Poecilia_latipinna
ENSPANP00000019278	ENSPANG00000025099	Papio_anubis
ENSLCRP00005011527	ENSLCRG00005005201	Larimichthys_crocea
ENSBBBP00000010813	ENSBBBG00000004773	Bison_bison_bison
ENSPMEP00000032568	ENSPMEG00000020522	Poecilia_mexicana
ENSPVIP00000026203	ENSPVIG00000019566	Pogona_vitticeps
ENSMODP00000022647	ENSMODG00000018165	Monodelphis_domestica
ENSAPLP00000008935	ENSAPLG00000009255	Anas_platyrhynchos_platyrhynchos
