ENSCSAVP00000015048	ENSCSAVG00000008822	Ciona_savignyi
ENSCINP00000013559	ENSCING00000006604	Ciona_intestinalis
ENSCINP00000012328	ENSCING00000005966	Ciona_intestinalis
ENSACAP00000023152	ENSACAG00000028488	Anolis_carolinensis
ENSSMRP00000000774	ENSSMRG00000000687	Salvator_merianae
ENSSPUP00000014622	ENSSPUG00000011262	Sphenodon_punctatus
ENSCPBP00000027203	ENSCPBG00000019262	Chrysemys_picta_bellii
ENSGAGP00000011204	ENSGAGG00000008673	Gopherus_agassizii
ENSPSIP00000019171	ENSPSIG00000017034	Pelodiscus_sinensis
ENSGALP00000069375	ENSGALG00000045310	Gallus_gallus
ENSMGAP00000001044	ENSMGAG00000001573	Meleagris_gallopavo
ENSCJPP00005019568	ENSCJPG00005015850	Coturnix_japonica
ENSNMEP00000000664	ENSNMEG00000001019	Numida_meleagris
ENSAPLP00000024321	ENSAPLG00000012596	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000006418	ENSCPGG00000004621	Calidris_pygmaea
ENSDNVP00000027603	ENSDNVG00000019184	Dromaius_novaehollandiae
ENSXETP00000020278	ENSXETG00000019032	Xenopus_tropicalis
ENSLACP00000009203	ENSLACG00000008124	Latimeria_chalumnae
ENSEEEP00000007112	ENSEEEG00000003752	Electrophorus_electricus
ENSIPUP00000019780	ENSIPUG00000013424	Ictalurus_punctatus
ENSAMXP00000016702	ENSAMXG00000016216	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005028476	ENSAMXG00005014209	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000021433	ENSPNAG00000028540	Pygocentrus_nattereri
ENSDARP00000049035	ENSDARG00000034048	Danio_rerio
ENSCHAP00000056928	ENSCHAG00000025732	Clupea_harengus
ENSDCDP00000002986	ENSDCDG00000001538	Denticeps_clupeoides
ENSSDUP00000014391	ENSSDUG00000010487	Seriola_dumerili
ENSSLDP00000017678	ENSSLDG00000013943	Seriola_lalandi_dorsalis
ENSLCAP00010048689	ENSLCAG00010022643	Lates_calcarifer
ENSCGOP00000052987	ENSCGOG00000023285	Cottoperca_gobio
ENSGACP00000023952	ENSGACG00000018125	Gasterosteus_aculeatus
ENSLCRP00005049068	ENSLCRG00005018533	Larimichthys_crocea
ENSLBEP00000026293	ENSLBEG00000020012	Labrus_bergylta
ENSPRNP00000055526	ENSPRNG00000026024	Parambassis_ranga
ENSAPEP00000024218	ENSAPEG00000017216	Amphiprion_percula
ENSAOCP00000016988	ENSAOCG00000022028	Amphiprion_ocellaris
ENSAPOP00000013989	ENSAPOG00000016844	Acanthochromis_polyacanthus
ENSSPAP00000017394	ENSSPAG00000013117	Stegastes_partitus
ENSMZEP00005020703	ENSMZEG00005015538	Maylandia_zebra
ENSPNYP00000024041	ENSPNYG00000018162	Pundamilia_nyererei
ENSACLP00000040202	ENSACLG00000027091	Astatotilapia_calliptera
ENSHBUP00000004215	ENSHBUG00000005513	Haplochromis_burtoni
ENSNBRP00000000682	ENSNBRG00000000609	Neolamprologus_brichardi
ENSONIP00000016346	ENSONIG00000012998	Oreochromis_niloticus
ENSACIP00000027252	ENSACIG00000021112	Amphilophus_citrinellus
ENSFHEP00000030134	ENSFHEG00000015275	Fundulus_heteroclitus
ENSCVAP00000029479	ENSCVAG00000017305	Cyprinodon_variegatus
ENSXMAP00000014041	ENSXMAG00000014018	Xiphophorus_maculatus
ENSXCOP00000012015	ENSXCOG00000009093	Xiphophorus_couchianus
ENSPFOP00000002798	ENSPFOG00000002870	Poecilia_formosa
ENSPLAP00000028122	ENSPLAG00000017244	Poecilia_latipinna
ENSPMEP00000021390	ENSPMEG00000001595	Poecilia_mexicana
ENSGAFP00000004382	ENSGAFG00000002967	Gambusia_affinis
ENSKMAP00000021303	ENSKMAG00000015819	Kryptolebias_marmoratus
ENSORLP00000017805	ENSORLG00000014194	Oryzias_latipes_ASM223467v1
ENSORLP00015033175	ENSORLG00015018393	Oryzias_latipes_ASM223469v1
ENSORLP00015017403	ENSORLG00015018430	Oryzias_latipes_ASM223469v1
ENSORLP00020003831	ENSORLG00020004621	Oryzias_latipes_ASM223471v1
ENSORLP00000026893	ENSORLG00000029402	Oryzias_latipes_ASM223467v1
ENSOMEP00000030233	ENSOMEG00000014378	Oryzias_melastigma
ENSGWIP00000019037	ENSGWIG00000010455	Gouania_willdenowi
ENSPMGP00000003182	ENSPMGG00000002762	Periophthalmus_magnuspinnatus
ENSTNIP00000005976	ENSTNIG00000003389	Tetraodon_nigroviridis
ENSTRUP00000005181	ENSTRUG00000002257	Takifugu_rubripes
ENSMMOP00000015551	ENSMMOG00000011857	Mola_mola
ENSSMAP00000024673	ENSSMAG00000015091	Scophthalmus_maximus
ENSCSEP00000002075	ENSCSEG00000001401	Cynoglossus_semilaevis
ENSATEP00000004485	ENSATEG00000003113	Anabas_testudineus
ENSMALP00000005552	ENSMALG00000003985	Monopterus_albus
ENSGMOP00000020532	ENSGMOG00000019090	Gadus_morhua
ENSHHUP00000066828	ENSHHUG00000039405	Hucho_hucho
ENSELUP00000037203	ENSELUG00000016809	Esox_lucius
ENSSFOP00015018120	ENSSFOG00015011642	Scleropages_formosus
ENSPKIP00000031702	ENSPKIG00000012075	Paramormyrops_kingsleyae
ENSLOCP00000000512	ENSLOCG00000000468	Lepisosteus_oculatus
ENSECRP00000015261	ENSECRG00000010181	Erpetoichthys_calabaricus
ENSCMIP00000037017	ENSCMIG00000015611	Callorhinchus_milii
ENSEBUP00000020276	ENSEBUG00000012581	Eptatretus_burgeri
C12D8.5.1	WBGene00007536	Caenorhabditis_elegans_strain_N2
FBpp0112384	FBgn0259697	Drosophila_melanogaster
