ENSVVUP00000011809	ENSVVUG00000008707	Vulpes_vulpes	ENSVVUT00000015486
ENSUMAP00000000099	ENSUMAG00000000204	Ursus_maritimus	ENSUMAT00000000225
ENSMLUP00000022328	ENSMLUG00000023697	Myotis_lucifugus
ENSECAP00000029863	ENSECAG00000028133	Equus_caballus
ENSEASP00005031845	ENSEASG00005021733	Equus_asinus_asinus
ENSCATP00000035705	ENSCATG00000040699	Cercocebus_atys
ENSMLEP00000036821	ENSMLEG00000042511	Mandrillus_leucophaeus
ENSPANP00000029003	ENSPANG00000024109	Papio_anubis
ENSTGEP00000012977	ENSTGEG00000010562	Theropithecus_gelada
ENSMFAP00000006565	ENSMFAG00000045832	Macaca_fascicularis
ENSGGOP00000000507	ENSGGOG00000000516	Gorilla_gorilla
ENSCCAP00000001962	ENSCCAG00000012217	Cebus_capucinus_imitator
ENSSBOP00000001405	ENSSBOG00000006745	Saimiri_boliviensis_boliviensis
ENSANAP00000003571	ENSANAG00000019756	Aotus_nancymaae
ENSTGEP00000007483	ENSTGEG00000006126	Theropithecus_gelada
ENSPSMP00000003939	ENSPSMG00000003169	Prolemur_simus
ENSCHOP00000004954	ENSCHOG00000005600	Choloepus_hoffmanni
