ENSEBUP00000017078	ENSEBUG00000010682	Eptatretus_burgeri
ENSPMAP00000010269	ENSPMAG00000009341	Petromyzon_marinus
ENSACAP00000014881	ENSACAG00000015156	Anolis_carolinensis
ENSPVIP00000010664	ENSPVIG00000008445	Pogona_vitticeps
ENSNSUP00000026634	ENSNSUG00000019110	Notechis_scutatus
ENSSMRP00000015957	ENSSMRG00000012407	Salvator_merianae
ENSSPUP00000013020	ENSSPUG00000009986	Sphenodon_punctatus
ENSCPUP00000001375	ENSCPUG00000001054	Calidris_pugnax
ENSCPGP00000018338	ENSCPGG00000012834	Calidris_pygmaea
ENSMUNP00000002908	ENSMUNG00000002543	Melopsittacus_undulatus
ENSGALP00000019423	ENSGALG00000011921	Gallus_gallus
ENSMGAP00000014355	ENSMGAG00000013578	Meleagris_gallopavo
ENSCJPP00005005811	ENSCJPG00005005497	Coturnix_japonica
ENSNMEP00000019728	ENSNMEG00000016986	Numida_meleagris
ENSABRP00000015585	ENSABRG00000013664	Anser_brachyrhynchus
ENSAPLP00000029177	ENSAPLG00000005318	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000007532	ENSLCOG00000005541	Lepidothrix_coronata
ENSMVIP00005012926	ENSMVIG00005009390	Manacus_vitellinus
ENSFALP00000003600	ENSFALG00000003458	Ficedula_albicollis
ENSJHYP00000018677	ENSJHYG00000014208	Junco_hyemalis
ENSTGUP00000013387	ENSTGUG00000013000	Taeniopygia_guttata
ENSLSDP00000018275	ENSLSDG00000013044	Lonchura_striata_domestica
ENSPMJP00000002592	ENSPMJG00000002228	Parus_major
ENSSCAP00000006756	ENSSCAG00000005253	Serinus_canaria
ENSTGUP00000015162	ENSTGUG00000014805	Taeniopygia_guttata
ENSZALP00000006293	ENSZALG00000005761	Zonotrichia_albicollis
ENSCCEP00000013824	ENSCCEG00000013210	Cyanistes_caeruleus
ENSARWP00000016643	ENSARWG00000011472	Apteryx_rowi
ENSAHAP00000007405	ENSAHAG00000005562	Apteryx_haastii
ENSAOWP00000019548	ENSAOWG00000013272	Apteryx_owenii
ENSDNVP00000022759	ENSDNVG00000015830	Dromaius_novaehollandiae
ENSNPEP00000016384	ENSNPEG00000012208	Nothoprocta_perdicaria
ENSGAGP00000035919	ENSGAGG00000025478	Gopherus_agassizii
ENSCABP00000001123	ENSCABG00000000941	Chelonoidis_abingdonii
ENSCPBP00000000724	ENSCPBG00000000599	Chrysemys_picta_bellii
ENSPSIP00000006554	ENSPSIG00000006028	Pelodiscus_sinensis
ENSCPRP00005025962	ENSCPRG00005018018	Crocodylus_porosus
ENSDNOP00000027366	ENSDNOG00000039298	Dasypus_novemcinctus
ENSLAFP00000011901	ENSLAFG00000014209	Loxodonta_africana
ENSUMAP00000018775	ENSUMAG00000013783	Ursus_maritimus
ENSUAMP00000010964	ENSUAMG00000008972	Ursus_americanus
ENSAMEP00000003069	ENSAMEG00000002913	Ailuropoda_melanoleuca
ENSMPUP00000006245	ENSMPUG00000006299	Mustela_putorius_furo
ENSNVIP00000007990	ENSNVIG00000006325	Neovison_vison
ENSCAFP00020010042	ENSCAFG00020008153	Canis_lupus_dingo
ENSCAFP00000022928	ENSCAFG00000015598	Canis_lupus_familiaris
ENSVVUP00000041438	ENSVVUG00000029494	Vulpes_vulpes
ENSPTIP00000004327	ENSPTIG00000006869	Panthera_tigris_altaica
ENSPPRP00000017211	ENSPPRG00000009265	Panthera_pardus
ENSFCAP00000009787	ENSFCAG00000010540	Felis_catus
ENSMLUP00000005354	ENSMLUG00000005858	Myotis_lucifugus
ENSECAP00000009317	ENSECAG00000011422	Equus_caballus
ENSEASP00005023747	ENSEASG00005016143	Equus_asinus_asinus
ENSPTRP00000010870	ENSPTRG00000006406	Pan_troglodytes
ENSPPAP00000006786	ENSPPAG00000025681	Pan_paniscus
ENSP00000216500	ENSG00000100612	Homo_sapiens
ENSPPYP00000006670	ENSPPYG00000005870	Pongo_abelii
ENSNLEP00000016612	ENSNLEG00000013686	Nomascus_leucogenys
ENSRROP00000034370	ENSRROG00000040748	Rhinopithecus_roxellana
ENSCANP00000006343	ENSCANG00000021239	Colobus_angolensis_palliatus
ENSPTEP00000000957	ENSPTEG00000001059	Piliocolobus_tephrosceles
ENSTGEP00000018178	ENSTGEG00000014689	Theropithecus_gelada
ENSCATP00000010519	ENSCATG00000029538	Cercocebus_atys
ENSMNEP00000018922	ENSMNEG00000033351	Macaca_nemestrina
ENSMFAP00000016275	ENSMFAG00000031332	Macaca_fascicularis
ENSMMUP00000081213	ENSMMUG00000002540	Macaca_mulatta
ENSCSAP00000010340	ENSCSAG00000014204	Chlorocebus_sabaeus
ENSRBIP00000033562	ENSRBIG00000040523	Rhinopithecus_bieti
ENSMLEP00000012553	ENSMLEG00000030456	Mandrillus_leucophaeus
ENSSBOP00000008086	ENSSBOG00000020951	Saimiri_boliviensis_boliviensis
ENSPANP00000017038	ENSPANG00000021242	Papio_anubis
ENSANAP00000009228	ENSANAG00000022608	Aotus_nancymaae
ENSGGOP00000024661	ENSGGOG00000008367	Gorilla_gorilla
ENSSBOP00000029762	ENSSBOG00000031180	Saimiri_boliviensis_boliviensis
ENSCJAP00000035414	ENSCJAG00000019070	Callithrix_jacchus
ENSCCAP00000015785	ENSCCAG00000025684	Cebus_capucinus_imitator
ENSTSYP00000031635	ENSTSYG00000014277	Carlito_syrichta
ENSPCOP00000028745	ENSPCOG00000027040	Propithecus_coquereli
ENSMICP00000011421	ENSMICG00000012540	Microcebus_murinus
ENSPSMP00000037484	ENSPSMG00000025761	Prolemur_simus
ENSCLAP00000004842	ENSCLAG00000003437	Chinchilla_lanigera
ENSODEP00000019653	ENSODEG00000014507	Octodon_degus
ENSCPOP00000001204	ENSCPOG00000001327	Cavia_porcellus
ENSCAPP00000008416	ENSCAPG00000010130	Cavia_aperea
ENSHGLP00100008725	ENSHGLG00100006497	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019974	ENSHGLG00000014306	Heterocephalus_glaber_HetGla_female_1.0
