FBpp0292147	FBgn0038057	Drosophila_melanogaster
C48E7.2.1	WBGene00016750	Caenorhabditis_elegans_strain_N2
ENSEEEP00000026858	ENSEEEG00000012964	Electrophorus_electricus
ENSIPUP00000012710	ENSIPUG00000008657	Ictalurus_punctatus
ENSAMXP00000008508	ENSAMXG00000008273	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005003171	ENSAMXG00005001988	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000012828	ENSPNAG00000018675	Pygocentrus_nattereri
ENSDARP00000059966	ENSDARG00000057562	Danio_rerio
ENSDCDP00000009377	ENSDCDG00000004716	Denticeps_clupeoides
ENSDCDP00000009010	ENSDCDG00000004503	Denticeps_clupeoides
ENSDCDP00000019442	ENSDCDG00000015412	Denticeps_clupeoides
ENSCHAP00000017094	ENSCHAG00000008491	Clupea_harengus
ENSXMAP00000016274	ENSXMAG00000016215	Xiphophorus_maculatus
ENSXCOP00000026140	ENSXCOG00000019524	Xiphophorus_couchianus
ENSGAFP00000021827	ENSGAFG00000014721	Gambusia_affinis
ENSPFOP00000014163	ENSPFOG00000014106	Poecilia_formosa
ENSPLAP00000029039	ENSPLAG00000018932	Poecilia_latipinna
ENSPMEP00000034192	ENSPMEG00000023273	Poecilia_mexicana
ENSPREP00000025271	ENSPREG00000017050	Poecilia_reticulata
ENSFHEP00000019636	ENSFHEG00000000872	Fundulus_heteroclitus
ENSCVAP00000024978	ENSCVAG00000009443	Cyprinodon_variegatus
ENSCVAP00000019115	ENSCVAG00000022458	Cyprinodon_variegatus
ENSKMAP00000002076	ENSKMAG00000001574	Kryptolebias_marmoratus
ENSORLP00020008342	ENSORLG00020009245	Oryzias_latipes_ASM223471v1
ENSORLP00000012708	ENSORLG00000010133	Oryzias_latipes_ASM223467v1
ENSORLP00015014269	ENSORLG00015015223	Oryzias_latipes_ASM223469v1
ENSOMEP00000007455	ENSOMEG00000008558	Oryzias_melastigma
ENSAPEP00000006216	ENSAPEG00000004426	Amphiprion_percula
ENSAOCP00000007802	ENSAOCG00000011695	Amphiprion_ocellaris
ENSAPOP00000006815	ENSAPOG00000008722	Acanthochromis_polyacanthus
ENSSPAP00000029953	ENSSPAG00000022520	Stegastes_partitus
ENSGWIP00000024339	ENSGWIG00000012920	Gouania_willdenowi
ENSCSEP00000003716	ENSCSEG00000002425	Cynoglossus_semilaevis
ENSHBUP00000023031	ENSHBUG00000003619	Haplochromis_burtoni
ENSPNYP00000005838	ENSPNYG00000004504	Pundamilia_nyererei
ENSMZEP00005021167	ENSMZEG00005015882	Maylandia_zebra
ENSACLP00000029480	ENSACLG00000019970	Astatotilapia_calliptera
ENSNBRP00000004689	ENSNBRG00000003707	Neolamprologus_brichardi
ENSONIP00000008027	ENSONIG00000006370	Oreochromis_niloticus
ENSACIP00000010312	ENSACIG00000008064	Amphilophus_citrinellus
ENSPRNP00000056482	ENSPRNG00000026383	Parambassis_ranga
ENSSDUP00000008980	ENSSDUG00000006590	Seriola_dumerili
ENSSLDP00000019959	ENSSLDG00000015614	Seriola_lalandi_dorsalis
ENSLCAP00010053804	ENSLCAG00010025028	Lates_calcarifer
ENSSMAP00000026219	ENSSMAG00000016000	Scophthalmus_maximus
ENSMALP00000000163	ENSMALG00000000156	Monopterus_albus
ENSMAMP00000021992	ENSMAMG00000014770	Mastacembelus_armatus
ENSATEP00000034378	ENSATEG00000023618	Anabas_testudineus
ENSBSLP00000050550	ENSBSLG00000024030	Betta_splendens
ENSTRUP00000027063	ENSTRUG00000010726	Takifugu_rubripes
ENSTNIP00000022721	ENSTNIG00000019501	Tetraodon_nigroviridis
ENSMMOP00000004996	ENSMMOG00000003989	Mola_mola
ENSLCRP00005020169	ENSLCRG00005008200	Larimichthys_crocea
ENSCGOP00000012006	ENSCGOG00000005762	Cottoperca_gobio
ENSGACP00000015656	ENSGACG00000011829	Gasterosteus_aculeatus
ENSLBEP00000035401	ENSLBEG00000026567	Labrus_bergylta
ENSHCOP00000011059	ENSHCOG00000000823	Hippocampus_comes
ENSPMGP00000009379	ENSPMGG00000007761	Periophthalmus_magnuspinnatus
ENSGMOP00000020352	ENSGMOG00000018937	Gadus_morhua
ENSHHUP00000008518	ENSHHUG00000005217	Hucho_hucho
ENSHHUP00000083862	ENSHHUG00000048630	Hucho_hucho
ENSELUP00000012998	ENSELUG00000013209	Esox_lucius
ENSSFOP00015034351	ENSSFOG00015021863	Scleropages_formosus
ENSPKIP00000036265	ENSPKIG00000014883	Paramormyrops_kingsleyae
ENSLOCP00000007730	ENSLOCG00000006400	Lepisosteus_oculatus
ENSECRP00000006834	ENSECRG00000004557	Erpetoichthys_calabaricus
ENSPVIP00000025598	ENSPVIG00000019158	Pogona_vitticeps
ENSNSUP00000014375	ENSNSUG00000010588	Notechis_scutatus
ENSSMRP00000013989	ENSSMRG00000010880	Salvator_merianae
ENSSPUP00000002406	ENSSPUG00000001834	Sphenodon_punctatus
ENSAHAP00000028042	ENSAHAG00000019473	Apteryx_haastii
ENSARWP00000012444	ENSARWG00000008611	Apteryx_rowi
ENSAOWP00000013911	ENSAOWG00000009485	Apteryx_owenii
ENSDNVP00000006025	ENSDNVG00000004318	Dromaius_novaehollandiae
ENSNPEP00000003700	ENSNPEG00000002823	Nothoprocta_perdicaria
ENSCPGP00000011901	ENSCPGG00000008473	Calidris_pygmaea
ENSCPUP00000012544	ENSCPUG00000008888	Calidris_pugnax
ENSGALP00000065614	ENSGALG00000052515	Gallus_gallus
ENSNMEP00000001632	ENSNMEG00000002082	Numida_meleagris
ENSAPLP00000022287	ENSAPLG00000023392	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004648	ENSABRG00000004291	Anser_brachyrhynchus
ENSLSDP00000003505	ENSLSDG00000002684	Lonchura_striata_domestica
ENSTGUP00000017239	ENSTGUG00000016941	Taeniopygia_guttata
ENSJHYP00000010176	ENSJHYG00000007971	Junco_hyemalis
ENSPMJP00000001861	ENSPMJG00000001543	Parus_major
ENSCCEP00000012876	ENSCCEG00000012390	Cyanistes_caeruleus
ENSMVIP00005014661	ENSMVIG00005010546	Manacus_vitellinus
ENSMVIP00005004462	ENSMVIG00005003328	Manacus_vitellinus
ENSLCOP00000000461	ENSLCOG00000000225	Lepidothrix_coronata
ENSCABP00000024846	ENSCABG00000018302	Chelonoidis_abingdonii
ENSGAGP00000013283	ENSGAGG00000010176	Gopherus_agassizii
ENSCPBP00000010239	ENSCPBG00000007883	Chrysemys_picta_bellii
ENSPSIP00000005039	ENSPSIG00000004694	Pelodiscus_sinensis
ENSVURP00010000890	ENSVURG00010000779	Vombatus_ursinus
ENSVURP00010002249	ENSVURG00010001862	Vombatus_ursinus
ENSPCIP00000015347	ENSPCIG00000011954	Phascolarctos_cinereus
ENSMEUP00000011548	ENSMEUG00000012664	Notamacropus_eugenii
ENSSHAP00000021936	ENSSHAG00000018565	Sarcophilus_harrisii
ENSMODP00000023370	ENSMODG00000018745	Monodelphis_domestica
ENSP00000334564	ENSG00000186141	Homo_sapiens
ENSGGOP00000007128	ENSGGOG00000007279	Gorilla_gorilla
ENSPTRP00000002058	ENSPTRG00000001208	Pan_troglodytes
ENSPPAP00000006523	ENSPPAG00000025184	Pan_paniscus
ENSPPYP00000001089	ENSPPYG00000000936	Pongo_abelii
ENSNLEP00000006857	ENSNLEG00000005645	Nomascus_leucogenys
ENSCSAP00000016269	ENSCSAG00000001762	Chlorocebus_sabaeus
ENSCATP00000034545	ENSCATG00000040166	Cercocebus_atys
ENSMLEP00000013899	ENSMLEG00000031091	Mandrillus_leucophaeus
ENSTGEP00000012254	ENSTGEG00000009992	Theropithecus_gelada
ENSPANP00000018268	ENSPANG00000019404	Papio_anubis
ENSMFAP00000006627	ENSMFAG00000040338	Macaca_fascicularis
ENSMNEP00000035616	ENSMNEG00000040944	Macaca_nemestrina
ENSMMUP00000068456	ENSMMUG00000016735	Macaca_mulatta
ENSCANP00000018179	ENSCANG00000032538	Colobus_angolensis_palliatus
ENSPTEP00000008890	ENSPTEG00000010082	Piliocolobus_tephrosceles
ENSRROP00000032615	ENSRROG00000039959	Rhinopithecus_roxellana
ENSRBIP00000023000	ENSRBIG00000035432	Rhinopithecus_bieti
ENSCCAP00000018526	ENSCCAG00000027077	Cebus_capucinus_imitator
ENSSBOP00000023850	ENSSBOG00000028429	Saimiri_boliviensis_boliviensis
ENSCJAP00000004201	ENSCJAG00000002314	Callithrix_jacchus
ENSANAP00000037961	ENSANAG00000036434	Aotus_nancymaae
ENSTSYP00000019674	ENSTSYG00000002292	Carlito_syrichta
ENSPCOP00000025425	ENSPCOG00000024937	Propithecus_coquereli
ENSPSMP00000018998	ENSPSMG00000013402	Prolemur_simus
ENSMICP00000019761	ENSMICG00000034253	Microcebus_murinus
ENSOGAP00000000186	ENSOGAG00000000209	Otolemur_garnettii
ENSSTOP00000013082	ENSSTOG00000014601	Ictidomys_tridecemlineatus
ENSUPAP00010012113	ENSUPAG00010009818	Urocitellus_parryii
ENSMMMP00000017224	ENSMMMG00000015297	Marmota_marmota_marmota
ENSUMAP00000013830	ENSUMAG00000010180	Ursus_maritimus
ENSUAMP00000028331	ENSUAMG00000021906	Ursus_americanus
