ENSTRUP00000011298	ENSTRUG00000004744	Takifugu_rubripes
ENSTNIP00000009764	ENSTNIG00000006966	Tetraodon_nigroviridis
ENSMMOP00000007934	ENSMMOG00000006167	Mola_mola
ENSKMAP00000002819	ENSKMAG00000002148	Kryptolebias_marmoratus	ENSKMAT00000002875
ENSCGOP00000033123	ENSCGOG00000015376	Cottoperca_gobio
ENSGACP00000020685	ENSGACG00000015674	Gasterosteus_aculeatus
ENSLCRP00005010541	ENSLCRG00005004836	Larimichthys_crocea
ENSLBEP00000008546	ENSLBEG00000006603	Labrus_bergylta
ENSAOCP00000017812	ENSAOCG00000022957	Amphiprion_ocellaris
ENSAPEP00000020376	ENSAPEG00000014539	Amphiprion_percula
ENSAPOP00000003507	ENSAPOG00000005043	Acanthochromis_polyacanthus
ENSSPAP00000001233	ENSSPAG00000000927	Stegastes_partitus
ENSPRNP00000043768	ENSPRNG00000021304	Parambassis_ranga
ENSACLP00000012670	ENSACLG00000008641	Astatotilapia_calliptera
ENSMZEP00005005937	ENSMZEG00005004578	Maylandia_zebra
ENSHBUP00000005987	ENSHBUG00000007389	Haplochromis_burtoni
ENSPNYP00000002798	ENSPNYG00000002189	Pundamilia_nyererei
ENSNBRP00000003338	ENSNBRG00000002673	Neolamprologus_brichardi
ENSONIP00000013293	ENSONIG00000010573	Oreochromis_niloticus
ENSACIP00000027587	ENSACIG00000021378	Amphilophus_citrinellus
ENSBSLP00000034315	ENSBSLG00000016564	Betta_splendens
ENSLCAP00010048933	ENSLCAG00010022754	Lates_calcarifer
ENSSLDP00000021124	ENSSLDG00000016512	Seriola_lalandi_dorsalis
ENSSDUP00000015976	ENSSDUG00000011654	Seriola_dumerili
ENSSMAP00000011028	ENSSMAG00000006797	Scophthalmus_maximus
ENSMALP00000002994	ENSMALG00000002211	Monopterus_albus
ENSMAMP00000007200	ENSMAMG00000004896	Mastacembelus_armatus
ENSATEP00000027520	ENSATEG00000019026	Anabas_testudineus
ENSDARP00000017502	ENSDARG00000020746	Danio_rerio
