ENSLCAP00010030156	ENSLCAG00010014171	Lates_calcarifer
ENSHGLP00100010228	ENSHGLG00100007607	Heterocephalus_glaber_HetGla_1.0
ENSLAFP00000018907	ENSLAFG00000014101	Loxodonta_africana
ENSEEEP00000007311	ENSEEEG00000003840	Electrophorus_electricus
ENSSSCP00000013651	ENSSSCG00000012841	Sus_scrofa_strain_reference
ENSCPRP00005021839	ENSCPRG00005015182	Crocodylus_porosus
ENSOMEP00000016658	ENSOMEG00000018324	Oryzias_melastigma
ENSONIP00000019584	ENSONIG00000015563	Oreochromis_niloticus
ENSMEUP00000003572	ENSMEUG00000003913	Notamacropus_eugenii
ENSMOCP00000023629	ENSMOCG00000020286	Microtus_ochrogaster
MGP_SPRETEiJ_P0086680	MGP_SPRETEiJ_G0031810	Mus_spretus_strain_SPRET/EiJ
ENSSFOP00015016296	ENSSFOG00015010465	Scleropages_formosus
ENSPFOP00000011964	ENSPFOG00000011909	Poecilia_formosa
ENSNGAP00000016599	ENSNGAG00000017278	Nannospalax_galili
ENSCHAP00000010956	ENSCHAG00000006096	Clupea_harengus
ENSPTEP00000017100	ENSPTEG00000018650	Piliocolobus_tephrosceles
ENSELUP00000042701	ENSELUG00000024038	Esox_lucius
ENSPMJP00000012740	ENSPMJG00000009762	Parus_major
ENSRBIP00000003217	ENSRBIG00000014911	Rhinopithecus_bieti
ENSUAMP00000028543	ENSUAMG00000022057	Ursus_americanus
ENSPCOP00000006472	ENSPCOG00000014404	Propithecus_coquereli
ENSNPEP00000002738	ENSNPEG00000001799	Nothoprocta_perdicaria
ENSSHAP00000001702	ENSSHAG00000001517	Sarcophilus_harrisii
ENSSMAP00000021782	ENSSMAG00000013335	Scophthalmus_maximus
ENSXMAP00000003869	ENSXMAG00000003849	Xiphophorus_maculatus
ENSPMAP00000008964	ENSPMAG00000008113	Petromyzon_marinus
ENSEASP00005010510	ENSEASG00005007458	Equus_asinus_asinus
ENSECAP00000010153	ENSECAG00000012411	Equus_caballus
ENSFCAP00000022194	ENSFCAG00000026020	Felis_catus
ENSMUSP00000127149	ENSMUSG00000025509	Mus_musculus_strain_reference_(CL57BL6)
ENSCAFP00000014031	ENSCAFG00000009547	Canis_lupus_familiaris
ENSORLP00015022500	ENSORLG00015001901	Oryzias_latipes_ASM223469v1
ENSARWP00000011824	ENSARWG00000008172	Apteryx_rowi
ENSIPUP00000013255	ENSIPUG00000009037	Ictalurus_punctatus
ENSMZEP00005001587	ENSMZEG00005001289	Maylandia_zebra
ENSPPYP00000003358	ENSPPYG00000002886	Pongo_abelii
ENSCCNP00000010889	ENSCCNG00000011293	Castor_canadensis
ENSMNEP00000021575	ENSMNEG00000034529	Macaca_nemestrina
ENSSPUP00000003026	ENSSPUG00000002351	Sphenodon_punctatus
ENSGAGP00000004933	ENSGAGG00000004040	Gopherus_agassizii
ENSGWIP00000039152	ENSGWIG00000019922	Gouania_willdenowi
ENSSTOP00000025960	ENSSTOG00000005266	Ictidomys_tridecemlineatus
ENSCJAP00000021716	ENSCJAG00000011807	Callithrix_jacchus
ENSTGUP00000010105	ENSTGUG00000009785	Taeniopygia_guttata
ENSCCAP00000023729	ENSCCAG00000029658	Cebus_capucinus_imitator
ENSAPLP00000013046	ENSAPLG00000013222	Anas_platyrhynchos_platyrhynchos
ENSSMRP00000018169	ENSSMRG00000014137	Salvator_merianae
ENSGALP00000023449	ENSGALG00000014569	Gallus_gallus
ENSMUNP00000012928	ENSMUNG00000010116	Melopsittacus_undulatus
ENSCGRP00015036110	ENSCGRG00015027075	Cricetulus_griseus_CriGri-PICR
ENSRROP00000016859	ENSRROG00000032539	Rhinopithecus_roxellana
ENSAPOP00000030828	ENSAPOG00000017699	Acanthochromis_polyacanthus
ENSCMIP00000017841	ENSCMIG00000008466	Callorhinchus_milii
ENSSLDP00000029460	ENSSLDG00000022680	Seriola_lalandi_dorsalis
ENSPKIP00000041815	ENSPKIG00000018204	Paramormyrops_kingsleyae
ENSBSLP00000000581	ENSBSLG00000000486	Betta_splendens
ENSJHYP00000015833	ENSJHYG00000012157	Junco_hyemalis
ENSBTAP00000029866	ENSBTAG00000005144	Bos_taurus
ENSABRP00000016119	ENSABRG00000014141	Anser_brachyrhynchus	ENSABRT00000022968
ENSBMUP00000007284	ENSBMUG00000005725	Bos_mutus
ENSVVUP00000000123	ENSVVUG00000000122	Vulpes_vulpes
ENSCCEP00000007653	ENSCCEG00000008010	Cyanistes_caeruleus
ENSMMUP00000067557	ENSMMUG00000056078	Macaca_mulatta
ENSCHIP00000028679	ENSCHIG00000024083	Capra_hircus
ENSNMEP00000015026	ENSNMEG00000013315	Numida_meleagris
ENSORLP00020008059	ENSORLG00020008946	Oryzias_latipes_ASM223471v1
ENSNLEP00000010549	ENSNLEG00000008626	Nomascus_leucogenys
ENSAHAP00000018428	ENSAHAG00000013078	Apteryx_haastii
ENSCJPP00005023263	ENSCJPG00005018484	Coturnix_japonica
ENSEBUP00000023981	ENSEBUG00000014776	Eptatretus_burgeri
ENSDORP00000015486	ENSDORG00000016459	Dipodomys_ordii
ENSUPAP00010028993	ENSUPAG00010022864	Urocitellus_parryii
ENSMALP00000006584	ENSMALG00000004695	Monopterus_albus
ENSCGRP00000012603	ENSCGRG00000009148	Cricetulus_griseus_CriGri_1.0
ENSMODP00000018754	ENSMODG00000014995	Monodelphis_domestica
ENSPMEP00000010427	ENSPMEG00000012367	Poecilia_mexicana
ENSPPAP00000035417	ENSPPAG00000040524	Pan_paniscus
ENSMICP00000034362	ENSMICG00000034349	Microcebus_murinus
ENSXETP00000042774	ENSXETG00000019000	Xenopus_tropicalis
ENSLACP00000011042	ENSLACG00000009718	Latimeria_chalumnae
ENSFDAP00000013604	ENSFDAG00000000337	Fukomys_damarensis
ENSPCAP00000010649	ENSPCAG00000011362	Procavia_capensis
ENSPREP00000017479	ENSPREG00000011804	Poecilia_reticulata
ENSETEP00000010175	ENSETEG00000012547	Echinops_telfairi
ENSCAFP00020022368	ENSCAFG00020017628	Canis_lupus_dingo
ENSNVIP00000007853	ENSNVIG00000006246	Neovison_vison
ENSHHUP00000009187	ENSHHUG00000005587	Hucho_hucho
ENSCABP00000020537	ENSCABG00000015101	Chelonoidis_abingdonii
ENSSDUP00000026691	ENSSDUG00000019342	Seriola_dumerili
ENSCPGP00000009478	ENSCPGG00000006748	Calidris_pygmaea
ENSCPUP00000017482	ENSCPUG00000012039	Calidris_pugnax
ENSMPUP00000009002	ENSMPUG00000009075	Mustela_putorius_furo
ENSRNOP00000025826	ENSRNOG00000047551	Rattus_norvegicus
ENSPMGP00000000572	ENSPMGG00000000492	Periophthalmus_magnuspinnatus
ENSCPOP00000005287	ENSCPOG00000005859	Cavia_porcellus
ENSTTRP00000011823	ENSTTRG00000012460	Tursiops_truncatus
ENSATEP00000015620	ENSATEG00000010807	Anabas_testudineus
ENSPEMP00000010529	ENSPEMG00000011478	Peromyscus_maniculatus_bairdii
ENSCPBP00000009288	ENSCPBG00000007182	Chrysemys_picta_bellii
