ENSSPUP00000015902	ENSSPUG00000012252	Sphenodon_punctatus	ENSSPUT00000016952
ENSACAP00000022525	ENSACAG00000028935	Anolis_carolinensis	ENSACAT00000029942
ENSPSIP00000007902	ENSPSIG00000007253	Pelodiscus_sinensis	ENSPSIT00000007943
ENSGAGP00000031054	ENSGAGG00000022304	Gopherus_agassizii	ENSGAGT00000035206
ENSAPLP00000011642	ENSAPLG00000011893	Anas_platyrhynchos_platyrhynchos
ENSABRP00000019632	ENSABRG00000016826	Anser_brachyrhynchus	ENSABRT00000027698
ENSMGAP00000009845	ENSMGAG00000009539	Meleagris_gallopavo
ENSGALP00000012514	ENSGALG00000007727	Gallus_gallus
ENSNMEP00000024596	ENSNMEG00000020868	Numida_meleagris
ENSCPUP00000029176	ENSCPUG00000019579	Calidris_pugnax
ENSMUNP00000020264	ENSMUNG00000015429	Melopsittacus_undulatus
ENSCCEP00000023457	ENSCCEG00000021001	Cyanistes_caeruleus
ENSPMJP00000006647	ENSPMJG00000005560	Parus_major
ENSFALP00000013981	ENSFALG00000013396	Ficedula_albicollis
ENSTGUP00000010175	ENSTGUG00000009864	Taeniopygia_guttata
ENSJHYP00000017980	ENSJHYG00000013705	Junco_hyemalis
ENSZALP00000016726	ENSZALG00000013546	Zonotrichia_albicollis
ENSSCAP00000010622	ENSSCAG00000008022	Serinus_canaria
ENSLSDP00000012240	ENSLSDG00000008946	Lonchura_striata_domestica
ENSLCOP00000007598	ENSLCOG00000005595	Lepidothrix_coronata
ENSCPGP00000011111	ENSCPGG00000007925	Calidris_pygmaea
ENSCPUP00000029175	ENSCPUG00000019578	Calidris_pugnax
ENSNPEP00000003242	ENSNPEG00000002478	Nothoprocta_perdicaria
ENSDNVP00000017612	ENSDNVG00000012312	Dromaius_novaehollandiae
ENSAHAP00000023562	ENSAHAG00000016472	Apteryx_haastii
ENSAOWP00000019059	ENSAOWG00000012957	Apteryx_owenii
ENSNPEP00000003245	ENSNPEG00000002482	Nothoprocta_perdicaria
ENSCPBP00000000761	ENSCPBG00000000607	Chrysemys_picta_bellii
ENSDNVP00000017606	ENSDNVG00000012308	Dromaius_novaehollandiae
ENSCABP00000001915	ENSCABG00000001537	Chelonoidis_abingdonii
ENSPVIP00000019969	ENSPVIG00000015222	Pogona_vitticeps
ENSXETP00000007532	ENSXETG00000007895	Xenopus_tropicalis
ENSCHAP00000056047	ENSCHAG00000025384	Clupea_harengus
ENSDCDP00000061139	ENSDCDG00000034956	Denticeps_clupeoides
ENSAMXP00000040544	ENSAMXG00000044069	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005020284	ENSAMXG00005010512	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000023503	ENSPNAG00000008064	Pygocentrus_nattereri
ENSDARP00000070003	ENSDARG00000053483	Danio_rerio
ENSACLP00000033277	ENSACLG00000022547	Astatotilapia_calliptera
ENSMZEP00005011899	ENSMZEG00005008911	Maylandia_zebra
ENSHBUP00000027344	ENSHBUG00000010512	Haplochromis_burtoni
ENSPNYP00000004374	ENSPNYG00000003372	Pundamilia_nyererei
