ENSEEEP00000052016	ENSEEEG00000024406	Electrophorus_electricus
ENSIPUP00000028470	ENSIPUG00000019267	Ictalurus_punctatus
ENSPNAP00000009808	ENSPNAG00000015296	Pygocentrus_nattereri
ENSAMXP00000049102	ENSAMXG00000033066	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCHAP00000042780	ENSCHAG00000019914	Clupea_harengus
ENSPNYP00000026942	ENSPNYG00000020323	Pundamilia_nyererei
ENSACLP00000027901	ENSACLG00000018965	Astatotilapia_calliptera
ENSMZEP00005014442	ENSMZEG00005010867	Maylandia_zebra
ENSHBUP00000009556	ENSHBUG00000011094	Haplochromis_burtoni
ENSNBRP00000028970	ENSNBRG00000022085	Neolamprologus_brichardi
ENSACIP00000017174	ENSACIG00000013399	Amphilophus_citrinellus
ENSPRNP00000047304	ENSPRNG00000022751	Parambassis_ranga
ENSSLDP00000004837	ENSSLDG00000003842	Seriola_lalandi_dorsalis
ENSSLDP00000015435	ENSSLDG00000012274	Seriola_lalandi_dorsalis
ENSSDUP00000029975	ENSSDUG00000021604	Seriola_dumerili
ENSSMAP00000019098	ENSSMAG00000011716	Scophthalmus_maximus
ENSLCAP00010047424	ENSLCAG00010022013	Lates_calcarifer
ENSATEP00000024650	ENSATEG00000017126	Anabas_testudineus
ENSCGOP00000033756	ENSCGOG00000015640	Cottoperca_gobio
ENSMMOP00000001734	ENSMMOG00000001457	Mola_mola
ENSLCRP00005037586	ENSLCRG00005014638	Larimichthys_crocea
ENSLBEP00000002034	ENSLBEG00000001603	Labrus_bergylta
ENSAPEP00000034369	ENSAPEG00000024415	Amphiprion_percula
ENSAOCP00000021245	ENSAOCG00000005857	Amphiprion_ocellaris
ENSAPOP00000001374	ENSAPOG00000002662	Acanthochromis_polyacanthus
ENSSPAP00000000030	ENSSPAG00000000031	Stegastes_partitus
ENSFHEP00000004744	ENSFHEG00000005668	Fundulus_heteroclitus
ENSCVAP00000008039	ENSCVAG00000009778	Cyprinodon_variegatus
ENSKMAP00000008879	ENSKMAG00000006675	Kryptolebias_marmoratus
ENSORLP00000045525	ENSORLG00000023703	Oryzias_latipes_ASM223467v1
ENSORLP00015006076	ENSORLG00015006895	Oryzias_latipes_ASM223469v1
ENSOMEP00000032119	ENSOMEG00000017357	Oryzias_melastigma
ENSBSLP00000016750	ENSBSLG00000008792	Betta_splendens
ENSHCOP00000013085	ENSHCOG00000016187	Hippocampus_comes
ENSCSEP00000008403	ENSCSEG00000005374	Cynoglossus_semilaevis
ENSPMGP00000018484	ENSPMGG00000015075	Periophthalmus_magnuspinnatus
ENSGMOP00000021625	ENSGMOG00000020138	Gadus_morhua
ENSPKIP00000041373	ENSPKIG00000017950	Paramormyrops_kingsleyae	ENSPKIT00000022409
ENSECRP00000033397	ENSECRG00000022608	Erpetoichthys_calabaricus
