ENSOPRP00000011986	ENSOPRG00000013149	Ochotona_princeps
ENSPCIP00000001864	ENSPCIG00000001494	Phascolarctos_cinereus
ENSCGRP00001026770	ENSCGRG00001023985	Cricetulus_griseus_CHOK1GS_HDv1
MGP_PahariEiJ_P0064515	MGP_PahariEiJ_G0025481	Mus_pahari_strain_PAHARI_EIJ
ENSARWP00000021113	ENSARWG00000014420	Apteryx_rowi
ENSGGOP00000017457	ENSGGOG00000009510	Gorilla_gorilla
ENSMFAP00000042024	ENSMFAG00000039808	Macaca_fascicularis
ENSTSYP00000011036	ENSTSYG00000012060	Carlito_syrichta
ENSAMEP00000016699	ENSAMEG00000015831	Ailuropoda_melanoleuca
ENSDNVP00000014446	ENSDNVG00000010155	Dromaius_novaehollandiae
ENSSPUP00000006771	ENSSPUG00000005220	Sphenodon_punctatus	ENSSPUT00000007198
ENSMPUP00000011131	ENSMPUG00000011223	Mustela_putorius_furo
ENSP00000416606	ENSG00000131808	Homo_sapiens
ENSCJPP00005018939	ENSCJPG00005015395	Coturnix_japonica
ENSCABP00000029893	ENSCABG00000021932	Chelonoidis_abingdonii
ENSMVIP00005001185	ENSMVIG00005000922	Manacus_vitellinus
ENSVVUP00000000274	ENSVVUG00000000206	Vulpes_vulpes
ENSPTIP00000025150	ENSPTIG00000021036	Panthera_tigris_altaica
ENSXETP00000025330	ENSXETG00000003845	Xenopus_tropicalis
ENSMICP00000010492	ENSMICG00000011542	Microcebus_murinus
ENSHGLP00000018262	ENSHGLG00000013070	Heterocephalus_glaber_HetGla_female_1.0
ENSBTAP00000014462	ENSBTAG00000010889	Bos_taurus
ENSFCAP00000013571	ENSFCAG00000014631	Felis_catus
ENSPVAP00000000767	ENSPVAG00000000813	Pteropus_vampyrus
ENSCANP00000020578	ENSCANG00000033729	Colobus_angolensis_palliatus
ENSBBBP00000003859	ENSBBBG00000002507	Bison_bison_bison
ENSRROP00000023642	ENSRROG00000035660	Rhinopithecus_roxellana
ENSCHIP00000026623	ENSCHIG00000022859	Capra_hircus
ENSMAUP00000002643	ENSMAUG00000002330	Mesocricetus_auratus
ENSBMUP00000005704	ENSBMUG00000004490	Bos_mutus
ENSCCNP00000016749	ENSCCNG00000017033	Castor_canadensis
ENSOCUP00000016404	ENSOCUG00000021932	Oryctolagus_cuniculus
ENSPANP00000002445	ENSPANG00000017040	Papio_anubis
ENSEEUP00000009975	ENSEEUG00000010968	Erinaceus_europaeus
ENSVURP00010018926	ENSVURG00010014414	Vombatus_ursinus
ENSJHYP00000004733	ENSJHYG00000003902	Junco_hyemalis
ENSPMJP00000002920	ENSPMJG00000002594	Parus_major	ENSPMJT00000004200
ENSFDAP00000010588	ENSFDAG00000018299	Fukomys_damarensis
ENSSTOP00000000505	ENSSTOG00000000563	Ictidomys_tridecemlineatus
ENSCHIP00000027637	ENSCHIG00000023477	Capra_hircus
ENSCCAP00000010865	ENSCCAG00000023183	Cebus_capucinus_imitator
ENSSCAP00000010289	ENSSCAG00000007810	Serinus_canaria
ENSANAP00000026772	ENSANAG00000031137	Aotus_nancymaae
ENSOANP00000016984	ENSOANG00000010708	Ornithorhynchus_anatinus
ENSTGEP00000008109	ENSTGEG00000006634	Theropithecus_gelada
