ENSMUNP00000008536	ENSMUNG00000006754	Melopsittacus_undulatus
ENSPTIP00000015125	ENSPTIG00000014312	Panthera_tigris_altaica
ENSETEP00000006367	ENSETEG00000007842	Echinops_telfairi	ENSETET00000007842
ENSMAUP00000012300	ENSMAUG00000012612	Mesocricetus_auratus
ENSATEP00000034125	ENSATEG00000023460	Anabas_testudineus
ENSFCAP00000017665	ENSFCAG00000024827	Felis_catus
ENSTBEP00000011113	ENSTBEG00000012785	Tupaia_belangeri
ENSCVAP00000006109	ENSCVAG00000007756	Cyprinodon_variegatus
ENSAOCP00000008892	ENSAOCG00000012954	Amphiprion_ocellaris
ENSSDUP00000019908	ENSSDUG00000014450	Seriola_dumerili
ENSFDAP00000022488	ENSFDAG00000020876	Fukomys_damarensis
ENSLACP00000000863	ENSLACG00000000775	Latimeria_chalumnae
ENSEBUP00000025622	ENSEBUG00000015782	Eptatretus_burgeri
ENSAPLP00000004618	ENSAPLG00000005055	Anas_platyrhynchos_platyrhynchos
ENSCJAP00000059359	ENSCJAG00000042593	Callithrix_jacchus
ENSCAPP00000008909	ENSCAPG00000010500	Cavia_aperea
ENSOPRP00000013353	ENSOPRG00000014620	Ochotona_princeps
ENSKMAP00000028680	ENSKMAG00000021252	Kryptolebias_marmoratus
ENSACIP00000018499	ENSACIG00000014358	Amphilophus_citrinellus
ENSSLDP00000017715	ENSSLDG00000013960	Seriola_lalandi_dorsalis
ENSNGAP00000006403	ENSNGAG00000009504	Nannospalax_galili
ENSLSDP00000011169	ENSLSDG00000008193	Lonchura_striata_domestica
ENSNVIP00000018103	ENSNVIG00000014140	Neovison_vison
ENSAPOP00000009217	ENSAPOG00000011590	Acanthochromis_polyacanthus
ENSOCUP00000019683	ENSOCUG00000001748	Oryctolagus_cuniculus
ENSDNOP00000031909	ENSDNOG00000033825	Dasypus_novemcinctus
ENSPTRP00000008197	ENSPTRG00000004800	Pan_troglodytes
ENSPEMP00000015372	ENSPEMG00000014911	Peromyscus_maniculatus_bairdii
ENSAOWP00000020051	ENSAOWG00000013567	Apteryx_owenii
ENSOARP00000021014	ENSOARG00000019564	Ovis_aries
ENSXMAP00000033434	ENSXMAG00000027970	Xiphophorus_maculatus
ENSMMMP00000025048	ENSMMMG00000021829	Marmota_marmota_marmota
ENSCCAP00000014248	ENSCCAG00000024937	Cebus_capucinus_imitator
ENSVURP00010006256	ENSVURG00010004848	Vombatus_ursinus	ENSVURT00010007074
ENSCPGP00000013352	ENSCPGG00000009475	Calidris_pygmaea
ENSPCAP00000014580	ENSPCAG00000015562	Procavia_capensis	ENSPCAT00000015592
ENSPFOP00000029175	ENSPFOG00000022074	Poecilia_formosa
ENSCHIP00000025931	ENSCHIG00000022481	Capra_hircus
ENSXETP00000045649	ENSXETG00000017710	Xenopus_tropicalis
ENSLAFP00000002554	ENSLAFG00000003063	Loxodonta_africana	ENSLAFT00000003063
ENSXCOP00000005320	ENSXCOG00000004166	Xiphophorus_couchianus
ENSCANP00000006772	ENSCANG00000022363	Colobus_angolensis_palliatus
ENSPCIP00000019968	ENSPCIG00000015221	Phascolarctos_cinereus	ENSPCIT00000024643
ENSPANP00000000707	ENSPANG00000013680	Papio_anubis
ENSLCRP00005040970	ENSLCRG00005015790	Larimichthys_crocea
ENSLBEP00000033653	ENSLBEG00000025340	Labrus_bergylta
ENSCPBP00000039585	ENSCPBG00000027254	Chrysemys_picta_bellii
ENSMMUP00000020790	ENSMMUG00000015817	Macaca_mulatta
ENSPLAP00000023651	ENSPLAG00000009112	Poecilia_latipinna
