ENSOMEP00000029548	ENSOMEG00000013283	Oryzias_melastigma
ENSNVIP00000023243	ENSNVIG00000018109	Neovison_vison
MGP_PahariEiJ_P0017037	MGP_PahariEiJ_G0013093	Mus_pahari_strain_PAHARI_EIJ
ENSOARP00000011744	ENSOARG00000010954	Ovis_aries
ENSTSYP00000018782	ENSTSYG00000003995	Carlito_syrichta
ENSLSDP00000024818	ENSLSDG00000017398	Lonchura_striata_domestica
ENSCPOP00000013059	ENSCPOG00000014493	Cavia_porcellus
ENSCAFP00020023940	ENSCAFG00020018845	Canis_lupus_dingo
ENSEBUP00000001589	ENSEBUG00000001348	Eptatretus_burgeri	ENSEBUT00000001919
ENSELUP00000010094	ENSELUG00000001233	Esox_lucius
ENSPMGP00000021791	ENSPMGG00000017643	Periophthalmus_magnuspinnatus
ENSCAPP00000018684	ENSCAPG00000018018	Cavia_aperea
ENSCSAP00000013234	ENSCSAG00000017198	Chlorocebus_sabaeus
ENSHBUP00000008698	ENSHBUG00000010231	Haplochromis_burtoni
ENSLACP00000020942	ENSLACG00000018400	Latimeria_chalumnae
ENSCCNP00000028806	ENSCCNG00000027707	Castor_canadensis
ENSMLUP00000017722	ENSMLUG00000027722	Myotis_lucifugus
ENSPVAP00000001504	ENSPVAG00000001595	Pteropus_vampyrus
ENSBMUP00000003832	ENSBMUG00000003004	Bos_mutus
ENSMODP00000051293	ENSMODG00000049232	Monodelphis_domestica
ENSAMEP00000013468	ENSAMEG00000012788	Ailuropoda_melanoleuca
ENSHGLP00100016241	ENSHGLG00100011994	Heterocephalus_glaber_HetGla_1.0
ENSIPUP00000013161	ENSIPUG00000008962	Ictalurus_punctatus
ENSSFOP00015037118	ENSSFOG00015023617	Scleropages_formosus
ENSSDUP00000027935	ENSSDUG00000020187	Seriola_dumerili
ENSSMAP00000025265	ENSSMAG00000015454	Scophthalmus_maximus
ENSAPOP00000031517	ENSAPOG00000018813	Acanthochromis_polyacanthus
ENSFALP00000010885	ENSFALG00000010439	Ficedula_albicollis
ENSRROP00000035870	ENSRROG00000041396	Rhinopithecus_roxellana
