ENSOMEP00000001116	ENSOMEG00000002002	Oryzias_melastigma
ENSCSEP00000031582	ENSCSEG00000020231	Cynoglossus_semilaevis
ENSAPEP00000001328	ENSAPEG00000000959	Amphiprion_percula
ENSGAFP00000005131	ENSGAFG00000003483	Gambusia_affinis
ENSACIP00000000878	ENSACIG00000000746	Amphilophus_citrinellus
ENSMZEP00005022657	ENSMZEG00005016967	Maylandia_zebra
ENSEEEP00000005814	ENSEEEG00000003081	Electrophorus_electricus
ENSCVAP00000000019	ENSCVAG00000023452	Cyprinodon_variegatus
ENSSPAP00000001625	ENSSPAG00000001249	Stegastes_partitus
ENSSDUP00000011245	ENSSDUG00000008183	Seriola_dumerili
ENSAPOP00000003766	ENSAPOG00000005282	Acanthochromis_polyacanthus
ENSHHUP00000082350	ENSHHUG00000047853	Hucho_hucho
ENSBSLP00000047600	ENSBSLG00000022617	Betta_splendens
ENSPFOP00000019540	ENSPFOG00000019419	Poecilia_formosa
ENSMMOP00000021986	ENSMMOG00000016713	Mola_mola
ENSAMXP00000051930	ENSAMXG00000002716	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000031285
ENSPNAP00000011569	ENSPNAG00000017261	Pygocentrus_nattereri
ENSDARP00000100035	ENSDARG00000078916	Danio_rerio
ENSSLDP00000025834	ENSSLDG00000020064	Seriola_lalandi_dorsalis
ENSLCAP00010013209	ENSLCAG00010006252	Lates_calcarifer
ENSPREP00000034133	ENSPREG00000023118	Poecilia_reticulata
ENSSFOP00015012120	ENSSFOG00015007816	Scleropages_formosus	ENSSFOT00015012274
ENSACLP00000025357	ENSACLG00000017255	Astatotilapia_calliptera
ENSHBUP00000020098	ENSHBUG00000022343	Haplochromis_burtoni
ENSKMAP00000013550	ENSKMAG00000010174	Kryptolebias_marmoratus
ENSTNIP00000003879	ENSTNIG00000010044	Tetraodon_nigroviridis
ENSATEP00000024363	ENSATEG00000016913	Anabas_testudineus
ENSLOCP00000002667	ENSLOCG00000002265	Lepisosteus_oculatus
ENSPRNP00000040235	ENSPRNG00000019765	Parambassis_ranga
ENSORLP00015010399	ENSORLG00015011205	Oryzias_latipes_ASM223469v1
ENSONIP00000006560	ENSONIG00000005224	Oreochromis_niloticus
ENSGMOP00000003213	ENSGMOG00000003045	Gadus_morhua
ENSLBEP00000003836	ENSLBEG00000002978	Labrus_bergylta
ENSAMXP00005021125	ENSAMXG00005010951	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGWIP00000033710	ENSGWIG00000017389	Gouania_willdenowi
ENSELUP00000019673	ENSELUG00000019011	Esox_lucius
ENSGWIP00000007767	ENSGWIG00000004519	Gouania_willdenowi
ENSPNYP00000020481	ENSPNYG00000015500	Pundamilia_nyererei
ENSXCOP00000009308	ENSXCOG00000007091	Xiphophorus_couchianus
ENSGACP00000027370	ENSGACG00000020698	Gasterosteus_aculeatus
ENSXMAP00000031227	ENSXMAG00000029664	Xiphophorus_maculatus
ENSMAMP00000025586	ENSMAMG00000017181	Mastacembelus_armatus
ENSPLAP00000011335	ENSPLAG00000014451	Poecilia_latipinna
ENSECRP00000008078	ENSECRG00000005388	Erpetoichthys_calabaricus
ENSORLP00020024478	ENSORLG00020005885	Oryzias_latipes_ASM223471v1
ENSORLP00000008757	ENSORLG00000006973	Oryzias_latipes_ASM223467v1
ENSPMEP00000028564	ENSPMEG00000013738	Poecilia_mexicana
ENSCGOP00000050369	ENSCGOG00000022365	Cottoperca_gobio
ENSPMGP00000010277	ENSPMGG00000008516	Periophthalmus_magnuspinnatus
ENSGWIP00000004727	ENSGWIG00000002515	Gouania_willdenowi
ENSHHUP00000005034	ENSHHUG00000003096	Hucho_hucho
ENSAOCP00000031836	ENSAOCG00000023759	Amphiprion_ocellaris
ENSMALP00000021770	ENSMALG00000015227	Monopterus_albus
ENSDCDP00000016687	ENSDCDG00000013690	Denticeps_clupeoides
ENSLCRP00005034724	ENSLCRG00005013603	Larimichthys_crocea
ENSFHEP00000029638	ENSFHEG00000014449	Fundulus_heteroclitus
ENSHCOP00000000839	ENSHCOG00000001717	Hippocampus_comes
ENSNBRP00000028298	ENSNBRG00000021556	Neolamprologus_brichardi
ENSIPUP00000003357	ENSIPUG00000002365	Ictalurus_punctatus
ENSTRUP00000043049	ENSTRUG00000016808	Takifugu_rubripes
ENSPKIP00000011461	ENSPKIG00000018535	Paramormyrops_kingsleyae	ENSPKIT00000023406
ENSSMAP00000021451	ENSSMAG00000013155	Scophthalmus_maximus
