ENSCPUP00000026052	ENSCPUG00000017547	Calidris_pugnax
ENSMUNP00000002053	ENSMUNG00000001830	Melopsittacus_undulatus
ENSLSDP00000016965	ENSLSDG00000012190	Lonchura_striata_domestica
ENSSCAP00000022518	ENSSCAG00000016177	Serinus_canaria
ENSFALP00000011240	ENSFALG00000010773	Ficedula_albicollis
ENSZALP00000008404	ENSZALG00000007327	Zonotrichia_albicollis
ENSPMJP00000016136	ENSPMJG00000012220	Parus_major
ENSCCEP00000021693	ENSCCEG00000019653	Cyanistes_caeruleus
ENSLCOP00000015933	ENSLCOG00000011378	Lepidothrix_coronata
ENSMVIP00005023184	ENSMVIG00005016254	Manacus_vitellinus
ENSCJPP00005021238	ENSCJPG00005016997	Coturnix_japonica
ENSCJPP00005021241	ENSCJPG00005017000	Coturnix_japonica
ENSGALP00000038691	ENSGALG00000007656	Gallus_gallus
ENSNMEP00000024483	ENSNMEG00000020797	Numida_meleagris
ENSAHAP00000027525	ENSAHAG00000019159	Apteryx_haastii
ENSARWP00000018254	ENSARWG00000012553	Apteryx_rowi
ENSAOWP00000021626	ENSAOWG00000014609	Apteryx_owenii
ENSNPEP00000009630	ENSNPEG00000007225	Nothoprocta_perdicaria
ENSDNVP00000003361	ENSDNVG00000002380	Dromaius_novaehollandiae
ENSABRP00000022220	ENSABRG00000018825	Anser_brachyrhynchus
ENSAPLP00000008921	ENSAPLG00000009237	Anas_platyrhynchos_platyrhynchos
ENSMUNP00000005317	ENSMUNG00000004374	Melopsittacus_undulatus
ENSJHYP00000001318	ENSJHYG00000001141	Junco_hyemalis
ENSCPGP00000019006	ENSCPGG00000013297	Calidris_pygmaea
ENSMGAP00000018032	ENSMGAG00000016420	Meleagris_gallopavo
ENSCPRP00005010270	ENSCPRG00005007318	Crocodylus_porosus
ENSGAGP00000024159	ENSGAGG00000017670	Gopherus_agassizii
ENSCABP00000030701	ENSCABG00000022446	Chelonoidis_abingdonii
ENSCPBP00000020639	ENSCPBG00000014844	Chrysemys_picta_bellii
ENSPSIP00000010460	ENSPSIG00000009496	Pelodiscus_sinensis
ENSPVIP00000006861	ENSPVIG00000005647	Pogona_vitticeps
ENSNSUP00000028860	ENSNSUG00000020501	Notechis_scutatus
ENSSPUP00000016211	ENSSPUG00000012546	Sphenodon_punctatus
ENSXETP00000042906	ENSXETG00000010515	Xenopus_tropicalis
ENSLACP00000014206	ENSLACG00000012509	Latimeria_chalumnae
ENSSFOP00015008135	ENSSFOG00015005330	Scleropages_formosus
ENSPKIP00000000198	ENSPKIG00000018962	Paramormyrops_kingsleyae
ENSSFOP00015017067	ENSSFOG00015010988	Scleropages_formosus
ENSSFOP00015017037	ENSSFOG00015010976	Scleropages_formosus
ENSPKIP00000035136	ENSPKIG00000014211	Paramormyrops_kingsleyae
ENSDCDP00000055579	ENSDCDG00000032843	Denticeps_clupeoides
ENSCHAP00000050889	ENSCHAG00000023327	Clupea_harengus
ENSAMXP00000030779	ENSAMXG00000035488	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005053595	ENSAMXG00005024001	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031436	ENSPNAG00000018771	Pygocentrus_nattereri
ENSIPUP00000029221	ENSIPUG00000019736	Ictalurus_punctatus
ENSEEEP00000026257	ENSEEEG00000012696	Electrophorus_electricus
ENSDARP00000098008	ENSDARG00000036292	Danio_rerio
ENSHHUP00000009412	ENSHHUG00000005736	Hucho_hucho
ENSHHUP00000049246	ENSHHUG00000029842	Hucho_hucho
ENSELUP00000001379	ENSELUG00000002867	Esox_lucius
ENSPMGP00000021939	ENSPMGG00000017768	Periophthalmus_magnuspinnatus
ENSHCOP00000002866	ENSHCOG00000004106	Hippocampus_comes
ENSSDUP00000025499	ENSSDUG00000018491	Seriola_dumerili
ENSSLDP00000029461	ENSSLDG00000022727	Seriola_lalandi_dorsalis
ENSLCAP00010042390	ENSLCAG00010019815	Lates_calcarifer
ENSCSEP00000007520	ENSCSEG00000004854	Cynoglossus_semilaevis
ENSPNYP00000018041	ENSPNYG00000013615	Pundamilia_nyererei
ENSACLP00000027687	ENSACLG00000018817	Astatotilapia_calliptera
ENSMZEP00005007255	ENSMZEG00005005584	Maylandia_zebra
ENSONIP00000003532	ENSONIG00000002817	Oreochromis_niloticus
ENSNBRP00000030198	ENSNBRG00000022960	Neolamprologus_brichardi
ENSACIP00000013687	ENSACIG00000010629	Amphilophus_citrinellus
ENSGWIP00000002793	ENSGWIG00000001515	Gouania_willdenowi
ENSPFOP00000009831	ENSPFOG00000009872	Poecilia_formosa
ENSPMEP00000028951	ENSPMEG00000014382	Poecilia_mexicana
ENSPLAP00000013306	ENSPLAG00000016807	Poecilia_latipinna
ENSPREP00000013466	ENSPREG00000009155	Poecilia_reticulata
ENSXMAP00000013221	ENSXMAG00000013191	Xiphophorus_maculatus
ENSXCOP00000021036	ENSXCOG00000015739	Xiphophorus_couchianus
ENSGAFP00000029457	ENSGAFG00000019863	Gambusia_affinis
ENSFHEP00000030366	ENSFHEG00000015633	Fundulus_heteroclitus
ENSCVAP00000029918	ENSCVAG00000018106	Cyprinodon_variegatus
ENSKMAP00000003905	ENSKMAG00000002979	Kryptolebias_marmoratus
ENSORLP00020019240	ENSORLG00020020233	Oryzias_latipes_ASM223471v1
ENSORLP00015027614	ENSORLG00015009778	Oryzias_latipes_ASM223469v1
ENSORLP00000002441	ENSORLG00000001963	Oryzias_latipes_ASM223467v1
ENSOMEP00000032168	ENSOMEG00000017478	Oryzias_melastigma
ENSAOCP00000003797	ENSAOCG00000007168	Amphiprion_ocellaris
ENSAPEP00000011957	ENSAPEG00000008501	Amphiprion_percula
ENSAPOP00000004320	ENSAPOG00000005959	Acanthochromis_polyacanthus
ENSSPAP00000008432	ENSSPAG00000006405	Stegastes_partitus
ENSMMOP00000002522	ENSMMOG00000002049	Mola_mola
ENSTRUP00000028797	ENSTRUG00000011401	Takifugu_rubripes
ENSCGOP00000015176	ENSCGOG00000007370	Cottoperca_gobio
ENSLBEP00000010132	ENSLBEG00000007834	Labrus_bergylta
ENSSMAP00000026556	ENSSMAG00000016233	Scophthalmus_maximus
ENSBSLP00000023715	ENSBSLG00000012083	Betta_splendens
ENSMALP00000015563	ENSMALG00000010928	Monopterus_albus
ENSMAMP00000031190	ENSMAMG00000020985	Mastacembelus_armatus
ENSATEP00000022276	ENSATEG00000015415	Anabas_testudineus
ENSPRNP00000031860	ENSPRNG00000015977	Parambassis_ranga
ENSHBUP00000029352	ENSHBUG00000013732	Haplochromis_burtoni
ENSLCRP00005050557	ENSLCRG00005019065	Larimichthys_crocea
ENSGACP00000022605	ENSGACG00000017113	Gasterosteus_aculeatus
ENSLCRP00005050558	ENSLCRG00005019066	Larimichthys_crocea
ENSGMOP00000003958	ENSGMOG00000003732	Gadus_morhua
ENSLOCP00000018731	ENSLOCG00000015221	Lepisosteus_oculatus
ENSECRP00000020698	ENSECRG00000013918	Erpetoichthys_calabaricus
ENSCMIP00000038631	ENSCMIG00000016210	Callorhinchus_milii
ENSCMIP00000019667	ENSCMIG00000009145	Callorhinchus_milii
