ENSVURP00010028626	ENSVURG00010021917	Vombatus_ursinus	ENSVURT00010032616
ENSPCIP00000015845	ENSPCIG00000012294	Phascolarctos_cinereus	ENSPCIT00000019590
ENSMEUP00000011737	ENSMEUG00000012880	Notamacropus_eugenii	ENSMEUT00000012909
ENSMODP00000017856	ENSMODG00000014290	Monodelphis_domestica	ENSMODT00000018185
ENSSHAP00000003412	ENSSHAG00000003001	Sarcophilus_harrisii	ENSSHAT00000003448
ENSEASP00005030863	ENSEASG00005021031	Equus_asinus_asinus
ENSECAP00000013034	ENSECAG00000015363	Equus_caballus
ENSPVAP00000008644	ENSPVAG00000009164	Pteropus_vampyrus
ENSSARP00000012955	ENSSARG00000014315	Sorex_araneus
ENSMLUP00000006325	ENSMLUG00000006924	Myotis_lucifugus
ENSUAMP00000009165	ENSUAMG00000007654	Ursus_americanus
ENSUMAP00000006025	ENSUMAG00000004762	Ursus_maritimus
ENSAMEP00000011753	ENSAMEG00000011165	Ailuropoda_melanoleuca
ENSMPUP00000003702	ENSMPUG00000003732	Mustela_putorius_furo
ENSNVIP00000028971	ENSNVIG00000022345	Neovison_vison
ENSCAFP00020013575	ENSCAFG00020010910	Canis_lupus_dingo
ENSCAFP00000021970	ENSCAFG00000014906	Canis_lupus_familiaris
ENSVVUP00000032666	ENSVVUG00000023676	Vulpes_vulpes
ENSPTIP00000006822	ENSPTIG00000008636	Panthera_tigris_altaica
ENSPPRP00000016034	ENSPPRG00000008455	Panthera_pardus
ENSFCAP00000005573	ENSFCAG00000005998	Felis_catus
ENSCCNP00000026345	ENSCCNG00000025578	Castor_canadensis
ENSDORP00000003302	ENSDORG00000003528	Dipodomys_ordii
MGP_SPRETEiJ_P0042570	MGP_SPRETEiJ_G0021420	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0040719	MGP_CAROLIEiJ_G0020525	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000023390	ENSMSIG00000019849	Mus_spicilegus
ENSMUSP00000112412	ENSMUSG00000022750	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0028105	MGP_PahariEiJ_G0016230	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075207	ENSRNOG00000001878	Rattus_norvegicus
ENSMUGP00000026091	ENSMUGG00000021773	Meriones_unguiculatus
ENSCGRP00015009574	ENSCGRG00015007388	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000002913	ENSCGRG00000002129	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001011779	ENSCGRG00001013341	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000019042	ENSMAUG00000017434	Mesocricetus_auratus
ENSMOCP00000022345	ENSMOCG00000019418	Microtus_ochrogaster
ENSPEMP00000025869	ENSPEMG00000022157	Peromyscus_maniculatus_bairdii
ENSNGAP00000016980	ENSNGAG00000017539	Nannospalax_galili
ENSJJAP00000022547	ENSJJAG00000022580	Jaculus_jaculus
ENSP00000331682	ENSG00000099910	Homo_sapiens
ENSGGOP00000015462	ENSGGOG00000015856	Gorilla_gorilla
ENSPTRP00000049839	ENSPTRG00000014085	Pan_troglodytes
ENSPPAP00000011778	ENSPPAG00000029088	Pan_paniscus
ENSPPYP00000012938	ENSPPYG00000011600	Pongo_abelii
ENSNLEP00000009641	ENSNLEG00000007910	Nomascus_leucogenys
ENSPANP00000015867	ENSPANG00000012339	Papio_anubis
ENSTGEP00000006419	ENSTGEG00000005268	Theropithecus_gelada
ENSMLEP00000020379	ENSMLEG00000034401	Mandrillus_leucophaeus
