ENSOANP00000032793	ENSOANG00000029474	Ornithorhynchus_anatinus	ENSOANT00000042041
ENSOANP00000032354	ENSOANG00000030989	Ornithorhynchus_anatinus	ENSOANT00000041603
ENSOANP00000015739	ENSOANG00000009931	Ornithorhynchus_anatinus	ENSOANT00000015742
ENSPCIP00000017435	ENSPCIG00000013341	Phascolarctos_cinereus	ENSPCIT00000021505
ENSMEUP00000015044	ENSMEUG00000016433	Notamacropus_eugenii	ENSMEUT00000016496
ENSVURP00010003370	ENSVURG00010002152	Vombatus_ursinus	ENSVURT00010003828
ENSVURP00010005215	ENSVURG00010003789	Vombatus_ursinus	ENSVURT00010005906
ENSSHAP00000017873	ENSSHAG00000015174	Sarcophilus_harrisii	ENSSHAT00000018021
ENSMODP00000007131	ENSMODG00000005750	Monodelphis_domestica	ENSMODT00000007275
ENSDNOP00000013162	ENSDNOG00000016988	Dasypus_novemcinctus	ENSDNOT00000016990
ENSCHOP00000006843	ENSCHOG00000007701	Choloepus_hoffmanni	ENSCHOT00000007747
ENSLAFP00000001429	ENSLAFG00000001710	Loxodonta_africana	ENSLAFT00000001712
ENSPCAP00000001506	ENSPCAG00000001492	Procavia_capensis	ENSPCAT00000001600
ENSETEP00000013093	ENSETEG00000016146	Echinops_telfairi	ENSETET00000016147
ENSCCNP00000028044	ENSCCNG00000026683	Castor_canadensis
ENSDORP00000011097	ENSDORG00000011803	Dipodomys_ordii
ENSCGRP00000014978	ENSCGRG00000010854	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001016903	ENSCGRG00001017065	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015002631	ENSCGRG00015001898	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003069	ENSMAUG00000003152	Mesocricetus_auratus
ENSMOCP00000006290	ENSMOCG00000005827	Microtus_ochrogaster
ENSPEMP00000002846	ENSPEMG00000003369	Peromyscus_maniculatus_bairdii
ENSMSIP00000001981	ENSMSIG00000001855	Mus_spicilegus
ENSMUSP00000130604	ENSMUSG00000024998	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0050700	MGP_SPRETEiJ_G0023845	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0021671	MGP_PahariEiJ_G0014420	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000072165	ENSRNOG00000014276	Rattus_norvegicus
ENSNGAP00000020210	ENSNGAG00000019738	Nannospalax_galili
ENSJJAP00000023460	ENSJJAG00000023188	Jaculus_jaculus
ENSHGLP00000019017	ENSHGLG00000013624	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000778	ENSHGLG00100000639	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021195	ENSFDAG00000007883	Fukomys_damarensis
ENSCLAP00000008399	ENSCLAG00000005878	Chinchilla_lanigera
ENSCPOP00000008727	ENSCPOG00000009723	Cavia_porcellus
ENSCAPP00000004298	ENSCAPG00000006818	Cavia_aperea
ENSODEP00000021876	ENSODEG00000016086	Octodon_degus
ENSUPAP00010020084	ENSUPAG00010015907	Urocitellus_parryii
ENSSTOP00000015661	ENSSTOG00000014154	Ictidomys_tridecemlineatus
ENSSDAP00000012555	ENSSDAG00000011040	Spermophilus_dauricus
ENSMMMP00000018813	ENSMMMG00000016548	Marmota_marmota_marmota
ENSOCUP00000001561	ENSOCUG00000001816	Oryctolagus_cuniculus
ENSOPRP00000012112	ENSOPRG00000013240	Ochotona_princeps
ENSPTRP00000055062	ENSPTRG00000002775	Pan_troglodytes
ENSPPAP00000019782	ENSPPAG00000033051	Pan_paniscus
ENSP00000360431	ENSG00000138193	Homo_sapiens
ENSGGOP00000007649	ENSGGOG00000007807	Gorilla_gorilla
ENSPPYP00000002895	ENSPPYG00000002499	Pongo_abelii
ENSNLEP00000015717	ENSNLEG00000012910	Nomascus_leucogenys
ENSTGEP00000012728	ENSTGEG00000010376	Theropithecus_gelada
ENSPANP00000020671	ENSPANG00000021518	Papio_anubis
ENSMFAP00000012066	ENSMFAG00000020572	Macaca_fascicularis
ENSMMUP00000002160	ENSMMUG00000001608	Macaca_mulatta
ENSMNEP00000012924	ENSMNEG00000030694	Macaca_nemestrina
ENSCATP00000016275	ENSCATG00000032075	Cercocebus_atys
ENSMLEP00000002997	ENSMLEG00000012552	Mandrillus_leucophaeus
ENSCSAP00000002510	ENSCSAG00000006211	Chlorocebus_sabaeus
ENSRROP00000031664	ENSRROG00000039516	Rhinopithecus_roxellana
ENSRBIP00000020159	ENSRBIG00000034045	Rhinopithecus_bieti
ENSPTEP00000037338	ENSPTEG00000034926	Piliocolobus_tephrosceles
ENSCANP00000006121	ENSCANG00000020294	Colobus_angolensis_palliatus
ENSCCAP00000000598	ENSCCAG00000002880	Cebus_capucinus_imitator
ENSSBOP00000006555	ENSSBOG00000020180	Saimiri_boliviensis_boliviensis
