ENSELUP00000004591	ENSELUG00000005721	Esox_lucius
ENSOARP00000008940	ENSOARG00000008338	Ovis_aries
ENSIPUP00000004525	ENSIPUG00000003177	Ictalurus_punctatus
ENSCGRP00015023073	ENSCGRG00015017511	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000015837	ENSMOCG00000014903	Microtus_ochrogaster
ENSRBIP00000023308	ENSRBIG00000035572	Rhinopithecus_bieti
ENSLAFP00000013224	ENSLAFG00000015770	Loxodonta_africana
ENSTBEP00000002095	ENSTBEG00000002419	Tupaia_belangeri
ENSPCOP00000030413	ENSPCOG00000027928	Propithecus_coquereli
ENSGGOP00000014099	ENSGGOG00000014453	Gorilla_gorilla
ENSOPRP00000006204	ENSOPRG00000006770	Ochotona_princeps
ENSPCAP00000003387	ENSPCAG00000003596	Procavia_capensis
ENSEASP00005006891	ENSEASG00005005084	Equus_asinus_asinus
ENSCATP00000044135	ENSCATG00000044541	Cercocebus_atys
ENSODEP00000024049	ENSODEG00000017597	Octodon_degus
ENSVURP00010000337	ENSVURG00010000315	Vombatus_ursinus
ENSDARP00000142434	ENSDARG00000075203	Danio_rerio
ENSANAP00000022800	ENSANAG00000029124	Aotus_nancymaae
ENSPMEP00000002243	ENSPMEG00000003279	Poecilia_mexicana
ENSORLP00015016929	ENSORLG00015017910	Oryzias_latipes_ASM223469v1
ENSCANP00000021605	ENSCANG00000034233	Colobus_angolensis_palliatus
ENSCSAP00000004644	ENSCSAG00000008394	Chlorocebus_sabaeus
ENSMLUP00000014956	ENSMLUG00000016409	Myotis_lucifugus
ENSSDUP00000022111	ENSSDUG00000016087	Seriola_dumerili
ENSSMAP00000029833	ENSSMAG00000018299	Scophthalmus_maximus
ENSPTRP00000073163	ENSPTRG00000003938	Pan_troglodytes
ENSFDAP00000008963	ENSFDAG00000017093	Fukomys_damarensis
ENSPSMP00000037657	ENSPSMG00000025863	Prolemur_simus
ENSOMEP00000017827	ENSOMEG00000019516	Oryzias_melastigma
ENSNGAP00000005397	ENSNGAG00000007645	Nannospalax_galili
ENSCHAP00000049420	ENSCHAG00000022688	Clupea_harengus
ENSPNAP00000016448	ENSPNAG00000022650	Pygocentrus_nattereri
ENSLCRP00005010183	ENSLCRG00005004678	Larimichthys_crocea
ENSAPOP00000019388	ENSAPOG00000022813	Acanthochromis_polyacanthus
ENSCGRP00001014281	ENSCGRG00001015205	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000016826	ENSCGRG00000012236	Cricetulus_griseus_CriGri_1.0
