ENSPMAP00000000230	ENSPMAG00000000206	Petromyzon_marinus	ENSPMAT00000000230
ENSEBUP00000026528	ENSEBUG00000016334	Eptatretus_burgeri	ENSEBUT00000027104
ENSHGLP00000003384	ENSHGLG00000002499	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007255	ENSHGLG00100005445	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008319	ENSFDAG00000016602	Fukomys_damarensis
ENSCLAP00000010944	ENSCLAG00000007553	Chinchilla_lanigera
ENSODEP00000025170	ENSODEG00000018423	Octodon_degus
ENSCPOP00000008399	ENSCPOG00000009357	Cavia_porcellus
ENSUPAP00010025015	ENSUPAG00010019812	Urocitellus_parryii
ENSSTOP00000022368	ENSSTOG00000027357	Ictidomys_tridecemlineatus
ENSMMMP00000007857	ENSMMMG00000007046	Marmota_marmota_marmota
ENSCCNP00000009558	ENSCCNG00000010070	Castor_canadensis
ENSDORP00000008828	ENSDORG00000009400	Dipodomys_ordii
ENSCGRP00001004506	ENSCGRG00001005747	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015031275	ENSCGRG00015023578	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000021144	ENSMOCG00000018593	Microtus_ochrogaster
ENSMAUP00000024276	ENSMAUG00000021188	Mesocricetus_auratus
ENSPEMP00000021729	ENSPEMG00000019283	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0048137	MGP_SPRETEiJ_G0022971	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000038270	ENSMSIG00000031899	Mus_spicilegus
ENSMUSP00000114323	ENSMUSG00000057455	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0046212	MGP_CAROLIEiJ_G0022060	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038816	MGP_PahariEiJ_G0018794	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023871	ENSRNOG00000017568	Rattus_norvegicus
ENSJJAP00000020701	ENSJJAG00000021302	Jaculus_jaculus
ENSOCUP00000003168	ENSOCUG00000003652	Oryctolagus_cuniculus
ENSOPRP00000011594	ENSOPRG00000012704	Ochotona_princeps
ENSPSMP00000033965	ENSPSMG00000023389	Prolemur_simus
ENSMICP00000041326	ENSMICG00000006203	Microcebus_murinus
ENSPCOP00000021369	ENSPCOG00000022706	Propithecus_coquereli
ENSOGAP00000001833	ENSOGAG00000002055	Otolemur_garnettii
ENSPPAP00000021727	ENSPPAG00000034063	Pan_paniscus
ENSPTRP00000076168	ENSPTRG00000009984	Pan_troglodytes
ENSGGOP00000005484	ENSGGOG00000005603	Gorilla_gorilla
ENSP00000321805	ENSG00000152214	Homo_sapiens
ENSPPYP00000010248	ENSPPYG00000009121	Pongo_abelii
ENSNLEP00000038208	ENSNLEG00000010755	Nomascus_leucogenys
ENSPANP00000032686	ENSPANG00000009666	Papio_anubis
ENSTGEP00000028930	ENSTGEG00000023269	Theropithecus_gelada
ENSMLEP00000027808	ENSMLEG00000038122	Mandrillus_leucophaeus
ENSMNEP00000028994	ENSMNEG00000037954	Macaca_nemestrina
ENSMFAP00000026414	ENSMFAG00000044648	Macaca_fascicularis
ENSMMUP00000069065	ENSMMUG00000038452	Macaca_mulatta
ENSCATP00000020618	ENSCATG00000034055	Cercocebus_atys
ENSRBIP00000014097	ENSRBIG00000031137	Rhinopithecus_bieti
ENSRROP00000033623	ENSRROG00000040387	Rhinopithecus_roxellana
ENSPTEP00000021549	ENSPTEG00000022585	Piliocolobus_tephrosceles
ENSCCAP00000024409	ENSCCAG00000029987	Cebus_capucinus_imitator
ENSSBOP00000001837	ENSSBOG00000009460	Saimiri_boliviensis_boliviensis
ENSCJAP00000064830	ENSCJAG00000003987	Callithrix_jacchus
ENSANAP00000015067	ENSANAG00000025425	Aotus_nancymaae
ENSVVUP00000038924	ENSVVUG00000027774	Vulpes_vulpes
ENSPPRP00000027844	ENSPPRG00000019604	Panthera_pardus
ENSCGRP00000007090	ENSCGRG00000005159	Cricetulus_griseus_CriGri_1.0
ENSMUGP00000032773	ENSMUGG00000027204	Meriones_unguiculatus
ENSSDAP00000000382	ENSSDAG00000000440	Spermophilus_dauricus
ENSCANP00000016538	ENSCANG00000031713	Colobus_angolensis_palliatus
ENSTBEP00000005071	ENSTBEG00000005911	Tupaia_belangeri
ENSSARP00000007303	ENSSARG00000008089	Sorex_araneus
ENSCHOP00000006381	ENSCHOG00000007212	Choloepus_hoffmanni
ENSLAFP00000012519	ENSLAFG00000014952	Loxodonta_africana
ENSPCAP00000015736	ENSPCAG00000016837	Procavia_capensis
ENSEASP00005024306	ENSEASG00005016508	Equus_asinus_asinus
ENSECAP00000014236	ENSECAG00000016682	Equus_caballus
ENSPVAP00000000706	ENSPVAG00000000745	Pteropus_vampyrus
ENSNVIP00000027483	ENSNVIG00000021238	Neovison_vison
ENSMPUP00000001007	ENSMPUG00000001015	Mustela_putorius_furo
ENSCAFP00000046023	ENSCAFG00000017685	Canis_lupus_familiaris
ENSCAFP00020013702	ENSCAFG00020011070	Canis_lupus_dingo
ENSAMEP00000007146	ENSAMEG00000006784	Ailuropoda_melanoleuca
ENSUMAP00000002564	ENSUMAG00000002274	Ursus_maritimus
ENSPTIP00000013639	ENSPTIG00000013298	Panthera_tigris_altaica
ENSFCAP00000009376	ENSFCAG00000010100	Felis_catus
ENSEEUP00000002794	ENSEEUG00000003052	Erinaceus_europaeus
ENSVPAP00000005086	ENSVPAG00000005474	Vicugna_pacos
ENSMUGP00000021577	ENSMUGG00000018155	Meriones_unguiculatus
ENSMUGP00000021581	ENSMUGG00000018160	Meriones_unguiculatus
ENSPPRP00000018002	ENSPPRG00000009788	Panthera_pardus
ENSMEUP00000001688	ENSMEUG00000001853	Notamacropus_eugenii
ENSVURP00010028896	ENSVURG00010022125	Vombatus_ursinus
ENSDNOP00000008374	ENSDNOG00000010814	Dasypus_novemcinctus
ENSETEP00000003015	ENSETEG00000003668	Echinops_telfairi
ENSPCIP00000003692	ENSPCIG00000003034	Phascolarctos_cinereus
ENSMODP00000037111	ENSMODG00000000206	Monodelphis_domestica
ENSCSAP00000013965	ENSCSAG00000017944	Chlorocebus_sabaeus
ENSTSYP00000003124	ENSTSYG00000003426	Carlito_syrichta
ENSCAPP00000017192	ENSCAPG00000016916	Cavia_aperea
ENSUAMP00000025465	ENSUAMG00000019825	Ursus_americanus
ENSSPUP00000004397	ENSSPUG00000003384	Sphenodon_punctatus
ENSOANP00000004375	ENSOANG00000002749	Ornithorhynchus_anatinus
ENSPSIP00000013661	ENSPSIG00000012276	Pelodiscus_sinensis
ENSCABP00000031683	ENSCABG00000023145	Chelonoidis_abingdonii
ENSAPLP00000022905	ENSAPLG00000027064	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004983	ENSABRG00000004601	Anser_brachyrhynchus
ENSGALP00000044186	ENSGALG00000033353	Gallus_gallus
ENSCJPP00005005643	ENSCJPG00005005369	Coturnix_japonica
ENSNMEP00000017380	ENSNMEG00000015207	Numida_meleagris
ENSMUNP00000015160	ENSMUNG00000011732	Melopsittacus_undulatus
ENSLCOP00000001048	ENSLCOG00000000869	Lepidothrix_coronata
ENSMVIP00005002266	ENSMVIG00005001787	Manacus_vitellinus
ENSLSDP00000025261	ENSLSDG00000017679	Lonchura_striata_domestica
ENSTGUP00000001672	ENSTGUG00000001623	Taeniopygia_guttata
ENSSCAP00000022792	ENSSCAG00000016353	Serinus_canaria
ENSPMJP00000005759	ENSPMJG00000004964	Parus_major
ENSCCEP00000020502	ENSCCEG00000018594	Cyanistes_caeruleus
ENSZALP00000020555	ENSZALG00000016157	Zonotrichia_albicollis	ENSZALT00000026865
ENSFALP00000009233	ENSFALG00000008852	Ficedula_albicollis	ENSFALT00000009272
ENSCPGP00000002197	ENSCPGG00000001634	Calidris_pygmaea
ENSCPUP00000026248	ENSCPUG00000017690	Calidris_pugnax
ENSAOWP00000004033	ENSAOWG00000002808	Apteryx_owenii
ENSAHAP00000002358	ENSAHAG00000001932	Apteryx_haastii
ENSNPEP00000005824	ENSNPEG00000004397	Nothoprocta_perdicaria
ENSARWP00000013353	ENSARWG00000009270	Apteryx_rowi
