ENSDORP00000010499	ENSDORG00000011170	Dipodomys_ordii
ENSEEEP00000045483	ENSEEEG00000021462	Electrophorus_electricus
ENSOPRP00000011982	ENSOPRG00000013121	Ochotona_princeps
ENSMEUP00000006493	ENSMEUG00000007088	Notamacropus_eugenii	ENSMEUT00000007128
ENSPMEP00000007012	ENSPMEG00000008623	Poecilia_mexicana
ENSPNYP00000013696	ENSPNYG00000010352	Pundamilia_nyererei
ENSORLP00015034920	ENSORLG00015021203	Oryzias_latipes_ASM223469v1
ENSPPRP00000002344	ENSPPRG00000023468	Panthera_pardus
ENSVURP00010009807	ENSVURG00010007562	Vombatus_ursinus	ENSVURT00010011123
ENSFHEP00000032800	ENSFHEG00000019550	Fundulus_heteroclitus
ENSCAPP00000004641	ENSCAPG00000007121	Cavia_aperea
ENSBSLP00000019770	ENSBSLG00000006272	Betta_splendens
ENSAOCP00000007776	ENSAOCG00000011686	Amphiprion_ocellaris
ENSP00000305714	ENSG00000168487	Homo_sapiens
ENSLCRP00005030770	ENSLCRG00005006457	Larimichthys_crocea
ENSPCAP00000001777	ENSPCAG00000001856	Procavia_capensis
ENSXCOP00000005888	ENSXCOG00000004570	Xiphophorus_couchianus
ENSJJAP00000005034	ENSJJAG00000009986	Jaculus_jaculus
ENSMAMP00000015652	ENSMAMG00000010607	Mastacembelus_armatus
ENSGALP00000073802	ENSGALG00000050069	Gallus_gallus
ENSXMAP00000000960	ENSXMAG00000000900	Xiphophorus_maculatus
ENSCPOP00000014968	ENSCPOG00000019973	Cavia_porcellus
ENSONIP00000004411	ENSONIG00000003503	Oreochromis_niloticus
ENSOGAP00000004381	ENSOGAG00000004905	Otolemur_garnettii
MGP_SPRETEiJ_P0039039	MGP_SPRETEiJ_G0020375	Mus_spretus_strain_SPRET/EiJ
ENSCJPP00005018601	ENSCJPG00005015129	Coturnix_japonica
ENSMLEP00000026921	ENSMLEG00000037648	Mandrillus_leucophaeus
ENSORLP00015002608	ENSORLG00015003316	Oryzias_latipes_ASM223469v1
ENSSFOP00015008005	ENSSFOG00015005207	Scleropages_formosus
ENSMUSP00000022693	ENSMUSG00000022098	Mus_musculus_strain_reference_(CL57BL6)
