ENSECRP00000030759	ENSECRG00000020872	Erpetoichthys_calabaricus	ENSECRT00000031407
ENSORLP00000033408	ENSORLG00000024356	Oryzias_latipes_ASM223467v1	ENSORLT00000032191
ENSSTOP00000013489	ENSSTOG00000015054	Ictidomys_tridecemlineatus	ENSSTOT00000015053
ENSNGAP00000009856	ENSNGAG00000012428	Nannospalax_galili	ENSNGAT00000015373
ENSCLAP00000025632	ENSCLAG00000017741	Chinchilla_lanigera	ENSCLAT00000025915
ENSODEP00000026501	ENSODEG00000019938	Octodon_degus	ENSODET00000027003
ENSCAPP00000011472	ENSCAPG00000012539	Cavia_aperea	ENSCAPT00000015215
ENSCPOP00000029119	ENSCPOG00000040506	Cavia_porcellus	ENSCPOT00000045364
ENSFDAP00000000159	ENSFDAG00000010488	Fukomys_damarensis	ENSFDAT00000014329
ENSFDAP00000012590	ENSFDAG00000019914	Fukomys_damarensis	ENSFDAT00000030441
ENSHGLP00100027401	ENSHGLG00100020482	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028020	ENSHGLG00000020154	Heterocephalus_glaber_HetGla_female_1.0
ENSPANP00000038612	ENSPANG00000034412	Papio_anubis
ENSCATP00000007653	ENSCATG00000022751	Cercocebus_atys
ENSTGEP00000011223	ENSTGEG00000009170	Theropithecus_gelada
ENSMLEP00000000200	ENSMLEG00000000481	Mandrillus_leucophaeus
ENSMMUP00000030380	ENSMMUG00000023074	Macaca_mulatta
ENSMFAP00000011673	ENSMFAG00000017692	Macaca_fascicularis
ENSMNEP00000006263	ENSMNEG00000027228	Macaca_nemestrina
ENSCSAP00000019218	ENSCSAG00000019723	Chlorocebus_sabaeus
ENSCANP00000005872	ENSCANG00000019852	Colobus_angolensis_palliatus
ENSPTEP00000008951	ENSPTEG00000010161	Piliocolobus_tephrosceles
ENSRBIP00000003306	ENSRBIG00000015633	Rhinopithecus_bieti
ENSRROP00000003731	ENSRROG00000014954	Rhinopithecus_roxellana
ENSPPAP00000002054	ENSPPAG00000009361	Pan_paniscus
ENSPTRP00000060579	ENSPTRG00000042098	Pan_troglodytes
ENSP00000386184	ENSG00000221886	Homo_sapiens
ENSGGOP00000014993	ENSGGOG00000015371	Gorilla_gorilla
ENSPPYP00000017913	ENSPPYG00000016007	Pongo_abelii
ENSNLEP00000022635	ENSNLEG00000018765	Nomascus_leucogenys
ENSCCAP00000005261	ENSCCAG00000020354	Cebus_capucinus_imitator
ENSSBOP00000004455	ENSSBOG00000018847	Saimiri_boliviensis_boliviensis
ENSCJAP00000040904	ENSCJAG00000022257	Callithrix_jacchus
ENSANAP00000001872	ENSANAG00000015834	Aotus_nancymaae
ENSTSYP00000013660	ENSTSYG00000019449	Carlito_syrichta
ENSMICP00000005801	ENSMICG00000006362	Microcebus_murinus
ENSPCOP00000026572	ENSPCOG00000025679	Propithecus_coquereli
ENSPSMP00000008031	ENSPSMG00000005938	Prolemur_simus
ENSOGAP00000016744	ENSOGAG00000012300	Otolemur_garnettii
ENSOCUP00000031999	ENSOCUG00000033946	Oryctolagus_cuniculus
ENSNVIP00000006742	ENSNVIG00000005345	Neovison_vison
ENSMPUP00000019188	ENSMPUG00000019315	Mustela_putorius_furo
ENSUMAP00000000059	ENSUMAG00000000170	Ursus_maritimus
ENSCAFP00000038138	ENSCAFG00000028571	Canis_lupus_familiaris
ENSCAFP00020001642	ENSCAFG00020001453	Canis_lupus_dingo
ENSPPRP00000027399	ENSPPRG00000018806	Panthera_pardus
ENSPTIP00000000340	ENSPTIG00000000872	Panthera_tigris_altaica
ENSFCAP00000032702	ENSFCAG00000037292	Felis_catus
ENSPVAP00000016995	ENSPVAG00000024257	Pteropus_vampyrus
ENSMLUP00000002800	ENSMLUG00000003086	Myotis_lucifugus
ENSBIXP00005041940	ENSBIXG00005025174	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000025538	ENSBIXG00000027613	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000040385	ENSBTAG00000030282	Bos_taurus
ENSBMUP00000004011	ENSBMUG00000003169	Bos_mutus
ENSBBBP00000014464	ENSBBBG00000022197	Bison_bison_bison
ENSOARP00000011094	ENSOARG00000010347	Ovis_aries
ENSTTRP00000016530	ENSTTRG00000021355	Tursiops_truncatus
ENSSSCP00000044105	ENSSSCG00000038662	Sus_scrofa_strain_reference
ENSVPAP00000011749	ENSVPAG00000015457	Vicugna_pacos
ENSECAP00000002808	ENSECAG00000004167	Equus_caballus
ENSEASP00005000687	ENSEASG00005000619	Equus_asinus_asinus
