ENSCAPP00000015511	ENSCAPG00000015608	Cavia_aperea
ENSCCNP00000027451	ENSCCNG00000026539	Castor_canadensis
ENSCGOP00000016641	ENSCGOG00000007979	Cottoperca_gobio
ENSLACP00000023377	ENSLACG00000010877	Latimeria_chalumnae
ENSXCOP00000007954	ENSXCOG00000006104	Xiphophorus_couchianus
ENSZALP00000007405	ENSZALG00000006581	Zonotrichia_albicollis
ENSSARP00000002149	ENSSARG00000002380	Sorex_araneus
ENSRROP00000023974	ENSRROG00000035805	Rhinopithecus_roxellana
ENSACLP00000009505	ENSACLG00000006489	Astatotilapia_calliptera
ENSGGOP00000016276	ENSGGOG00000016679	Gorilla_gorilla
ENSAPEP00000028646	ENSAPEG00000020353	Amphiprion_percula
ENSMMMP00000010640	ENSMMMG00000009476	Marmota_marmota_marmota
ENSETEP00000010173	ENSETEG00000012545	Echinops_telfairi
ENSARWP00000010481	ENSARWG00000007289	Apteryx_rowi
ENSPKIP00000023846	ENSPKIG00000007321	Paramormyrops_kingsleyae
ENSPPYP00000016103	ENSPPYG00000014398	Pongo_abelii
ENSMMOP00000007229	ENSMMOG00000005618	Mola_mola
ENSSMRP00000003863	ENSSMRG00000003223	Salvator_merianae	ENSSMRT00000004585
ENSAMXP00000031889	ENSAMXG00000037269	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000113831	ENSDARG00000023578	Danio_rerio
ENSPVIP00000006330	ENSPVIG00000005255	Pogona_vitticeps
ENSHHUP00000041752	ENSHHUG00000025780	Hucho_hucho
ENSEEEP00000001131	ENSEEEG00000000757	Electrophorus_electricus
ENSMAMP00000014839	ENSMAMG00000010067	Mastacembelus_armatus
MGP_PahariEiJ_P0028492	MGP_PahariEiJ_G0016328	Mus_pahari_strain_PAHARI_EIJ
ENSHGLP00100013334	ENSHGLG00100009872	Heterocephalus_glaber_HetGla_1.0
ENSORLP00000008336	ENSORLG00000006640	Oryzias_latipes_ASM223467v1
ENSVVUP00000018161	ENSVVUG00000013382	Vulpes_vulpes
ENSDCDP00000032898	ENSDCDG00000022588	Denticeps_clupeoides
ENSMODP00000018816	ENSMODG00000015050	Monodelphis_domestica
ENSHCOP00000011190	ENSHCOG00000014025	Hippocampus_comes
ENSHBUP00000016252	ENSHBUG00000018190	Haplochromis_burtoni
ENSECRP00000008987	ENSECRG00000006034	Erpetoichthys_calabaricus
ENSLOCP00000006258	ENSLOCG00000005199	Lepisosteus_oculatus
ENSPVIP00000011910	ENSPVIG00000009334	Pogona_vitticeps	ENSPVIT00000015052
ENSIPUP00000000735	ENSIPUG00000000532	Ictalurus_punctatus
ENSMFAP00000041581	ENSMFAG00000041519	Macaca_fascicularis
ENSAPEP00000010649	ENSAPEG00000007660	Amphiprion_percula
ENSBSLP00000015311	ENSBSLG00000008057	Betta_splendens
ENSSHAP00000008095	ENSSHAG00000007022	Sarcophilus_harrisii
ENSPSMP00000026500	ENSPSMG00000018606	Prolemur_simus
ENSCPBP00000017418	ENSCPBG00000012763	Chrysemys_picta_bellii
ENSMZEP00005011444	ENSMZEG00005008596	Maylandia_zebra
ENSMGAP00000007716	ENSMGAG00000007571	Meleagris_gallopavo
ENSMVIP00005004666	ENSMVIG00005003591	Manacus_vitellinus
ENSPMEP00000000776	ENSPMEG00000001605	Poecilia_mexicana
ENSAMXP00005004537	ENSAMXG00005002834	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPANP00000010427	ENSPANG00000006486	Papio_anubis
ENSKMAP00000020210	ENSKMAG00000015006	Kryptolebias_marmoratus
ENSTRUP00000033512	ENSTRUG00000013176	Takifugu_rubripes
ENSCGOP00000042647	ENSCGOG00000019265	Cottoperca_gobio
ENSCHOP00000004277	ENSCHOG00000004830	Choloepus_hoffmanni
ENSXMAP00000029803	ENSXMAG00000026661	Xiphophorus_maculatus
ENSMOCP00000002815	ENSMOCG00000002241	Microtus_ochrogaster
ENSPPAP00000014370	ENSPPAG00000030332	Pan_paniscus
ENSSFOP00015019662	ENSSFOG00015012629	Scleropages_formosus
ENSHHUP00000041818	ENSHHUG00000025793	Hucho_hucho
ENSPREP00000018698	ENSPREG00000012669	Poecilia_reticulata
ENSPNYP00000025503	ENSPNYG00000019245	Pundamilia_nyererei
ENSMUNP00000010685	ENSMUNG00000008424	Melopsittacus_undulatus
ENSFCAP00000006327	ENSFCAG00000006814	Felis_catus
ENSCJAP00000073632	ENSCJAG00000014354	Callithrix_jacchus
ENSBTAP00000072067	ENSBTAG00000044001	Bos_taurus
ENSMALP00000012746	ENSMALG00000009030	Monopterus_albus
ENSMLEP00000035283	ENSMLEG00000041784	Mandrillus_leucophaeus
ENSTBEP00000004113	ENSTBEG00000004782	Tupaia_belangeri
ENSFHEP00000000912	ENSFHEG00000001669	Fundulus_heteroclitus
ENSGALP00000073892	ENSGALG00000007337	Gallus_gallus
ENSUMAP00000005024	ENSUMAG00000004009	Ursus_maritimus
ENSFHEP00000008458	ENSFHEG00000009724	Fundulus_heteroclitus
ENSEEEP00000010991	ENSEEEG00000005566	Electrophorus_electricus
ENSMSIP00000002748	ENSMSIG00000002579	Mus_spicilegus
ENSONIP00000024323	ENSONIG00000019323	Oreochromis_niloticus
ENSCSEP00000004422	ENSCSEG00000002869	Cynoglossus_semilaevis
ENSFALP00000007724	ENSFALG00000007400	Ficedula_albicollis
ENSKMAP00000022551	ENSKMAG00000016743	Kryptolebias_marmoratus
ENSDCDP00000024453	ENSDCDG00000018395	Denticeps_clupeoides
ENSGWIP00000026638	ENSGWIG00000013979	Gouania_willdenowi
ENSELUP00000007565	ENSELUG00000008358	Esox_lucius
ENSMUGP00000032171	ENSMUGG00000026760	Meriones_unguiculatus
ENSRNOP00000042917	ENSRNOG00000031669	Rattus_norvegicus
ENSMEUP00000005939	ENSMEUG00000006502	Notamacropus_eugenii
ENSEASP00005020501	ENSEASG00005014117	Equus_asinus_asinus
ENSPSIP00000014847	ENSPSIG00000013297	Pelodiscus_sinensis
ENSSMRP00000021060	ENSSMRG00000016392	Salvator_merianae
ENSCGRP00000012720	ENSCGRG00000009242	Cricetulus_griseus_CriGri_1.0
ENSLCRP00005027052	ENSLCRG00005010790	Larimichthys_crocea
ENSGMOP00000014906	ENSGMOG00000013946	Gadus_morhua
ENSXCOP00000002217	ENSXCOG00000001765	Xiphophorus_couchianus
ENSCHAP00000001894	ENSCHAG00000001327	Clupea_harengus
ENSAOCP00000028279	ENSAOCG00000017800	Amphiprion_ocellaris
ENSHHUP00000001125	ENSHHUG00000000764	Hucho_hucho
ENSHCOP00000009541	ENSHCOG00000011983	Hippocampus_comes
ENSACIP00000010051	ENSACIG00000007870	Amphilophus_citrinellus
ENSLAFP00000009345	ENSLAFG00000011164	Loxodonta_africana
ENSNMEP00000005501	ENSNMEG00000005726	Numida_meleagris
ENSOMEP00000002009	ENSOMEG00000002950	Oryzias_melastigma
ENSPMJP00000026836	ENSPMJG00000019572	Parus_major
ENSGACP00000025577	ENSGACG00000019350	Gasterosteus_aculeatus
ENSCABP00000011785	ENSCABG00000008798	Chelonoidis_abingdonii
ENSSBOP00000023117	ENSSBOG00000028068	Saimiri_boliviensis_boliviensis
ENSCPBP00000031592	ENSCPBG00000022169	Chrysemys_picta_bellii
ENSNBRP00000003178	ENSNBRG00000002563	Neolamprologus_brichardi
ENSPTRP00000027063	ENSPTRG00000015730	Pan_troglodytes
ENSMALP00000023731	ENSMALG00000016541	Monopterus_albus
ENSAOWP00000027350	ENSAOWG00000018423	Apteryx_owenii
ENSNLEP00000008181	ENSNLEG00000006716	Nomascus_leucogenys
ENSXCOP00000021450	ENSXCOG00000016058	Xiphophorus_couchianus
MGP_CAROLIEiJ_P0041108	MGP_CAROLIEiJ_G0020623	Mus_caroli_strain_CAROLI_EIJ
ENSCPOP00000014052	ENSCPOG00000015584	Cavia_porcellus
ENSAHAP00000008924	ENSAHAG00000006536	Apteryx_haastii
ENSAMEP00000000837	ENSAMEG00000000808	Ailuropoda_melanoleuca
ENSAOCP00000003802	ENSAOCG00000007159	Amphiprion_ocellaris
ENSBSLP00000007331	ENSBSLG00000003550	Betta_splendens
ENSLBEP00000034187	ENSLBEG00000025728	Labrus_bergylta
ENSDNOP00000004208	ENSDNOG00000005431	Dasypus_novemcinctus
ENSCHAP00000001192	ENSCHAG00000000877	Clupea_harengus
ENSOPRP00000003413	ENSOPRG00000003717	Ochotona_princeps
ENSPREP00000024563	ENSPREG00000016583	Poecilia_reticulata
ENSFDAP00000004144	ENSFDAG00000013431	Fukomys_damarensis
ENSSCAP00000020706	ENSSCAG00000014917	Serinus_canaria
ENSSPUP00000014336	ENSSPUG00000011048	Sphenodon_punctatus
ENSPTEP00000008982	ENSPTEG00000010191	Piliocolobus_tephrosceles
ENSLCRP00005018707	ENSLCRG00005007700	Larimichthys_crocea
ENSHGLP00000022974	ENSHGLG00000016385	Heterocephalus_glaber_HetGla_female_1.0
ENSSMAP00000001658	ENSSMAG00000001016	Scophthalmus_maximus
ENSMAMP00000004296	ENSMAMG00000002891	Mastacembelus_armatus
ENSMPUP00000003395	ENSMPUG00000003425	Mustela_putorius_furo
ENSPCAP00000015377	ENSPCAG00000016427	Procavia_capensis
ENSCGRP00001000033	ENSCGRG00001000057	Cricetulus_griseus_CHOK1GS_HDv1
ENSSLDP00000003049	ENSSLDG00000002403	Seriola_lalandi_dorsalis
ENSEBUP00000008138	ENSEBUG00000005291	Eptatretus_burgeri
ENSPRNP00000036284	ENSPRNG00000018147	Parambassis_ranga
ENSOMEP00000028419	ENSOMEG00000011490	Oryzias_melastigma
ENSACAP00000002817	ENSACAG00000002871	Anolis_carolinensis
ENSOGAP00000004059	ENSOGAG00000004548	Otolemur_garnettii
ENSDCDP00000023732	ENSDCDG00000018041	Denticeps_clupeoides
