FBpp0089217	FBgn0023512	Drosophila_melanogaster	FBtr0070351
D2085.3.1	WBGene00008428	Caenorhabditis_elegans_strain_N2	D2085.3.1
ENSACAP00000010565	ENSACAG00000010709	Anolis_carolinensis
ENSPVIP00000032385	ENSPVIG00000023732	Pogona_vitticeps
ENSNSUP00000011997	ENSNSUG00000009014	Notechis_scutatus
ENSSMRP00000025510	ENSSMRG00000019721	Salvator_merianae
ENSSPUP00000017343	ENSSPUG00000013415	Sphenodon_punctatus
ENSCPUP00000019002	ENSCPUG00000013091	Calidris_pugnax
ENSCPGP00000025132	ENSCPGG00000017313	Calidris_pygmaea
ENSMUNP00000010509	ENSMUNG00000008294	Melopsittacus_undulatus
ENSTGUP00000010426	ENSTGUG00000010097	Taeniopygia_guttata
ENSLSDP00000000651	ENSLSDG00000000525	Lonchura_striata_domestica
ENSSCAP00000019669	ENSSCAG00000014196	Serinus_canaria
ENSJHYP00000014491	ENSJHYG00000011216	Junco_hyemalis
ENSZALP00000006879	ENSZALG00000006176	Zonotrichia_albicollis
ENSPMJP00000001671	ENSPMJG00000001367	Parus_major
ENSCCEP00000014774	ENSCCEG00000013703	Cyanistes_caeruleus
ENSFALP00000008265	ENSFALG00000007923	Ficedula_albicollis
ENSLCOP00000022216	ENSLCOG00000015680	Lepidothrix_coronata
ENSMVIP00005003312	ENSMVIG00005002591	Manacus_vitellinus
ENSMGAP00000009146	ENSMGAG00000008878	Meleagris_gallopavo
ENSCJPP00005016750	ENSCJPG00005013741	Coturnix_japonica
ENSGALP00000052453	ENSGALG00000008376	Gallus_gallus
ENSNMEP00000001437	ENSNMEG00000001828	Numida_meleagris
ENSABRP00000005372	ENSABRG00000004048	Anser_brachyrhynchus
ENSAPLP00000005054	ENSAPLG00000005467	Anas_platyrhynchos_platyrhynchos
ENSARWP00000007857	ENSARWG00000005180	Apteryx_rowi	ENSARWT00000008959
ENSAHAP00000015014	ENSAHAG00000010357	Apteryx_haastii	ENSAHAT00000016649
ENSAOWP00000026179	ENSAOWG00000017659	Apteryx_owenii	ENSAOWT00000029662
ENSDNVP00000002849	ENSDNVG00000002055	Dromaius_novaehollandiae
ENSNPEP00000006927	ENSNPEG00000003653	Nothoprocta_perdicaria
ENSCPRP00005016771	ENSCPRG00005011698	Crocodylus_porosus
ENSCABP00000017160	ENSCABG00000012741	Chelonoidis_abingdonii
ENSGAGP00000006453	ENSGAGG00000005222	Gopherus_agassizii
ENSCPBP00000021692	ENSCPBG00000015584	Chrysemys_picta_bellii
ENSPSIP00000015757	ENSPSIG00000013933	Pelodiscus_sinensis
ENSVURP00010030169	ENSVURG00010023029	Vombatus_ursinus
ENSPCIP00000034616	ENSPCIG00000025618	Phascolarctos_cinereus
ENSMEUP00000002319	ENSMEUG00000002530	Notamacropus_eugenii
ENSSHAP00000000898	ENSSHAG00000000803	Sarcophilus_harrisii
ENSMODP00000003890	ENSMODG00000003196	Monodelphis_domestica
ENSOARP00000022159	ENSOARG00000020620	Ovis_aries
ENSCHIP00000032028	ENSCHIG00000026144	Capra_hircus
ENSBIXP00000039923	ENSBIXG00000023941	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005017199	ENSBIXG00005003518	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000015168	ENSBTAG00000011414	Bos_taurus
ENSBMUP00000027312	ENSBMUG00000020467	Bos_mutus
ENSBBBP00000021666	ENSBBBG00000001309	Bison_bison_bison
ENSTTRP00000002899	ENSTTRG00000003093	Tursiops_truncatus
ENSSSCP00000022439	ENSSSCG00000011783	Sus_scrofa_strain_reference
ENSVPAP00000000366	ENSVPAG00000000393	Vicugna_pacos
ENSUAMP00000006775	ENSUAMG00000005923	Ursus_americanus
ENSUMAP00000008342	ENSUMAG00000006171	Ursus_maritimus
ENSAMEP00000018277	ENSAMEG00000017299	Ailuropoda_melanoleuca
ENSMPUP00000002407	ENSMPUG00000002433	Mustela_putorius_furo
ENSNVIP00000019981	ENSNVIG00000015638	Neovison_vison
ENSCAFP00000017927	ENSCAFG00000012158	Canis_lupus_familiaris
ENSCAFP00020002689	ENSCAFG00020002276	Canis_lupus_dingo
ENSVVUP00000009763	ENSVVUG00000007208	Vulpes_vulpes
ENSPPRP00000007602	ENSPPRG00000002680	Panthera_pardus
ENSPTIP00000018999	ENSPTIG00000016942	Panthera_tigris_altaica
ENSFCAP00000007211	ENSFCAG00000007787	Felis_catus
ENSMLUP00000012309	ENSMLUG00000013520	Myotis_lucifugus
ENSPVAP00000004578	ENSPVAG00000004836	Pteropus_vampyrus
ENSECAP00000016532	ENSECAG00000018745	Equus_caballus
ENSEASP00005021480	ENSEASG00005014406	Equus_asinus_asinus
ENSEEUP00000004378	ENSEEUG00000004804	Erinaceus_europaeus
ENSSARP00000007392	ENSSARG00000008159	Sorex_araneus
ENSCCNP00000014355	ENSCCNG00000014843	Castor_canadensis
ENSDORP00000020025	ENSDORG00000005107	Dipodomys_ordii
ENSPEMP00000006952	ENSPEMG00000009037	Peromyscus_maniculatus_bairdii
ENSMOCP00000018395	ENSMOCG00000016708	Microtus_ochrogaster
ENSCGRP00001006410	ENSCGRG00001008638	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000018501	ENSCGRG00000013467	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015003112	ENSCGRG00015002466	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000020920	ENSMAUG00000018803	Mesocricetus_auratus
MGP_SPRETEiJ_P0042769	MGP_SPRETEiJ_G0021473	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000012515	ENSMSIG00000010879	Mus_spicilegus
ENSMUSP00000003320	ENSMUSG00000003235	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0040915	MGP_CAROLIEiJ_G0020576	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0028297	MGP_PahariEiJ_G0016280	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002321	ENSRNOG00000038160	Rattus_norvegicus
ENSMUGP00000004474	ENSMUGG00000004171	Meriones_unguiculatus
ENSNGAP00000026103	ENSNGAG00000023841	Nannospalax_galili
ENSJJAP00000002749	ENSJJAG00000004949	Jaculus_jaculus
ENSUPAP00010004407	ENSUPAG00010003579	Urocitellus_parryii
