ENSNMEP00000022774	ENSNMEG00000019458	Numida_meleagris
ENSCJPP00005001411	ENSCJPG00005001442	Coturnix_japonica
ENSZALP00000014415	ENSZALG00000011967	Zonotrichia_albicollis
ENSZALP00000014417	ENSZALG00000011969	Zonotrichia_albicollis
ENSCPBP00000029561	ENSCPBG00000020836	Chrysemys_picta_bellii
ENSAPLP00000029049	ENSAPLG00000026864	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000008153	ENSLCOG00000005969	Lepidothrix_coronata
ENSMALP00000027508	ENSMALG00000019092	Monopterus_albus
ENSLCOP00000008151	ENSLCOG00000005967	Lepidothrix_coronata
ENSAOWP00000022690	ENSAOWG00000015339	Apteryx_owenii
ENSGALP00000069410	ENSGALG00000048789	Gallus_gallus
ENSJHYP00000007199	ENSJHYG00000005776	Junco_hyemalis
ENSCCEP00000027300	ENSCCEG00000023861	Cyanistes_caeruleus	ENSCCET00000040500
ENSPMJP00000023896	ENSPMJG00000017606	Parus_major	ENSPMJT00000030964
ENSSCAP00000006771	ENSSCAG00000005265	Serinus_canaria
ENSLSDP00000010713	ENSLSDG00000007877	Lonchura_striata_domestica
ENSGAGP00000015523	ENSGAGG00000011715	Gopherus_agassizii
ENSCPBP00000029558	ENSCPBG00000020829	Chrysemys_picta_bellii
ENSAHAP00000008340	ENSAHAG00000006176	Apteryx_haastii
ENSMVIP00005018860	ENSMVIG00005013363	Manacus_vitellinus
ENSJHYP00000007221	ENSJHYG00000005788	Junco_hyemalis
ENSPMJP00000020128	ENSPMJG00000015014	Parus_major
ENSCPGP00000005060	ENSCPGG00000003635	Calidris_pygmaea
ENSCABP00000017791	ENSCABG00000013228	Chelonoidis_abingdonii
ENSSCAP00000006768	ENSSCAG00000005264	Serinus_canaria
ENSCCEP00000027299	ENSCCEG00000023860	Cyanistes_caeruleus
