ENSCJAP00000055269	ENSCJAG00000041980	Callithrix_jacchus	ENSCJAT00000077528
ENSCCAP00000011740	ENSCCAG00000023635	Cebus_capucinus_imitator	ENSCCAT00000029149
ENSSBOP00000020954	ENSSBOG00000027044	Saimiri_boliviensis_boliviensis
ENSRBIP00000018054	ENSRBIG00000033025	Rhinopithecus_bieti
ENSRROP00000034423	ENSRROG00000040772	Rhinopithecus_roxellana
ENSCANP00000002010	ENSCANG00000007496	Colobus_angolensis_palliatus
ENSPTEP00000032622	ENSPTEG00000031330	Piliocolobus_tephrosceles
ENSMFAP00000028165	ENSMFAG00000045454	Macaca_fascicularis
ENSMMUP00000020287	ENSMMUG00000015465	Macaca_mulatta
ENSMNEP00000004218	ENSMNEG00000019670	Macaca_nemestrina
ENSMLEP00000017838	ENSMLEG00000033112	Mandrillus_leucophaeus
ENSCATP00000036078	ENSCATG00000040870	Cercocebus_atys
ENSTGEP00000000553	ENSTGEG00000000555	Theropithecus_gelada
ENSPANP00000024334	ENSPANG00000030413	Papio_anubis
ENSPPAP00000020896	ENSPPAG00000033683	Pan_paniscus
ENSPTRP00000070934	ENSPTRG00000005655	Pan_troglodytes
ENSGGOP00000009798	ENSGGOG00000010040	Gorilla_gorilla
ENSPPYP00000005862	ENSPPYG00000005145	Pongo_abelii
ENSNLEP00000044043	ENSNLEG00000027733	Nomascus_leucogenys
ENSTSYP00000023526	ENSTSYG00000033513	Carlito_syrichta
ENSPSMP00000015843	ENSPSMG00000011271	Prolemur_simus
ENSTBEP00000015042	ENSTBEG00000017309	Tupaia_belangeri
ENSCGRP00015026630	ENSCGRG00015020179	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000037181	ENSPEMG00000024967	Peromyscus_maniculatus_bairdii
ENSMSIP00000003512	ENSMSIG00000003244	Mus_spicilegus
ENSMUGP00000003658	ENSMUGG00000003406	Meriones_unguiculatus
ENSCCNP00000028441	ENSCCNG00000027395	Castor_canadensis
ENSMMMP00000005083	ENSMMMG00000004647	Marmota_marmota_marmota
ENSUPAP00010029688	ENSUPAG00010023354	Urocitellus_parryii
ENSECAP00000021558	ENSECAG00000024104	Equus_caballus
ENSEASP00005024599	ENSEASG00005016718	Equus_asinus_asinus
ENSBIXP00000033198	ENSBIXG00000015941	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005010367	ENSBIXG00005015002	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000058316	ENSBTAG00000054055	Bos_taurus
ENSBMUP00000029293	ENSBMUG00000021926	Bos_mutus
ENSBBBP00000023294	ENSBBBG00000017788	Bison_bison_bison
ENSCHIP00000006019	ENSCHIG00000009970	Capra_hircus
ENSSSCP00000046943	ENSSSCG00000032809	Sus_scrofa_strain_reference
ENSSARP00000008995	ENSSARG00000009958	Sorex_araneus
ENSUAMP00000011767	ENSUAMG00000009549	Ursus_americanus
ENSUMAP00000002784	ENSUMAG00000002447	Ursus_maritimus
ENSNVIP00000029200	ENSNVIG00000022509	Neovison_vison
ENSCAFP00020012651	ENSCAFG00020010184	Canis_lupus_dingo
ENSCAFP00000063807	ENSCAFG00000042221	Canis_lupus_familiaris
ENSVVUP00000008959	ENSVVUG00000006694	Vulpes_vulpes
ENSPTIP00000001824	ENSPTIG00000004681	Panthera_tigris_altaica
ENSPPRP00000013650	ENSPPRG00000006779	Panthera_pardus
ENSFCAP00000002300	ENSFCAG00000002500	Felis_catus
ENSETEP00000009656	ENSETEG00000011900	Echinops_telfairi
