ENSPPAP00000041387	ENSPPAG00000043311	Pan_paniscus	ENSPPAT00000064313
ENSGGOP00000003168	ENSGGOG00000003220	Gorilla_gorilla	ENSGGOT00000003240
ENSLACP00000018257	ENSLACG00000016082	Latimeria_chalumnae	ENSLACT00000018389
ENSSPUP00000024193	ENSSPUG00000018538	Sphenodon_punctatus
ENSNSUP00000003595	ENSNSUG00000002701	Notechis_scutatus	ENSNSUT00000003866
ENSAOWP00000028057	ENSAOWG00000018892	Apteryx_owenii
ENSAHAP00000012612	ENSAHAG00000009095	Apteryx_haastii
ENSARWP00000024261	ENSARWG00000016532	Apteryx_rowi
ENSDNVP00000024119	ENSDNVG00000016743	Dromaius_novaehollandiae
ENSNPEP00000008523	ENSNPEG00000006394	Nothoprocta_perdicaria
ENSGALP00000072884	ENSGALG00000006707	Gallus_gallus
ENSMGAP00000003900	ENSMGAG00000004075	Meleagris_gallopavo
ENSCJPP00005020326	ENSCJPG00005016393	Coturnix_japonica
ENSNMEP00000023876	ENSNMEG00000020309	Numida_meleagris
ENSABRP00000013332	ENSABRG00000011801	Anser_brachyrhynchus
ENSLSDP00000011047	ENSLSDG00000008110	Lonchura_striata_domestica
ENSTGUP00000002319	ENSTGUG00000002248	Taeniopygia_guttata
ENSCCEP00000007778	ENSCCEG00000008103	Cyanistes_caeruleus
ENSSCAP00000004223	ENSSCAG00000003469	Serinus_canaria
ENSPMJP00000000953	ENSPMJG00000000771	Parus_major
ENSJHYP00000017371	ENSJHYG00000013271	Junco_hyemalis
ENSZALP00000015519	ENSZALG00000012711	Zonotrichia_albicollis
ENSFALP00000004014	ENSFALG00000003842	Ficedula_albicollis
ENSMVIP00005011888	ENSMVIG00005008691	Manacus_vitellinus
ENSMUNP00000017726	ENSMUNG00000013584	Melopsittacus_undulatus
ENSCPUP00000008282	ENSCPUG00000005958	Calidris_pugnax
ENSCPGP00000003035	ENSCPGG00000002240	Calidris_pygmaea
ENSCPRP00005013761	ENSCPRG00005009681	Crocodylus_porosus
ENSGAGP00000007594	ENSGAGG00000006048	Gopherus_agassizii
ENSCABP00000012816	ENSCABG00000009512	Chelonoidis_abingdonii
ENSCPBP00000019861	ENSCPBG00000014297	Chrysemys_picta_bellii
ENSPSIP00000003677	ENSPSIG00000003497	Pelodiscus_sinensis
ENSPVAP00000007880	ENSPVAG00000008343	Pteropus_vampyrus
ENSMLUP00000004412	ENSMLUG00000004839	Myotis_lucifugus
ENSUAMP00000035091	ENSUAMG00000026643	Ursus_americanus
ENSUMAP00000016838	ENSUMAG00000012338	Ursus_maritimus
ENSAMEP00000009581	ENSAMEG00000009037	Ailuropoda_melanoleuca
ENSMPUP00000002245	ENSMPUG00000002269	Mustela_putorius_furo
ENSNVIP00000007073	ENSNVIG00000005562	Neovison_vison
ENSCAFP00000025906	ENSCAFG00000017568	Canis_lupus_familiaris
ENSCAFP00020009390	ENSCAFG00020007542	Canis_lupus_dingo
ENSVVUP00000006162	ENSVVUG00000004727	Vulpes_vulpes
ENSPPRP00000029606	ENSPPRG00000022352	Panthera_pardus
ENSPTIP00000009421	ENSPTIG00000010443	Panthera_tigris_altaica
ENSFCAP00000006494	ENSFCAG00000007001	Felis_catus
ENSBTAP00000022291	ENSBTAG00000016761	Bos_taurus
ENSBIXP00005035483	ENSBIXG00005002716	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000014682	ENSBMUG00000011131	Bos_mutus
ENSCHIP00000020812	ENSCHIG00000019335	Capra_hircus
ENSOARP00000001116	ENSOARG00000001070	Ovis_aries
ENSTTRP00000012865	ENSTTRG00000013557	Tursiops_truncatus
ENSVPAP00000006003	ENSVPAG00000006467	Vicugna_pacos
ENSSSCP00000030339	ENSSSCG00000012485	Sus_scrofa_strain_reference
ENSECAP00000018182	ENSECAG00000019905	Equus_caballus
ENSEASP00005001469	ENSEASG00005001192	Equus_asinus_asinus
ENSSARP00000004657	ENSSARG00000005058	Sorex_araneus
ENSPTRP00000062968	ENSPTRG00000048908	Pan_troglodytes
ENSPPAP00000005295	ENSPPAG00000021977	Pan_paniscus
