ENSNVIP00000005594	ENSNVIG00000004505	Neovison_vison
ENSEEUP00000002347	ENSEEUG00000002559	Erinaceus_europaeus
ENSMMMP00000024394	ENSMMMG00000021350	Marmota_marmota_marmota
ENSOPRP00000005819	ENSOPRG00000006336	Ochotona_princeps
ENSPTRP00000092439	ENSPTRG00000043702	Pan_troglodytes
ENSTSYP00000030665	ENSTSYG00000027960	Carlito_syrichta
ENSCCNP00000018546	ENSCCNG00000018793	Castor_canadensis
ENSDORP00000026657	ENSDORG00000028250	Dipodomys_ordii
ENSMSIP00000019142	ENSMSIG00000016299	Mus_spicilegus
ENSMUSP00000101197	ENSMUSG00000078486	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0069057	MGP_SPRETEiJ_G0027918	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0066464	MGP_CAROLIEiJ_G0026923	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0081566	MGP_PahariEiJ_G0029272	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027476	ENSRNOG00000020244	Rattus_norvegicus
ENSMUGP00000004810	ENSMUGG00000004439	Meriones_unguiculatus
ENSPEMP00000016374	ENSPEMG00000015615	Peromyscus_maniculatus_bairdii
ENSMOCP00000004616	ENSMOCG00000003897	Microtus_ochrogaster
ENSCGRP00000001393	ENSCGRG00000001072	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001023340	ENSCGRG00001021606	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015020575	ENSCGRG00015015735	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024667	ENSMAUG00000021450	Mesocricetus_auratus
ENSJJAP00000023862	ENSJJAG00000023504	Jaculus_jaculus
ENSODEP00000010133	ENSODEG00000007575	Octodon_degus
ENSCPOP00000001014	ENSCPOG00000001121	Cavia_porcellus
ENSCLAP00000006565	ENSCLAG00000004628	Chinchilla_lanigera
ENSFDAP00000021683	ENSFDAG00000007531	Fukomys_damarensis
ENSHGLP00100011093	ENSHGLG00100008250	Heterocephalus_glaber_HetGla_1.0
ENSSDAP00000016453	ENSSDAG00000014887	Spermophilus_dauricus
ENSUPAP00010019702	ENSUPAG00010015600	Urocitellus_parryii
ENSNGAP00000006799	ENSNGAG00000010138	Nannospalax_galili
ENSUPAP00010019712	ENSUPAG00010015602	Urocitellus_parryii
ENSOCUP00000020860	ENSOCUG00000010635	Oryctolagus_cuniculus
ENSPSMP00000017547	ENSPSMG00000012486	Prolemur_simus
ENSMICP00000023234	ENSMICG00000033997	Microcebus_murinus
ENSPCOP00000028030	ENSPCOG00000026589	Propithecus_coquereli
ENSOGAP00000017786	ENSOGAG00000032462	Otolemur_garnettii
ENSPPAP00000031375	ENSPPAG00000038627	Pan_paniscus
ENSPTRP00000068986	ENSPTRG00000039606	Pan_troglodytes
ENSP00000414022	ENSG00000187642	Homo_sapiens
ENSGGOP00000002694	ENSGGOG00000002732	Gorilla_gorilla
ENSNLEP00000039559	ENSNLEG00000000019	Nomascus_leucogenys
ENSRROP00000043812	ENSRROG00000044918	Rhinopithecus_roxellana
ENSRBIP00000028841	ENSRBIG00000038315	Rhinopithecus_bieti
ENSCANP00000010338	ENSCANG00000028581	Colobus_angolensis_palliatus
ENSMLEP00000004063	ENSMLEG00000018120	Mandrillus_leucophaeus
ENSCATP00000022515	ENSCATG00000034880	Cercocebus_atys
ENSPANP00000019504	ENSPANG00000024459	Papio_anubis
ENSTGEP00000012864	ENSTGEG00000010484	Theropithecus_gelada
ENSMNEP00000003843	ENSMNEG00000017907	Macaca_nemestrina
ENSMFAP00000041424	ENSMFAG00000041450	Macaca_fascicularis
ENSMMUP00000029647	ENSMMUG00000022525	Macaca_mulatta
ENSCSAP00000017339	ENSCSAG00000000667	Chlorocebus_sabaeus
ENSSBOP00000014546	ENSSBOG00000024026	Saimiri_boliviensis_boliviensis
ENSCCAP00000008064	ENSCCAG00000021791	Cebus_capucinus_imitator
ENSCJAP00000074730	ENSCJAG00000067101	Callithrix_jacchus
ENSANAP00000016735	ENSANAG00000026237	Aotus_nancymaae
ENSPTEP00000012310	ENSPTEG00000013831	Piliocolobus_tephrosceles
ENSEASP00005022102	ENSEASG00005015101	Equus_asinus_asinus
ENSECAP00000025245	ENSECAG00000039391	Equus_caballus
ENSSARP00000002525	ENSSARG00000002806	Sorex_araneus
ENSBTAP00000008511	ENSBTAG00000014540	Bos_taurus
ENSBIXP00000013655	ENSBIXG00000018547	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005007125	ENSBIXG00005012418	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000034141	ENSBMUG00000025435	Bos_mutus
ENSBBBP00000007935	ENSBBBG00000002585	Bison_bison_bison
ENSCHIP00000015585	ENSCHIG00000016178	Capra_hircus
ENSOARP00000007836	ENSOARG00000007315	Ovis_aries
ENSTTRP00000002992	ENSTTRG00000003191	Tursiops_truncatus
ENSSSCP00000041673	ENSSSCG00000033735	Sus_scrofa_strain_reference
ENSPVAP00000010211	ENSPVAG00000010835	Pteropus_vampyrus
ENSUAMP00000036305	ENSUAMG00000027515	Ursus_americanus
ENSUMAP00000003096	ENSUMAG00000002682	Ursus_maritimus
ENSAMEP00000017498	ENSAMEG00000016569	Ailuropoda_melanoleuca
ENSMPUP00000013808	ENSMPUG00000013912	Mustela_putorius_furo
ENSCAFP00000028586	ENSCAFG00000019352	Canis_lupus_familiaris
ENSCAFP00020014471	ENSCAFG00020011693	Canis_lupus_dingo
ENSVVUP00000004776	ENSVVUG00000003762	Vulpes_vulpes
ENSCAFP00020014468	ENSCAFG00020011692	Canis_lupus_dingo
ENSPTIP00000016411	ENSPTIG00000015203	Panthera_tigris_altaica
ENSPPRP00000028263	ENSPPRG00000020385	Panthera_pardus
ENSFCAP00000047809	ENSFCAG00000030944	Felis_catus
ENSLAFP00000024440	ENSLAFG00000028505	Loxodonta_africana
ENSPCAP00000011404	ENSPCAG00000012087	Procavia_capensis
ENSETEP00000008479	ENSETEG00000010435	Echinops_telfairi
ENSDNOP00000031234	ENSDNOG00000040944	Dasypus_novemcinctus
ENSCHOP00000010819	ENSCHOG00000012231	Choloepus_hoffmanni
ENSPCIP00000009599	ENSPCIG00000007838	Phascolarctos_cinereus	ENSPCIT00000012050
ENSVURP00010030834	ENSVURG00010023591	Vombatus_ursinus	ENSVURT00010035114
ENSMODP00000023249	ENSMODG00000018646	Monodelphis_domestica	ENSMODT00000023663
ENSSHAP00000000206	ENSSHAG00000000173	Sarcophilus_harrisii	ENSSHAT00000000209
ENSOANP00000025887	ENSOANG00000020368	Ornithorhynchus_anatinus
ENSLCOP00000020991	ENSLCOG00000014857	Lepidothrix_coronata
ENSMVIP00005014403	ENSMVIG00005010408	Manacus_vitellinus
ENSMGAP00000003160	ENSMGAG00000003458	Meleagris_gallopavo
ENSMUNP00000020841	ENSMUNG00000015817	Melopsittacus_undulatus
ENSCPRP00005003924	ENSCPRG00005002884	Crocodylus_porosus
ENSPSIP00000014519	ENSPSIG00000013023	Pelodiscus_sinensis
ENSNPEP00000006602	ENSNPEG00000004986	Nothoprocta_perdicaria
ENSCABP00000030089	ENSCABG00000022053	Chelonoidis_abingdonii
ENSGAGP00000015226	ENSGAGG00000011493	Gopherus_agassizii
ENSCPBP00000031538	ENSCPBG00000022138	Chrysemys_picta_bellii
ENSAOWP00000006198	ENSAOWG00000004270	Apteryx_owenii
ENSAHAP00000012598	ENSAHAG00000009082	Apteryx_haastii
ENSDNVP00000014445	ENSDNVG00000010158	Dromaius_novaehollandiae
ENSCPUP00000018397	ENSCPUG00000012665	Calidris_pugnax
ENSCPGP00000022267	ENSCPGG00000015463	Calidris_pygmaea
ENSABRP00000007984	ENSABRG00000007252	Anser_brachyrhynchus
ENSAPLP00000027003	ENSAPLG00000028056	Anas_platyrhynchos_platyrhynchos
ENSGALP00000062734	ENSGALG00000026875	Gallus_gallus
ENSNMEP00000010507	ENSNMEG00000009937	Numida_meleagris
ENSFALP00000007742	ENSFALG00000007418	Ficedula_albicollis
ENSPMJP00000019292	ENSPMJG00000014469	Parus_major
ENSLSDP00000021052	ENSLSDG00000014893	Lonchura_striata_domestica
ENSACAP00000001495	ENSACAG00000001609	Anolis_carolinensis
ENSPVIP00000029690	ENSPVIG00000021884	Pogona_vitticeps
ENSSPUP00000024722	ENSSPUG00000018949	Sphenodon_punctatus
ENSDARP00000099984	ENSDARG00000076850	Danio_rerio
