ENSAPEP00000011123	ENSAPEG00000007981	Amphiprion_percula
ENSLCRP00005023345	ENSLCRG00005009390	Larimichthys_crocea
ENSORLP00015025279	ENSORLG00015006317	Oryzias_latipes_ASM223469v1
ENSORLP00000008577	ENSORLG00000006827	Oryzias_latipes_ASM223467v1
ENSCMIP00000009429	ENSCMIG00000004997	Callorhinchus_milii
ENSBSLP00000010941	ENSBSLG00000005778	Betta_splendens
ENSAOCP00000030869	ENSAOCG00000022111	Amphiprion_ocellaris
ENSMALP00000003903	ENSMALG00000002869	Monopterus_albus	ENSMALT00000004002
ENSXCOP00000001995	ENSXCOG00000001605	Xiphophorus_couchianus
ENSLCAP00010034949	ENSLCAG00010016401	Lates_calcarifer
ENSACLP00000009016	ENSACLG00000006146	Astatotilapia_calliptera
ENSMMOP00000016513	ENSMMOG00000012587	Mola_mola
ENSORLP00020008524	ENSORLG00020009409	Oryzias_latipes_ASM223471v1
ENSOMEP00000010785	ENSOMEG00000012075	Oryzias_melastigma
ENSGWIP00000027835	ENSGWIG00000014547	Gouania_willdenowi
ENSPRNP00000034724	ENSPRNG00000017433	Parambassis_ranga
ENSPMEP00000005701	ENSPMEG00000007103	Poecilia_mexicana
ENSAPOP00000024791	ENSAPOG00000007455	Acanthochromis_polyacanthus
ENSCGOP00000020243	ENSCGOG00000009793	Cottoperca_gobio
ENSXMAP00000015448	ENSXMAG00000015421	Xiphophorus_maculatus
ENSACIP00000021872	ENSACIG00000017014	Amphilophus_citrinellus
ENSSPAP00000006191	ENSSPAG00000004767	Stegastes_partitus
ENSCSEP00000001739	ENSCSEG00000001185	Cynoglossus_semilaevis
ENSPMGP00000004841	ENSPMGG00000004096	Periophthalmus_magnuspinnatus
ENSMAMP00000003931	ENSMAMG00000002674	Mastacembelus_armatus
ENSPNYP00000030106	ENSPNYG00000022684	Pundamilia_nyererei
ENSLBEP00000028269	ENSLBEG00000021448	Labrus_bergylta
ENSCVAP00000004327	ENSCVAG00000005617	Cyprinodon_variegatus
ENSMZEP00005028910	ENSMZEG00005021568	Maylandia_zebra
ENSSMAP00000013381	ENSSMAG00000008220	Scophthalmus_maximus
ENSONIP00000006095	ENSONIG00000004844	Oreochromis_niloticus
ENSPLAP00000014324	ENSPLAG00000017986	Poecilia_latipinna
ENSSDUP00000029612	ENSSDUG00000021350	Seriola_dumerili
ENSHBUP00000031836	ENSHBUG00000017747	Haplochromis_burtoni
ENSATEP00000000172	ENSATEG00000000171	Anabas_testudineus
ENSSLDP00000027649	ENSSLDG00000021442	Seriola_lalandi_dorsalis
ENSLBEP00000037884	ENSLBEG00000028272	Labrus_bergylta
ENSGACP00000025544	ENSGACG00000019328	Gasterosteus_aculeatus
ENSPREP00000017925	ENSPREG00000012122	Poecilia_reticulata
ENSKMAP00000013133	ENSKMAG00000009869	Kryptolebias_marmoratus
ENSPFOP00000010619	ENSPFOG00000010654	Poecilia_formosa
ENSGAFP00000007328	ENSGAFG00000004989	Gambusia_affinis
ENSNBRP00000003744	ENSNBRG00000002995	Neolamprologus_brichardi
ENSTRUP00000035528	ENSTRUG00000013893	Takifugu_rubripes
ENSFHEP00000021670	ENSFHEG00000001575	Fundulus_heteroclitus
