ENSMSIP00000001624	ENSMSIG00000001549	Mus_spicilegus
ENSPSIP00000009526	ENSPSIG00000008653	Pelodiscus_sinensis
ENSUAMP00000002010	ENSUAMG00000001868	Ursus_americanus
ENSGGOP00000000843	ENSGGOG00000000856	Gorilla_gorilla
ENSBTAP00000071526	ENSBTAG00000054765	Bos_taurus
ENSSTOP00000029734	ENSSTOG00000030299	Ictidomys_tridecemlineatus
ENSSBOP00000014680	ENSSBOG00000024082	Saimiri_boliviensis_boliviensis
ENSRROP00000009796	ENSRROG00000029317	Rhinopithecus_roxellana
ENSSDAP00000002847	ENSSDAG00000002715	Spermophilus_dauricus
ENSDNOP00000015980	ENSDNOG00000024563	Dasypus_novemcinctus
ENSMOCP00000012472	ENSMOCG00000012559	Microtus_ochrogaster
ENSPANP00000001647	ENSPANG00000010021	Papio_anubis
ENSPTIP00000012329	ENSPTIG00000012437	Panthera_tigris_altaica
ENSMUGP00000029451	ENSMUGG00000024437	Meriones_unguiculatus
ENSJJAP00000004645	ENSJJAG00000009619	Jaculus_jaculus
ENSCGRP00001009285	ENSCGRG00001011415	Cricetulus_griseus_CHOK1GS_HDv1
ENSBIXP00000023521	ENSBIXG00000005343	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSARP00000006784	ENSSARG00000007498	Sorex_araneus
MGP_SPRETEiJ_P0061253	MGP_SPRETEiJ_G0026196	Mus_spretus_strain_SPRET/EiJ
ENSNLEP00000012641	ENSNLEG00000010382	Nomascus_leucogenys
ENSVURP00010000208	ENSVURG00010000197	Vombatus_ursinus	ENSVURT00010000236
ENSHGLP00000011508	ENSHGLG00000008250	Heterocephalus_glaber_HetGla_female_1.0
ENSBMUP00000029073	ENSBMUG00000021771	Bos_mutus
ENSPTEP00000039534	ENSPTEG00000036556	Piliocolobus_tephrosceles
ENSOGAP00000011014	ENSOGAG00000012312	Otolemur_garnettii
ENSCANP00000033322	ENSCANG00000040327	Colobus_angolensis_palliatus
ENSODEP00000014359	ENSODEG00000010627	Octodon_degus
ENSMMUP00000009021	ENSMMUG00000006865	Macaca_mulatta
ENSPCAP00000006411	ENSPCAG00000006880	Procavia_capensis
ENSMMMP00000020563	ENSMMMG00000018144	Marmota_marmota_marmota
ENSCGRP00000007641	ENSCGRG00000005565	Cricetulus_griseus_CriGri_1.0
ENSMUSP00000128113	ENSMUSG00000042250	Mus_musculus_strain_reference_(CL57BL6)
ENSPPAP00000006232	ENSPPAG00000024696	Pan_paniscus	ENSPPAT00000027225
ENSBIXP00005028512	ENSBIXG00005008170	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000045222	ENSSSCG00000006587	Sus_scrofa_strain_reference
ENSCAPP00000006357	ENSCAPG00000008550	Cavia_aperea
ENSCLAP00000004954	ENSCLAG00000003515	Chinchilla_lanigera
ENSMEUP00000000972	ENSMEUG00000001057	Notamacropus_eugenii
ENSSARP00000009551	ENSSARG00000010585	Sorex_araneus
ENSTSYP00000002420	ENSTSYG00000002641	Carlito_syrichta
ENSVURP00010000458	ENSVURG00010000428	Vombatus_ursinus	ENSVURT00010000544
ENSFDAP00000019458	ENSFDAG00000009135	Fukomys_damarensis
ENSPSMP00000029635	ENSPSMG00000020584	Prolemur_simus
ENSLAFP00000000498	ENSLAFG00000000592	Loxodonta_africana
ENSPCIP00000040136	ENSPCIG00000029378	Phascolarctos_cinereus	ENSPCIT00000049409
ENSCHOP00000007048	ENSCHOG00000007959	Choloepus_hoffmanni
ENSCGRP00015009676	ENSCGRG00015007442	Cricetulus_griseus_CriGri-PICR
ENSCHIP00000026883	ENSCHIG00000023048	Capra_hircus
ENSMPUP00000012262	ENSMPUG00000012356	Mustela_putorius_furo
ENSNGAP00000000412	ENSNGAG00000000320	Nannospalax_galili
ENSMODP00000021736	ENSMODG00000017413	Monodelphis_domestica
ENSPPYP00000000954	ENSPPYG00000000817	Pongo_abelii
ENSSHAP00000008565	ENSSHAG00000007419	Sarcophilus_harrisii	ENSSHAT00000008636
ENSMLEP00000033396	ENSMLEG00000040887	Mandrillus_leucophaeus
ENSPEMP00000007199	ENSPEMG00000009227	Peromyscus_maniculatus_bairdii
ENSUPAP00010019935	ENSUPAG00010015778	Urocitellus_parryii
ENSFCAP00000010862	ENSFCAG00000011704	Felis_catus
ENSETEP00000002081	ENSETEG00000002552	Echinops_telfairi
MGP_CAROLIEiJ_P0058897	MGP_CAROLIEiJ_G0025253	Mus_caroli_strain_CAROLI_EIJ
ENSECAP00000009547	ENSECAG00000011674	Equus_caballus
ENSCATP00000004292	ENSCATG00000015274	Cercocebus_atys
ENSRBIP00000040287	ENSRBIG00000043573	Rhinopithecus_bieti
ENSOARP00000000403	ENSOARG00000000406	Ovis_aries
ENSEASP00005001246	ENSEASG00005001041	Equus_asinus_asinus
ENSBBBP00000005245	ENSBBBG00000014028	Bison_bison_bison
ENSMFAP00000032812	ENSMFAG00000002961	Macaca_fascicularis
ENSPCOP00000028024	ENSPCOG00000026583	Propithecus_coquereli
ENSUMAP00000001187	ENSUMAG00000001126	Ursus_maritimus
MGP_PahariEiJ_P0069849	MGP_PahariEiJ_G0026697	Mus_pahari_strain_PAHARI_EIJ
ENSPTRP00000002267	ENSPTRG00000001344	Pan_troglodytes	ENSPTRT00000002469
ENSEEUP00000004195	ENSEEUG00000004621	Erinaceus_europaeus
ENSANAP00000004640	ENSANAG00000020408	Aotus_nancymaae
ENSCCAP00000031886	ENSCCAG00000033967	Cebus_capucinus_imitator
ENSMICP00000048201	ENSMICG00000026819	Microcebus_murinus
