ENSOARP00000015896	ENSOARG00000014812	Ovis_aries
ENSCHIP00000024793	ENSCHIG00000021836	Capra_hircus
ENSBTAP00000031210	ENSBTAG00000023007	Bos_taurus
ENSBMUP00000002272	ENSBMUG00000001798	Bos_mutus
ENSBIXP00005010879	ENSBIXG00005015438	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000035388	ENSBIXG00000018627	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000035374	ENSBIXG00000018617	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000028212	ENSBBBG00000006813	Bison_bison_bison
ENSSSCP00000040573	ENSSSCG00000024860	Sus_scrofa_strain_reference
ENSMLUP00000022722	ENSMLUG00000030413	Myotis_lucifugus
ENSMPUP00000002648	ENSMPUG00000002676	Mustela_putorius_furo
ENSNVIP00000026740	ENSNVIG00000020692	Neovison_vison
ENSAMEP00000009386	ENSAMEG00000008862	Ailuropoda_melanoleuca
ENSCAFP00000032320	ENSCAFG00000023850	Canis_lupus_familiaris
ENSCAFP00020005813	ENSCAFG00020004749	Canis_lupus_dingo
ENSVVUP00000026165	ENSVVUG00000019211	Vulpes_vulpes
ENSPPRP00000027759	ENSPPRG00000019565	Panthera_pardus
ENSPTIP00000005029	ENSPTIG00000007348	Panthera_tigris_altaica
ENSFCAP00000022572	ENSFCAG00000022460	Felis_catus
ENSECAP00000013701	ENSECAG00000015213	Equus_caballus
ENSEASP00005029293	ENSEASG00005019909	Equus_asinus_asinus
ENSDORP00000019321	ENSDORG00000025606	Dipodomys_ordii
ENSCCNP00000009653	ENSCCNG00000010185	Castor_canadensis
MGP_SPRETEiJ_P0024625	MGP_SPRETEiJ_G0016272	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000005533	ENSMSIG00000004960	Mus_spicilegus
ENSMUSP00000097172	ENSMUSG00000033255	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0023479	MGP_CAROLIEiJ_G0015459	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0086640	MGP_PahariEiJ_G0030875	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000072375	ENSRNOG00000054815	Rattus_norvegicus
ENSRNOP00000069755	ENSRNOG00000029979	Rattus_norvegicus
ENSRNOP00000073653	ENSRNOG00000058171	Rattus_norvegicus
ENSMUGP00000011421	ENSMUGG00000009994	Meriones_unguiculatus
ENSCGRP00000012443	ENSCGRG00000009076	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001000365	ENSCGRG00001000305	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015023941	ENSCGRG00015018227	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000011048	ENSMAUG00000011759	Mesocricetus_auratus
ENSMOCP00000025096	ENSMOCG00000021314	Microtus_ochrogaster
ENSPEMP00000019648	ENSPEMG00000017870	Peromyscus_maniculatus_bairdii
ENSNGAP00000009268	ENSNGAG00000011999	Nannospalax_galili
ENSJJAP00000013332	ENSJJAG00000016126	Jaculus_jaculus
ENSCLAP00000013181	ENSCLAG00000009100	Chinchilla_lanigera
ENSCPOP00000017782	ENSCPOG00000023038	Cavia_porcellus
ENSHGLP00100023049	ENSHGLG00100016942	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013165	ENSHGLG00000009410	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000018993	ENSFDAG00000005840	Fukomys_damarensis
ENSMMMP00000028030	ENSMMMG00000024429	Marmota_marmota_marmota
ENSUPAP00010005885	ENSUPAG00010004753	Urocitellus_parryii
ENSSDAP00000021472	ENSSDAG00000019525	Spermophilus_dauricus
ENSSTOP00000021173	ENSSTOG00000021638	Ictidomys_tridecemlineatus
ENSOCUP00000020249	ENSOCUG00000022793	Oryctolagus_cuniculus
ENSOGAP00000021039	ENSOGAG00000025279	Otolemur_garnettii
ENSPSMP00000015199	ENSPSMG00000010840	Prolemur_simus
ENSLAFP00000026198	ENSLAFG00000032774	Loxodonta_africana
ENSDNOP00000027680	ENSDNOG00000033958	Dasypus_novemcinctus
