ENSUMAP00000021483	ENSUMAG00000015701	Ursus_maritimus
ENSUAMP00000000174	ENSUAMG00000000218	Ursus_americanus
ENSNVIP00000020295	ENSNVIG00000015893	Neovison_vison
ENSPPRP00000016519	ENSPPRG00000008770	Panthera_pardus
ENSPTIP00000021745	ENSPTIG00000018812	Panthera_tigris_altaica
ENSCHIP00000009396	ENSCHIG00000012280	Capra_hircus
ENSECAP00000036656	ENSECAG00000028027	Equus_caballus
ENSFCAP00000030755	ENSFCAG00000038402	Felis_catus
ENSEASP00005024614	ENSEASG00005016729	Equus_asinus_asinus
ENSBBBP00000002797	ENSBBBG00000007446	Bison_bison_bison
ENSBMUP00000009119	ENSBMUG00000007107	Bos_mutus
ENSCCAP00000021965	ENSCCAG00000028795	Cebus_capucinus_imitator
ENSTSYP00000023246	ENSTSYG00000028666	Carlito_syrichta
ENSMICP00000038021	ENSMICG00000026851	Microcebus_murinus
ENSNGAP00000016024	ENSNGAG00000016882	Nannospalax_galili
