ENSFHEP00000019744	ENSFHEG00000021646	Fundulus_heteroclitus
ENSARWP00000016901	ENSARWG00000011661	Apteryx_rowi
ENSAOWP00000003618	ENSAOWG00000002560	Apteryx_owenii
ENSGALP00000016517	ENSGALG00000010170	Gallus_gallus
ENSAPLP00000008649	ENSAPLG00000008968	Anas_platyrhynchos_platyrhynchos
ENSLACP00000019233	ENSLACG00000016917	Latimeria_chalumnae
ENSTGEP00000009831	ENSTGEG00000008090	Theropithecus_gelada
ENSJHYP00000006804	ENSJHYG00000005464	Junco_hyemalis	ENSJHYT00000008300
ENSDCDP00000039281	ENSDCDG00000026137	Denticeps_clupeoides
ENSCMIP00000039165	ENSCMIG00000016398	Callorhinchus_milii
ENSCHOP00000011632	ENSCHOG00000013118	Choloepus_hoffmanni
ENSPKIP00000037807	ENSPKIG00000015816	Paramormyrops_kingsleyae
ENSBTAP00000017038	ENSBTAG00000012824	Bos_taurus
ENSPCAP00000003424	ENSPCAG00000003603	Procavia_capensis
ENSKMAP00000001102	ENSKMAG00000000825	Kryptolebias_marmoratus
ENSPTIP00000017035	ENSPTIG00000015594	Panthera_tigris_altaica
ENSDNOP00000028909	ENSDNOG00000009167	Dasypus_novemcinctus
ENSBIXP00000004845	ENSBIXG00000011145	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPVAP00000002765	ENSPVAG00000002927	Pteropus_vampyrus
ENSCVAP00000011843	ENSCVAG00000014180	Cyprinodon_variegatus
ENSLBEP00000037630	ENSLBEG00000028076	Labrus_bergylta
ENSMAMP00000021923	ENSMAMG00000014736	Mastacembelus_armatus
ENSCGOP00000029746	ENSCGOG00000013863	Cottoperca_gobio
ENSBMUP00000029997	ENSBMUG00000022414	Bos_mutus
ENSSLDP00000007643	ENSSLDG00000006081	Seriola_lalandi_dorsalis
ENSORLP00000044191	ENSORLG00000007884	Oryzias_latipes_ASM223467v1
ENSMAUP00000017576	ENSMAUG00000016415	Mesocricetus_auratus
ENSPVIP00000002423	ENSPVIG00000002084	Pogona_vitticeps
ENSSBOP00000004291	ENSSBOG00000018644	Saimiri_boliviensis_boliviensis
ENSSCAP00000002977	ENSSCAG00000002584	Serinus_canaria	ENSSCAT00000003514
ENSTTRP00000012308	ENSTTRG00000012971	Tursiops_truncatus
ENSHHUP00000066379	ENSHHUG00000039133	Hucho_hucho
ENSMOCP00000013472	ENSMOCG00000013260	Microtus_ochrogaster
ENSDNVP00000013798	ENSDNVG00000009728	Dromaius_novaehollandiae
ENSDCDP00000022459	ENSDCDG00000017259	Denticeps_clupeoides
ENSPPRP00000002806	ENSPPRG00000023186	Panthera_pardus
ENSCAPP00000009047	ENSCAPG00000010610	Cavia_aperea
ENSMUSP00000088725	ENSMUSG00000060798	Mus_musculus_strain_reference_(CL57BL6)
ENSIPUP00000012375	ENSIPUG00000008439	Ictalurus_punctatus
ENSAMXP00005001845	ENSAMXG00005000931	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPOP00000001783	ENSCPOG00000001974	Cavia_porcellus
