ENSPREP00000033814	ENSPREG00000022893	Poecilia_reticulata
ENSPKIP00000028585	ENSPKIG00000010174	Paramormyrops_kingsleyae
ENSFHEP00000030908	ENSFHEG00000016486	Fundulus_heteroclitus
ENSHBUP00000017244	ENSHBUG00000019300	Haplochromis_burtoni
ENSAPOP00000030554	ENSAPOG00000017202	Acanthochromis_polyacanthus
ENSMZEP00005021863	ENSMZEG00005016385	Maylandia_zebra
ENSORLP00015004050	ENSORLG00015004812	Oryzias_latipes_ASM223469v1
ENSORLP00020022464	ENSORLG00020000045	Oryzias_latipes_ASM223471v1
ENSBSLP00000013669	ENSBSLG00000007224	Betta_splendens
ENSPLAP00000003178	ENSPLAG00000004612	Poecilia_latipinna
ENSIPUP00000032340	ENSIPUG00000021737	Ictalurus_punctatus
ENSPNYP00000025059	ENSPNYG00000018916	Pundamilia_nyererei
ENSSLDP00000028822	ENSSLDG00000022267	Seriola_lalandi_dorsalis
ENSSMAP00000023149	ENSSMAG00000014108	Scophthalmus_maximus
ENSGACP00000012646	ENSGACG00000009589	Gasterosteus_aculeatus
ENSCSEP00000012699	ENSCSEG00000008206	Cynoglossus_semilaevis
ENSAOCP00000007969	ENSAOCG00000011904	Amphiprion_ocellaris
ENSDCDP00000061060	ENSDCDG00000034934	Denticeps_clupeoides	ENSDCDT00000073290
ENSKMAP00000028869	ENSKMAG00000021396	Kryptolebias_marmoratus
ENSXMAP00000026748	ENSXMAG00000022638	Xiphophorus_maculatus
ENSGMOP00000020568	ENSGMOG00000019122	Gadus_morhua
ENSPFOP00000025092	ENSPFOG00000009216	Poecilia_formosa
ENSMMOP00000016152	ENSMMOG00000012337	Mola_mola
ENSHHUP00000070781	ENSHHUG00000041595	Hucho_hucho
ENSGAFP00000017834	ENSGAFG00000012074	Gambusia_affinis
ENSSFOP00015010865	ENSSFOG00015007054	Scleropages_formosus
ENSACLP00000025708	ENSACLG00000017475	Astatotilapia_calliptera
ENSAPEP00000015547	ENSAPEG00000011030	Amphiprion_percula
ENSHHUP00000006972	ENSHHUG00000004319	Hucho_hucho
ENSAMXP00000045177	ENSAMXG00000041754	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMALP00000006861	ENSMALG00000004869	Monopterus_albus
ENSONIP00000007533	ENSONIG00000005982	Oreochromis_niloticus
ENSTNIP00000000832	ENSTNIG00000000564	Tetraodon_nigroviridis
ENSTRUP00000030076	ENSTRUG00000011895	Takifugu_rubripes
ENSSPAP00000020971	ENSSPAG00000015802	Stegastes_partitus
ENSAMXP00005025197	ENSAMXG00005012776	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDARP00000111268	ENSDARG00000016088	Danio_rerio
ENSCHAP00000012743	ENSCHAG00000007074	Clupea_harengus	ENSCHAT00000014181
ENSORLP00000028916	ENSORLG00000027944	Oryzias_latipes_ASM223467v1
ENSMAMP00000016314	ENSMAMG00000011037	Mastacembelus_armatus
ENSPNAP00000003252	ENSPNAG00000009651	Pygocentrus_nattereri
ENSGWIP00000025491	ENSGWIG00000013457	Gouania_willdenowi
ENSNBRP00000007213	ENSNBRG00000005652	Neolamprologus_brichardi
ENSLCRP00005005219	ENSLCRG00005002680	Larimichthys_crocea
ENSEEEP00000043511	ENSEEEG00000020574	Electrophorus_electricus
ENSPMGP00000009831	ENSPMGG00000008144	Periophthalmus_magnuspinnatus
ENSCVAP00000017358	ENSCVAG00000020443	Cyprinodon_variegatus
ENSELUP00000013789	ENSELUG00000013859	Esox_lucius
ENSACIP00000025377	ENSACIG00000019660	Amphilophus_citrinellus
ENSPRNP00000012328	ENSPRNG00000006870	Parambassis_ranga
ENSHCOP00000005323	ENSHCOG00000006977	Hippocampus_comes
ENSLBEP00000035146	ENSLBEG00000026400	Labrus_bergylta
ENSCGOP00000018145	ENSCGOG00000008701	Cottoperca_gobio
ENSATEP00000018527	ENSATEG00000012893	Anabas_testudineus
ENSLCAP00010040668	ENSLCAG00010019017	Lates_calcarifer
ENSPMEP00000028629	ENSPMEG00000013812	Poecilia_mexicana
ENSSDUP00000007510	ENSSDUG00000005515	Seriola_dumerili
ENSOMEP00000012410	ENSOMEG00000000735	Oryzias_melastigma
