ENSDORP00000012130	ENSDORG00000012896	Dipodomys_ordii
ENSNLEP00000011826	ENSNLEG00000009683	Nomascus_leucogenys
ENSOPRP00000011461	ENSOPRG00000012531	Ochotona_princeps
ENSETEP00000005305	ENSETEG00000006526	Echinops_telfairi
ENSMLUP00000011136	ENSMLUG00000012209	Myotis_lucifugus
ENSUMAP00000005601	ENSUMAG00000004347	Ursus_maritimus
ENSANAP00000021116	ENSANAG00000028341	Aotus_nancymaae
ENSPTRP00000027952	ENSPTRG00000016272	Pan_troglodytes
ENSMEUP00000013783	ENSMEUG00000015092	Notamacropus_eugenii
ENSVPAP00000002565	ENSVPAG00000002770	Vicugna_pacos
ENSMMUP00000013511	ENSMMUG00000010314	Macaca_mulatta
ENSMOCP00000013955	ENSMOCG00000013584	Microtus_ochrogaster
ENSMUSP00000031817	ENSMUSG00000029798	Mus_musculus_strain_reference_(CL57BL6)
ENSCJAP00000011917	ENSCJAG00000006441	Callithrix_jacchus
ENSMMMP00000006423	ENSMMMG00000005759	Marmota_marmota_marmota
ENSMUGP00000020111	ENSMUGG00000016977	Meriones_unguiculatus
ENSPTEP00000019842	ENSPTEG00000021136	Piliocolobus_tephrosceles
ENSTSYP00000026419	ENSTSYG00000012990	Carlito_syrichta
ENSCGRP00001025332	ENSCGRG00001022959	Cricetulus_griseus_CHOK1GS_HDv1
ENSMODP00000024013	ENSMODG00000019236	Monodelphis_domestica
ENSRNOP00000055422	ENSRNOG00000023969	Rattus_norvegicus
ENSBBBP00000001643	ENSBBBG00000010791	Bison_bison_bison
ENSCPRP00005018675	ENSCPRG00005013075	Crocodylus_porosus
ENSCPBP00000006331	ENSCPBG00000005044	Chrysemys_picta_bellii
ENSPCIP00000017973	ENSPCIG00000013742	Phascolarctos_cinereus
ENSSPUP00000012434	ENSSPUG00000009549	Sphenodon_punctatus
ENSBIXP00000024247	ENSBIXG00000026467	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGGOP00000010659	ENSGGOG00000010928	Gorilla_gorilla
ENSBIXP00005013026	ENSBIXG00005006022	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLACP00000004124	ENSLACG00000003666	Latimeria_chalumnae
ENSCHIP00000026724	ENSCHIG00000022954	Capra_hircus
ENSSTOP00000014104	ENSSTOG00000015762	Ictidomys_tridecemlineatus
ENSCCNP00000015097	ENSCCNG00000015496	Castor_canadensis
ENSMNEP00000041397	ENSMNEG00000043508	Macaca_nemestrina
ENSPCAP00000007437	ENSPCAG00000007881	Procavia_capensis
ENSOCUP00000026560	ENSOCUG00000029688	Oryctolagus_cuniculus
ENSPPRP00000023756	ENSPPRG00000014051	Panthera_pardus
ENSAMEP00000003238	ENSAMEG00000003054	Ailuropoda_melanoleuca
ENSCATP00000045229	ENSCATG00000045034	Cercocebus_atys
MGP_PahariEiJ_P0050126	MGP_PahariEiJ_G0022182	Mus_pahari_strain_PAHARI_EIJ
ENSMLEP00000029183	ENSMLEG00000038794	Mandrillus_leucophaeus
ENSSSCP00000045221	ENSSSCG00000021712	Sus_scrofa_strain_reference
ENSOGAP00000015429	ENSOGAG00000017223	Otolemur_garnettii
ENSPANP00000002064	ENSPANG00000021686	Papio_anubis
ENSNVIP00000028637	ENSNVIG00000022007	Neovison_vison
ENSCCAP00000034287	ENSCCAG00000035110	Cebus_capucinus_imitator
ENSPVAP00000003373	ENSPVAG00000003568	Pteropus_vampyrus
ENSGAGP00000020012	ENSGAGG00000014745	Gopherus_agassizii	ENSGAGT00000022798
ENSCABP00000004600	ENSCABG00000003458	Chelonoidis_abingdonii	ENSCABT00000004990
ENSMSIP00000020134	ENSMSIG00000017101	Mus_spicilegus
ENSTTRP00000003645	ENSTTRG00000003856	Tursiops_truncatus
ENSECAP00000040759	ENSECAG00000019411	Equus_caballus
ENSSARP00000003548	ENSSARG00000003897	Sorex_araneus
ENSUPAP00010011018	ENSUPAG00010008922	Urocitellus_parryii
ENSSMRP00000016618	ENSSMRG00000012951	Salvator_merianae	ENSSMRT00000019440
ENSPCOP00000009658	ENSPCOG00000016223	Propithecus_coquereli
ENSEASP00005018437	ENSEASG00005012691	Equus_asinus_asinus
ENSPPYP00000016664	ENSPPYG00000014924	Pongo_abelii
ENSGAGP00000020008	ENSGAGG00000014737	Gopherus_agassizii	ENSGAGT00000022792
ENSVURP00010027743	ENSVURG00010021233	Vombatus_ursinus
ENSOARP00000001192	ENSOARG00000001138	Ovis_aries
ENSSPUP00000012404	ENSSPUG00000009522	Sphenodon_punctatus
ENSNSUP00000016907	ENSNSUG00000012467	Notechis_scutatus
ENSLAFP00000001926	ENSLAFG00000002305	Loxodonta_africana
MGP_SPRETEiJ_P0076917	MGP_SPRETEiJ_G0029438	Mus_spretus_strain_SPRET/EiJ
ENSCSAP00000000646	ENSCSAG00000004295	Chlorocebus_sabaeus
ENSEEUP00000009699	ENSEEUG00000010588	Erinaceus_europaeus
ENSBTAP00000027362	ENSBTAG00000020536	Bos_taurus
ENSCAFP00020008900	ENSCAFG00020007136	Canis_lupus_dingo
ENSSBOP00000031196	ENSSBOG00000031841	Saimiri_boliviensis_boliviensis
ENSMPUP00000002165	ENSMPUG00000002187	Mustela_putorius_furo
ENSUAMP00000029552	ENSUAMG00000022760	Ursus_americanus
ENSCHOP00000006751	ENSCHOG00000007615	Choloepus_hoffmanni
ENSDNOP00000004510	ENSDNOG00000005826	Dasypus_novemcinctus
ENSCGRP00000017252	ENSCGRG00000012541	Cricetulus_griseus_CriGri_1.0
ENSMEUP00000004342	ENSMEUG00000004743	Notamacropus_eugenii
ENSBMUP00000027624	ENSBMUG00000020681	Bos_mutus
MGP_CAROLIEiJ_P0074049	MGP_CAROLIEiJ_G0028444	Mus_caroli_strain_CAROLI_EIJ
ENSCGRP00015032488	ENSCGRG00015024484	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000006258	ENSPEMG00000008497	Peromyscus_maniculatus_bairdii
ENSMFAP00000042507	ENSMFAG00000040004	Macaca_fascicularis
ENSTBEP00000008599	ENSTBEG00000009918	Tupaia_belangeri
ENSCAFP00000014370	ENSCAFG00000009781	Canis_lupus_familiaris
ENSTGEP00000006710	ENSTGEG00000005479	Theropithecus_gelada
