ENSBIXP00005037923	ENSBIXG00005019922	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000027424	ENSBIXG00000008250	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000029647	ENSBMUG00000022169	Bos_mutus
ENSBBBP00000021735	ENSBBBG00000003494	Bison_bison_bison
ENSOARP00000009433	ENSOARG00000008792	Ovis_aries
ENSSSCP00000066151	ENSSSCG00000047857	Sus_scrofa_strain_reference
ENSECAP00000054746	ENSECAG00000033040	Equus_caballus
ENSPPRP00000019186	ENSPPRG00000010617	Panthera_pardus
ENSPTIP00000011457	ENSPTIG00000011878	Panthera_tigris_altaica
ENSFCAP00000050547	ENSFCAG00000040832	Felis_catus
ENSNVIP00000015492	ENSNVIG00000012138	Neovison_vison
ENSCCNP00000013885	ENSCCNG00000014388	Castor_canadensis	ENSCCNT00000018209
ENSDORP00000017270	ENSDORG00000027577	Dipodomys_ordii	ENSDORT00000026449
ENSPEMP00000007962	ENSPEMG00000009760	Peromyscus_maniculatus_bairdii
ENSMOCP00000012010	ENSMOCG00000012251	Microtus_ochrogaster
ENSCGRP00015014123	ENSCGRG00015010863	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001001006	ENSCGRG00001000776	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000018714	ENSCGRG00000013628	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000021980	ENSMAUG00000019554	Mesocricetus_auratus
ENSMUSP00000147049	ENSMUSG00000100486	Mus_musculus_strain_reference_(CL57BL6)
ENSMUGP00000027211	ENSMUGG00000022662	Meriones_unguiculatus
ENSNGAP00000018114	ENSNGAG00000018345	Nannospalax_galili
ENSJJAP00000020193	ENSJJAG00000020940	Jaculus_jaculus
ENSUPAP00010004791	ENSUPAG00010003886	Urocitellus_parryii
ENSMMMP00000026236	ENSMMMG00000022978	Marmota_marmota_marmota
ENSSTOP00000026408	ENSSTOG00000033767	Ictidomys_tridecemlineatus
ENSSDAP00000003432	ENSSDAG00000003253	Spermophilus_dauricus
ENSCLAP00000005184	ENSCLAG00000003677	Chinchilla_lanigera
ENSODEP00000007887	ENSODEG00000005880	Octodon_degus
ENSCAPP00000012697	ENSCAPG00000013497	Cavia_aperea
ENSCPOP00000022107	ENSCPOG00000034338	Cavia_porcellus
ENSHGLP00000006486	ENSHGLG00000004742	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100017747	ENSHGLG00100013093	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016866	ENSFDAG00000005540	Fukomys_damarensis
ENSOCUP00000046032	ENSOCUG00000038681	Oryctolagus_cuniculus
ENSPPAP00000027785	ENSPPAG00000036973	Pan_paniscus
ENSPTRP00000089619	ENSPTRG00000050709	Pan_troglodytes
ENSGGOP00000031164	ENSGGOG00000044132	Gorilla_gorilla
ENSP00000490517	ENSG00000226792	Homo_sapiens
ENSNLEP00000026109	ENSNLEG00000031949	Nomascus_leucogenys
ENSMFAP00000011718	ENSMFAG00000018059	Macaca_fascicularis
ENSMMUP00000064612	ENSMMUG00000054118	Macaca_mulatta
ENSMNEP00000016460	ENSMNEG00000032270	Macaca_nemestrina
ENSCATP00000021010	ENSCATG00000034252	Cercocebus_atys
ENSTGEP00000006721	ENSTGEG00000005506	Theropithecus_gelada
ENSMLEP00000017046	ENSMLEG00000032733	Mandrillus_leucophaeus
ENSPANP00000035157	ENSPANG00000034970	Papio_anubis
ENSCANP00000034124	ENSCANG00000040735	Colobus_angolensis_palliatus
ENSPTEP00000032741	ENSPTEG00000031410	Piliocolobus_tephrosceles
ENSRBIP00000025965	ENSRBIG00000036868	Rhinopithecus_bieti
ENSRROP00000004330	ENSRROG00000017762	Rhinopithecus_roxellana
ENSCJAP00000057426	ENSCJAG00000045943	Callithrix_jacchus
ENSSBOP00000030595	ENSSBOG00000031577	Saimiri_boliviensis_boliviensis
ENSCCAP00000002971	ENSCCAG00000017028	Cebus_capucinus_imitator
ENSANAP00000016015	ENSANAG00000025879	Aotus_nancymaae
ENSTSYP00000032338	ENSTSYG00000025780	Carlito_syrichta
ENSPSMP00000022647	ENSPSMG00000016021	Prolemur_simus
ENSMICP00000042457	ENSMICG00000047001	Microcebus_murinus
ENSPCOP00000019999	ENSPCOG00000021956	Propithecus_coquereli
ENSSHAP00000018482	ENSSHAG00000015692	Sarcophilus_harrisii
ENSOANP00000024471	ENSOANG00000015534	Ornithorhynchus_anatinus
ENSLACP00000010582	ENSLACG00000009325	Latimeria_chalumnae
ENSPFOP00000016837	ENSPFOG00000016772	Poecilia_formosa	ENSPFOT00000016859
