ENSAOCP00000004811	ENSAOCG00000008243	Amphiprion_ocellaris
ENSAPOP00000024712	ENSAPOG00000007346	Acanthochromis_polyacanthus
ENSSPAP00000016254	ENSSPAG00000012246	Stegastes_partitus
ENSFHEP00000005917	ENSFHEG00000006901	Fundulus_heteroclitus
ENSCGOP00000027343	ENSCGOG00000012831	Cottoperca_gobio
ENSLCRP00005022536	ENSLCRG00005009094	Larimichthys_crocea
ENSATEP00000006436	ENSATEG00000004531	Anabas_testudineus
ENSMAMP00000009460	ENSMAMG00000006390	Mastacembelus_armatus
ENSSDUP00000015018	ENSSDUG00000010964	Seriola_dumerili
ENSSLDP00000020942	ENSSLDG00000016372	Seriola_lalandi_dorsalis
ENSLCAP00010029828	ENSLCAG00010014020	Lates_calcarifer
ENSMMOP00000018977	ENSMMOG00000014367	Mola_mola
ENSLBEP00000027049	ENSLBEG00000020544	Labrus_bergylta
ENSMZEP00005035024	ENSMZEG00005026199	Maylandia_zebra
ENSACLP00000001480	ENSACLG00000001036	Astatotilapia_calliptera
ENSPNYP00000007499	ENSPNYG00000005739	Pundamilia_nyererei
ENSHBUP00000032218	ENSHBUG00000018345	Haplochromis_burtoni
ENSNBRP00000021202	ENSNBRG00000016263	Neolamprologus_brichardi
ENSPMGP00000015572	ENSPMGG00000012769	Periophthalmus_magnuspinnatus
ENSDCDP00000020915	ENSDCDG00000016497	Denticeps_clupeoides
ENSAMXP00000027736	ENSAMXG00000035612	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000048084	ENSAMXG00000042418	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000030751	ENSPNAG00000017646	Pygocentrus_nattereri
ENSEEEP00000022982	ENSEEEG00000011158	Electrophorus_electricus
ENSCHAP00000004057	ENSCHAG00000002568	Clupea_harengus
ENSELUP00000003968	ENSELUG00000005138	Esox_lucius
ENSHHUP00000090381	ENSHHUG00000052181	Hucho_hucho
ENSECRP00000011984	ENSECRG00000007997	Erpetoichthys_calabaricus
