ENSVVUP00000010040	ENSVVUG00000007425	Vulpes_vulpes
ENSUAMP00000034981	ENSUAMG00000026579	Ursus_americanus
ENSPCIP00000053290	ENSPCIG00000031472	Phascolarctos_cinereus
ENSAHAP00000015532	ENSAHAG00000011119	Apteryx_haastii
ENSARWP00000024816	ENSARWG00000016902	Apteryx_rowi
ENSAOWP00000028263	ENSAOWG00000019030	Apteryx_owenii
ENSMVIP00005023918	ENSMVIG00005016764	Manacus_vitellinus
ENSCABP00000013760	ENSCABG00000010297	Chelonoidis_abingdonii
ENSECRP00000021843	ENSECRG00000014760	Erpetoichthys_calabaricus
ENSAPLP00000021662	ENSAPLG00000027036	Anas_platyrhynchos_platyrhynchos
ENSNSUP00000023789	ENSNSUG00000017214	Notechis_scutatus
ENSCCNP00000030397	ENSCCNG00000029101	Castor_canadensis
ENSPMEP00000033637	ENSPMEG00000022276	Poecilia_mexicana
ENSPLAP00000011367	ENSPLAG00000014467	Poecilia_latipinna
ENSSPAP00000009070	ENSSPAG00000006916	Stegastes_partitus
