ENSPMGP00000019297	ENSPMGG00000015672	Periophthalmus_magnuspinnatus
ENSBMUP00000029406	ENSBMUG00000021918	Bos_mutus
ENSSMRP00000021532	ENSSMRG00000016756	Salvator_merianae
ENSVURP00010014573	ENSVURG00010011179	Vombatus_ursinus	ENSVURT00010016572
ENSRNOP00000022050	ENSRNOG00000024635	Rattus_norvegicus
ENSGWIP00000009430	ENSGWIG00000005630	Gouania_willdenowi
ENSNGAP00000009636	ENSNGAG00000012239	Nannospalax_galili
ENSDNVP00000008146	ENSDNVG00000005787	Dromaius_novaehollandiae
ENSHGLP00100020167	ENSHGLG00100014867	Heterocephalus_glaber_HetGla_1.0
ENSPSMP00000035931	ENSPSMG00000024711	Prolemur_simus
ENSOANP00000004629	ENSOANG00000002915	Ornithorhynchus_anatinus
ENSCVAP00000029271	ENSCVAG00000016910	Cyprinodon_variegatus
ENSAMXP00000000671	ENSAMXG00000000638	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSUPAP00010019099	ENSUPAG00010015084	Urocitellus_parryii
ENSCLAP00000020260	ENSCLAG00000013881	Chinchilla_lanigera
ENSDNOP00000026374	ENSDNOG00000039054	Dasypus_novemcinctus	ENSDNOT00000051886
ENSTGUP00000003286	ENSTGUG00000003176	Taeniopygia_guttata
ENSLSDP00000001048	ENSLSDG00000000823	Lonchura_striata_domestica
ENSMZEP00005012868	ENSMZEG00005009624	Maylandia_zebra
ENSCANP00000027633	ENSCANG00000037188	Colobus_angolensis_palliatus
MGP_CAROLIEiJ_P0043192	MGP_CAROLIEiJ_G0021217	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000012220	ENSMSIG00000010664	Mus_spicilegus
ENSPTRP00000012990	ENSPTRG00000007602	Pan_troglodytes
ENSXMAP00000021469	ENSXMAG00000011872	Xiphophorus_maculatus
ENSBBBP00000026520	ENSBBBG00000022440	Bison_bison_bison
ENSCCAP00000008690	ENSCCAG00000022072	Cebus_capucinus_imitator
ENSSLDP00000008044	ENSSLDG00000006361	Seriola_lalandi_dorsalis
ENSANAP00000018901	ENSANAG00000027271	Aotus_nancymaae
ENSIPUP00000034709	ENSIPUG00000023314	Ictalurus_punctatus
ENSNSUP00000001345	ENSNSUG00000001174	Notechis_scutatus
ENSAHAP00000015671	ENSAHAG00000011216	Apteryx_haastii
ENSP00000380559	ENSG00000007545	Homo_sapiens
ENSLAFP00000015992	ENSLAFG00000020604	Loxodonta_africana
ENSBSLP00000008341	ENSBSLG00000004194	Betta_splendens
ENSCGRP00001027861	ENSCGRG00001024738	Cricetulus_griseus_CHOK1GS_HDv1
ENSCPRP00005000738	ENSCPRG00005000537	Crocodylus_porosus
ENSCHAP00000027707	ENSCHAG00000013039	Clupea_harengus
ENSBIXP00000026867	ENSBIXG00000029259	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMAUP00000021747	ENSMAUG00000019364	Mesocricetus_auratus
ENSPPAP00000025981	ENSPPAG00000036103	Pan_paniscus
ENSEEEP00000033509	ENSEEEG00000015931	Electrophorus_electricus
MGP_SPRETEiJ_P0045102	MGP_SPRETEiJ_G0022128	Mus_spretus_strain_SPRET/EiJ
ENSDORP00000021514	ENSDORG00000013715	Dipodomys_ordii
ENSFDAP00000006297	ENSFDAG00000015095	Fukomys_damarensis
ENSTRUP00000055463	ENSTRUG00000003674	Takifugu_rubripes
ENSPFOP00000006821	ENSPFOG00000006747	Poecilia_formosa
ENSNBRP00000008144	ENSNBRG00000006282	Neolamprologus_brichardi
ENSPVIP00000025105	ENSPVIG00000018876	Pogona_vitticeps
ENSPSIP00000003387	ENSPSIG00000003236	Pelodiscus_sinensis
ENSCJAP00000026907	ENSCJAG00000014596	Callithrix_jacchus
ENSSDUP00000022980	ENSSDUG00000016689	Seriola_dumerili
ENSFCAP00000035701	ENSFCAG00000011852	Felis_catus
ENSGMOP00000003576	ENSGMOG00000003365	Gadus_morhua
ENSGAFP00000007184	ENSGAFG00000004800	Gambusia_affinis
ENSEBUP00000003657	ENSEBUG00000002577	Eptatretus_burgeri
ENSMMOP00000016473	ENSMMOG00000012559	Mola_mola
ENSDNOP00000034924	ENSDNOG00000045712	Dasypus_novemcinctus
ENSFALP00000005188	ENSFALG00000004993	Ficedula_albicollis
ENSGALP00000015195	ENSGALG00000009341	Gallus_gallus
