ENSABRP00000004090	ENSABRG00000003837	Anser_brachyrhynchus	ENSABRT00000005852
ENSAPLP00000019668	ENSAPLG00000013303	Anas_platyrhynchos_platyrhynchos
ENSGALP00000013389	ENSGALG00000008237	Gallus_gallus
ENSCJPP00005006459	ENSCJPG00005006046	Coturnix_japonica
ENSNMEP00000016245	ENSNMEG00000014354	Numida_meleagris
ENSLSDP00000013508	ENSLSDG00000009795	Lonchura_striata_domestica
ENSTGUP00000001358	ENSTGUG00000001316	Taeniopygia_guttata
ENSSCAP00000006636	ENSSCAG00000005170	Serinus_canaria
ENSZALP00000015206	ENSZALG00000012528	Zonotrichia_albicollis
ENSCCEP00000012080	ENSCCEG00000011693	Cyanistes_caeruleus
ENSPMJP00000006815	ENSPMJG00000005685	Parus_major
ENSFALP00000002659	ENSFALG00000002556	Ficedula_albicollis
ENSLCOP00000007475	ENSLCOG00000005506	Lepidothrix_coronata
ENSMVIP00005028244	ENSMVIG00005019680	Manacus_vitellinus
ENSCPUP00000004378	ENSCPUG00000003251	Calidris_pugnax
ENSCPGP00000022300	ENSCPGG00000015487	Calidris_pygmaea
ENSMUNP00000006935	ENSMUNG00000005583	Melopsittacus_undulatus
ENSAOWP00000026518	ENSAOWG00000017785	Apteryx_owenii
ENSAHAP00000014635	ENSAHAG00000010106	Apteryx_haastii
ENSARWP00000015537	ENSARWG00000010639	Apteryx_rowi
ENSDNVP00000024084	ENSDNVG00000016699	Dromaius_novaehollandiae
ENSNPEP00000000376	ENSNPEG00000000226	Nothoprocta_perdicaria
ENSCPRP00005017045	ENSCPRG00005011882	Crocodylus_porosus
ENSGAGP00000020969	ENSGAGG00000015410	Gopherus_agassizii
ENSCABP00000028450	ENSCABG00000020878	Chelonoidis_abingdonii
ENSCPBP00000014533	ENSCPBG00000010814	Chrysemys_picta_bellii
ENSPSIP00000006939	ENSPSIG00000006243	Pelodiscus_sinensis
ENSACAP00000003017	ENSACAG00000003047	Anolis_carolinensis
ENSACAP00000018352	ENSACAG00000023904	Anolis_carolinensis
ENSPVIP00000002688	ENSPVIG00000002294	Pogona_vitticeps
ENSNSUP00000018885	ENSNSUG00000013788	Notechis_scutatus
ENSSMRP00000025008	ENSSMRG00000019336	Salvator_merianae
ENSSPUP00000018202	ENSSPUG00000014050	Sphenodon_punctatus
ENSSHAP00000001155	ENSSHAG00000001030	Sarcophilus_harrisii
ENSMODP00000001221	ENSMODG00000001027	Monodelphis_domestica
ENSVURP00010008019	ENSVURG00010006203	Vombatus_ursinus
ENSPCIP00000005020	ENSPCIG00000004157	Phascolarctos_cinereus
ENSMEUP00000013105	ENSMEUG00000014348	Notamacropus_eugenii
ENSHGLP00100003496	ENSHGLG00100002660	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000011132	ENSHGLG00000007988	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000014429	ENSFDAG00000001653	Fukomys_damarensis
ENSCLAP00000002215	ENSCLAG00000001599	Chinchilla_lanigera
ENSODEP00000008873	ENSODEG00000006633	Octodon_degus
ENSCPOP00000021451	ENSCPOG00000033571	Cavia_porcellus
ENSCAPP00000014907	ENSCAPG00000015166	Cavia_aperea
ENSMMMP00000022955	ENSMMMG00000020111	Marmota_marmota_marmota
ENSUPAP00010018926	ENSUPAG00010015001	Urocitellus_parryii
ENSSDAP00000015302	ENSSDAG00000013784	Spermophilus_dauricus
ENSSTOP00000019019	ENSSTOG00000021703	Ictidomys_tridecemlineatus
ENSCCNP00000005267	ENSCCNG00000005613	Castor_canadensis
ENSDORP00000005364	ENSDORG00000005732	Dipodomys_ordii
ENSCGRP00000016462	ENSCGRG00000011953	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015009856	ENSCGRG00015007575	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013861	ENSCGRG00001014891	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000011998	ENSMAUG00000012430	Mesocricetus_auratus
ENSMOCP00000005879	ENSMOCG00000005419	Microtus_ochrogaster
ENSPEMP00000000412	ENSPEMG00000000293	Peromyscus_maniculatus_bairdii
ENSMUSP00000157710	ENSMUSG00000001700	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000031766	ENSMSIG00000026583	Mus_spicilegus
MGP_SPRETEiJ_P0048694	MGP_SPRETEiJ_G0023197	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0046756	MGP_CAROLIEiJ_G0022284	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039345	MGP_PahariEiJ_G0019017	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000020570	ENSRNOG00000015225	Rattus_norvegicus
ENSMUGP00000016920	ENSMUGG00000014472	Meriones_unguiculatus
ENSNGAP00000022774	ENSNGAG00000021546	Nannospalax_galili
ENSJJAP00000019188	ENSJJAG00000020204	Jaculus_jaculus
ENSOPRP00000012980	ENSOPRG00000014215	Ochotona_princeps
ENSOCUP00000041807	ENSOCUG00000016248	Oryctolagus_cuniculus
ENSPTRP00000076894	ENSPTRG00000017184	Pan_troglodytes
ENSP00000426120	ENSG00000155324	Homo_sapiens
ENSGGOP00000045664	ENSGGOG00000003435	Gorilla_gorilla
ENSNLEP00000030318	ENSNLEG00000012129	Nomascus_leucogenys
ENSTGEP00000017727	ENSTGEG00000014342	Theropithecus_gelada
ENSPANP00000041798	ENSPANG00000004678	Papio_anubis
ENSMLEP00000017339	ENSMLEG00000032742	Mandrillus_leucophaeus
ENSCATP00000038519	ENSCATG00000041939	Cercocebus_atys
ENSMFAP00000025088	ENSMFAG00000044063	Macaca_fascicularis
ENSMNEP00000041223	ENSMNEG00000043427	Macaca_nemestrina
ENSRROP00000039329	ENSRROG00000042986	Rhinopithecus_roxellana
ENSRBIP00000024249	ENSRBIG00000036015	Rhinopithecus_bieti
ENSCANP00000034057	ENSCANG00000040684	Colobus_angolensis_palliatus
ENSPTEP00000010482	ENSPTEG00000011754	Piliocolobus_tephrosceles
ENSCCAP00000001642	ENSCCAG00000010148	Cebus_capucinus_imitator
ENSSBOP00000037267	ENSSBOG00000034731	Saimiri_boliviensis_boliviensis
ENSANAP00000015880	ENSANAG00000025780	Aotus_nancymaae
ENSPPYP00000017586	ENSPPYG00000015725	Pongo_abelii
ENSCSAP00000010656	ENSCSAG00000014535	Chlorocebus_sabaeus
ENSCJAP00000015345	ENSCJAG00000008280	Callithrix_jacchus
ENSPPAP00000037593	ENSPPAG00000041531	Pan_paniscus
ENSMMUP00000049670	ENSMMUG00000007899	Macaca_mulatta
ENSTSYP00000012624	ENSTSYG00000013762	Carlito_syrichta
ENSPCOP00000002898	ENSPCOG00000008870	Propithecus_coquereli
ENSMICP00000006651	ENSMICG00000007304	Microcebus_murinus
ENSPSMP00000032188	ENSPSMG00000022195	Prolemur_simus
ENSTBEP00000012686	ENSTBEG00000014603	Tupaia_belangeri
ENSPVAP00000003100	ENSPVAG00000003283	Pteropus_vampyrus
ENSMLUP00000002666	ENSMLUG00000002933	Myotis_lucifugus
ENSUMAP00000024632	ENSUMAG00000017911	Ursus_maritimus
ENSUAMP00000011515	ENSUAMG00000008971	Ursus_americanus
ENSAMEP00000010484	ENSAMEG00000009967	Ailuropoda_melanoleuca
ENSMPUP00000012794	ENSMPUG00000012892	Mustela_putorius_furo
ENSNVIP00000007699	ENSNVIG00000006035	Neovison_vison
ENSCAFP00000059749	ENSCAFG00000000582	Canis_lupus_familiaris
ENSVVUP00000042497	ENSVVUG00000030157	Vulpes_vulpes
ENSCAFP00020012144	ENSCAFG00020009769	Canis_lupus_dingo
ENSPTIP00000001383	ENSPTIG00000003010	Panthera_tigris_altaica
ENSPPRP00000025941	ENSPPRG00000016474	Panthera_pardus
ENSFCAP00000010785	ENSFCAG00000011618	Felis_catus
ENSTTRP00000013502	ENSTTRG00000014232	Tursiops_truncatus
ENSSSCP00000064315	ENSSSCG00000022402	Sus_scrofa_strain_reference
ENSOARP00000019810	ENSOARG00000018452	Ovis_aries
ENSCHIP00000031265	ENSCHIG00000025691	Capra_hircus
ENSBTAP00000019934	ENSBTAG00000014974	Bos_taurus
ENSBIXP00005016996	ENSBIXG00005020617	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000031923	ENSBMUG00000023795	Bos_mutus
ENSBBBP00000020110	ENSBBBG00000006943	Bison_bison_bison
ENSBIXP00000020635	ENSBIXG00000003921	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVPAP00000009055	ENSVPAG00000009725	Vicugna_pacos
ENSEASP00005018102	ENSEASG00005012499	Equus_asinus_asinus
ENSECAP00000024042	ENSECAG00000017800	Equus_caballus
ENSEEUP00000005045	ENSEEUG00000005533	Erinaceus_europaeus
ENSSARP00000000767	ENSSARG00000000830	Sorex_araneus
ENSLAFP00000015523	ENSLAFG00000018520	Loxodonta_africana
ENSPCAP00000003056	ENSPCAG00000003254	Procavia_capensis
ENSETEP00000006779	ENSETEG00000008341	Echinops_telfairi
ENSCHOP00000004472	ENSCHOG00000005049	Choloepus_hoffmanni
ENSDNOP00000000184	ENSDNOG00000000247	Dasypus_novemcinctus
ENSOANP00000022194	ENSOANG00000014072	Ornithorhynchus_anatinus
ENSOANP00000032183	ENSOANG00000031268	Ornithorhynchus_anatinus
ENSXETP00000047184	ENSXETG00000019510	Xenopus_tropicalis
ENSLACP00000009116	ENSLACG00000008047	Latimeria_chalumnae
ENSCHAP00000048824	ENSCHAG00000022469	Clupea_harengus
ENSDCDP00000000304	ENSDCDG00000000192	Denticeps_clupeoides
ENSAMXP00000013188	ENSAMXG00000012820	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005042386	ENSAMXG00005019801	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001237	ENSPNAG00000008036	Pygocentrus_nattereri
ENSEEEP00000032760	ENSEEEG00000015608	Electrophorus_electricus
ENSIPUP00000003745	ENSIPUG00000002650	Ictalurus_punctatus
ENSHHUP00000020417	ENSHHUG00000012778	Hucho_hucho
ENSELUP00000030469	ENSELUG00000007696	Esox_lucius
ENSTRUP00000014876	ENSTRUG00000006122	Takifugu_rubripes
ENSTNIP00000016462	ENSTNIG00000013467	Tetraodon_nigroviridis
ENSHCOP00000019935	ENSHCOG00000005582	Hippocampus_comes
ENSGWIP00000020198	ENSGWIG00000010967	Gouania_willdenowi
ENSLBEP00000030710	ENSLBEG00000023195	Labrus_bergylta
ENSGACP00000020854	ENSGACG00000015806	Gasterosteus_aculeatus
ENSMMOP00000010948	ENSMMOG00000008438	Mola_mola
ENSBSLP00000008690	ENSBSLG00000004343	Betta_splendens
ENSXCOP00000023752	ENSXCOG00000017740	Xiphophorus_couchianus
ENSPREP00000028539	ENSPREG00000019310	Poecilia_reticulata
ENSACIP00000020989	ENSACIG00000016283	Amphilophus_citrinellus
ENSNBRP00000014562	ENSNBRG00000011235	Neolamprologus_brichardi
ENSPMGP00000021099	ENSPMGG00000017101	Periophthalmus_magnuspinnatus
ENSLCAP00010016615	ENSLCAG00010007900	Lates_calcarifer
ENSSMAP00000018672	ENSSMAG00000011450	Scophthalmus_maximus
ENSMALP00000025001	ENSMALG00000017409	Monopterus_albus
ENSMAMP00000005268	ENSMAMG00000003553	Mastacembelus_armatus
ENSATEP00000012794	ENSATEG00000008940	Anabas_testudineus
ENSLCRP00005034748	ENSLCRG00005013614	Larimichthys_crocea
ENSCGOP00000043959	ENSCGOG00000019775	Cottoperca_gobio
ENSAOCP00000019803	ENSAOCG00000003447	Amphiprion_ocellaris
ENSAPEP00000004314	ENSAPEG00000003131	Amphiprion_percula
ENSAPOP00000027762	ENSAPOG00000012499	Acanthochromis_polyacanthus
ENSSPAP00000004775	ENSSPAG00000003708	Stegastes_partitus
ENSPRNP00000035015	ENSPRNG00000017576	Parambassis_ranga
ENSFHEP00000001977	ENSFHEG00000002750	Fundulus_heteroclitus
ENSCVAP00000020900	ENSCVAG00000002582	Cyprinodon_variegatus
ENSPFOP00000000380	ENSPFOG00000000394	Poecilia_formosa
ENSPMEP00000005707	ENSPMEG00000007104	Poecilia_mexicana
ENSPLAP00000007023	ENSPLAG00000009269	Poecilia_latipinna
ENSXMAP00000025944	ENSXMAG00000029258	Xiphophorus_maculatus
ENSGAFP00000003187	ENSGAFG00000002163	Gambusia_affinis
ENSKMAP00000007804	ENSKMAG00000005858	Kryptolebias_marmoratus
ENSHBUP00000005323	ENSHBUG00000006724	Haplochromis_burtoni
ENSACLP00000039326	ENSACLG00000026531	Astatotilapia_calliptera
ENSMZEP00005007827	ENSMZEG00005005971	Maylandia_zebra
ENSPNYP00000008737	ENSPNYG00000006652	Pundamilia_nyererei
ENSONIP00000013902	ENSONIG00000011047	Oreochromis_niloticus
ENSORLP00000045648	ENSORLG00000024111	Oryzias_latipes_ASM223467v1
ENSORLP00020029192	ENSORLG00020013069	Oryzias_latipes_ASM223471v1
ENSORLP00015019723	ENSORLG00015020799	Oryzias_latipes_ASM223469v1
ENSOMEP00000014816	ENSOMEG00000016346	Oryzias_melastigma
ENSCSEP00000022395	ENSCSEG00000014261	Cynoglossus_semilaevis
ENSSDUP00000032747	ENSSDUG00000023532	Seriola_dumerili
ENSSLDP00000014402	ENSSLDG00000011514	Seriola_lalandi_dorsalis
ENSGMOP00000009022	ENSGMOG00000008428	Gadus_morhua
ENSSFOP00015013425	ENSSFOG00015008665	Scleropages_formosus
ENSPKIP00000034833	ENSPKIG00000014016	Paramormyrops_kingsleyae
ENSCHAP00000043262	ENSCHAG00000020137	Clupea_harengus
ENSDCDP00000027212	ENSDCDG00000019942	Denticeps_clupeoides
ENSAMXP00000042592	ENSAMXG00000012463	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005027302	ENSAMXG00005013709	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000002872	ENSPNAG00000009270	Pygocentrus_nattereri
ENSIPUP00000037505	ENSIPUG00000025091	Ictalurus_punctatus
ENSHCOP00000023899	ENSHCOG00000012779	Hippocampus_comes
ENSPMGP00000003556	ENSPMGG00000003060	Periophthalmus_magnuspinnatus
ENSMAMP00000026464	ENSMAMG00000017779	Mastacembelus_armatus
ENSMALP00000006571	ENSMALG00000004691	Monopterus_albus
ENSBSLP00000034351	ENSBSLG00000016602	Betta_splendens
ENSLCAP00010016764	ENSLCAG00010007966	Lates_calcarifer
ENSTRUP00000055905	ENSTRUG00000011252	Takifugu_rubripes
ENSTNIP00000019853	ENSTNIG00000016743	Tetraodon_nigroviridis
ENSLBEP00000008237	ENSLBEG00000006368	Labrus_bergylta
ENSLCRP00005014546	ENSLCRG00005006227	Larimichthys_crocea
ENSSMAP00000021238	ENSSMAG00000013019	Scophthalmus_maximus
ENSCSEP00000014411	ENSCSEG00000009279	Cynoglossus_semilaevis
ENSSLDP00000009203	ENSSLDG00000007309	Seriola_lalandi_dorsalis
ENSSLDP00000031882	ENSSLDG00000024482	Seriola_lalandi_dorsalis
ENSSDUP00000032897	ENSSDUG00000023635	Seriola_dumerili
ENSGACP00000019459	ENSGACG00000014736	Gasterosteus_aculeatus
ENSPFOP00000001556	ENSPFOG00000001531	Poecilia_formosa
ENSXMAP00000010760	ENSXMAG00000010736	Xiphophorus_maculatus
ENSCVAP00000015573	ENSCVAG00000018384	Cyprinodon_variegatus
ENSKMAP00000003548	ENSKMAG00000002700	Kryptolebias_marmoratus
ENSORLP00020031405	ENSORLG00020016305	Oryzias_latipes_ASM223471v1
ENSORLP00015025660	ENSORLG00015006901	Oryzias_latipes_ASM223469v1
ENSORLP00000037996	ENSORLG00000030238	Oryzias_latipes_ASM223467v1
ENSOMEP00000002810	ENSOMEG00000003757	Oryzias_melastigma
ENSPNYP00000010915	ENSPNYG00000008279	Pundamilia_nyererei
ENSMZEP00005026581	ENSMZEG00005019826	Maylandia_zebra
ENSHBUP00000001755	ENSHBUG00000002908	Haplochromis_burtoni
ENSACLP00000037078	ENSACLG00000025112	Astatotilapia_calliptera
ENSONIP00000017384	ENSONIG00000013825	Oreochromis_niloticus
ENSGWIP00000008248	ENSGWIG00000004869	Gouania_willdenowi
ENSAPEP00000030251	ENSAPEG00000021469	Amphiprion_percula
ENSAOCP00000025879	ENSAOCG00000013760	Amphiprion_ocellaris
ENSAPOP00000026252	ENSAPOG00000009888	Acanthochromis_polyacanthus
ENSGMOP00000019272	ENSGMOG00000017850	Gadus_morhua
ENSELUP00000006815	ENSELUG00000007672	Esox_lucius
ENSLOCP00000010444	ENSLOCG00000008589	Lepisosteus_oculatus
ENSECRP00000007146	ENSECRG00000004760	Erpetoichthys_calabaricus
ENSCMIP00000028675	ENSCMIG00000012437	Callorhinchus_milii
ENSEBUP00000012989	ENSEBUG00000008227	Eptatretus_burgeri
ENSEBUP00000018044	ENSEBUG00000011255	Eptatretus_burgeri
ENSPMAP00000003662	ENSPMAG00000003360	Petromyzon_marinus
