ENSSPUP00000018218	ENSSPUG00000014057	Sphenodon_punctatus
ENSNSUP00000020398	ENSNSUG00000014855	Notechis_scutatus
ENSMGAP00000012253	ENSMGAG00000011695	Meleagris_gallopavo
ENSJHYP00000000981	ENSJHYG00000000877	Junco_hyemalis
ENSAOWP00000010485	ENSAOWG00000007220	Apteryx_owenii
ENSAHAP00000023420	ENSAHAG00000016385	Apteryx_haastii
ENSARWP00000017195	ENSARWG00000011840	Apteryx_rowi
ENSNPEP00000009648	ENSNPEG00000007242	Nothoprocta_perdicaria
ENSMUNP00000007844	ENSMUNG00000006259	Melopsittacus_undulatus
ENSCPBP00000010792	ENSCPBG00000008269	Chrysemys_picta_bellii
ENSPCIP00000032245	ENSPCIG00000023937	Phascolarctos_cinereus
ENSMODP00000039698	ENSMODG00000006045	Monodelphis_domestica
ENSOARP00000015376	ENSOARG00000014328	Ovis_aries
ENSCHIP00000008924	ENSCHIG00000011948	Capra_hircus
ENSVVUP00000001616	ENSVVUG00000001316	Vulpes_vulpes
ENSCAPP00000008970	ENSCAPG00000010551	Cavia_aperea
ENSSCAP00000003005	ENSSCAG00000002596	Serinus_canaria
ENSXETP00000054413	ENSXETG00000018366	Xenopus_tropicalis
ENSLACP00000001008	ENSLACG00000000900	Latimeria_chalumnae
ENSAMXP00005039494	ENSAMXG00005018624	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000019595	ENSAMXG00000019031	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000023285	ENSPNAG00000000498	Pygocentrus_nattereri
ENSIPUP00000000689	ENSIPUG00000000507	Ictalurus_punctatus
ENSSFOP00015014578	ENSSFOG00015009401	Scleropages_formosus
ENSELUP00000000074	ENSELUG00000001702	Esox_lucius
ENSPMGP00000017702	ENSPMGG00000014481	Periophthalmus_magnuspinnatus
ENSCHAP00000046838	ENSCHAG00000021592	Clupea_harengus
ENSSFOP00015006966	ENSSFOG00015004575	Scleropages_formosus
ENSLBEP00000014153	ENSLBEG00000011011	Labrus_bergylta
ENSHHUP00000057165	ENSHHUG00000034089	Hucho_hucho
ENSATEP00000033980	ENSATEG00000023356	Anabas_testudineus
ENSGACP00000006591	ENSGACG00000004991	Gasterosteus_aculeatus
ENSLCAP00010030576	ENSLCAG00010014384	Lates_calcarifer
ENSMALP00000018588	ENSMALG00000012952	Monopterus_albus
ENSBSLP00000017089	ENSBSLG00000008932	Betta_splendens
ENSSLDP00000026525	ENSSLDG00000020603	Seriola_lalandi_dorsalis
ENSSDUP00000010385	ENSSDUG00000007587	Seriola_dumerili
ENSLCRP00005051289	ENSLCRG00005019324	Larimichthys_crocea
ENSCGOP00000030648	ENSCGOG00000014226	Cottoperca_gobio
ENSMZEP00005025105	ENSMZEG00005018748	Maylandia_zebra
ENSPNYP00000004584	ENSPNYG00000003548	Pundamilia_nyererei
ENSACLP00000010175	ENSACLG00000006949	Astatotilapia_calliptera
ENSHBUP00000030398	ENSHBUG00000015412	Haplochromis_burtoni
ENSNBRP00000014715	ENSNBRG00000011376	Neolamprologus_brichardi
ENSONIP00000008030	ENSONIG00000006372	Oreochromis_niloticus
ENSAOCP00000017011	ENSAOCG00000001605	Amphiprion_ocellaris
ENSGWIP00000052396	ENSGWIG00000025285	Gouania_willdenowi
ENSPMEP00000034539	ENSPMEG00000023847	Poecilia_mexicana
ENSPLAP00000024809	ENSPLAG00000011323	Poecilia_latipinna
ENSPREP00000002710	ENSPREG00000001956	Poecilia_reticulata
ENSXCOP00000020216	ENSXCOG00000015156	Xiphophorus_couchianus
ENSXMAP00000036699	ENSXMAG00000008396	Xiphophorus_maculatus
ENSCVAP00000029927	ENSCVAG00000018104	Cyprinodon_variegatus
ENSORLP00000015935	ENSORLG00000012719	Oryzias_latipes_ASM223467v1
ENSORLP00020003590	ENSORLG00020004438	Oryzias_latipes_ASM223471v1
ENSORLP00015003975	ENSORLG00015004727	Oryzias_latipes_ASM223469v1
ENSOMEP00000000286	ENSOMEG00000001170	Oryzias_melastigma
ENSSMAP00000009075	ENSSMAG00000005608	Scophthalmus_maximus
ENSKMAP00000024492	ENSKMAG00000018155	Kryptolebias_marmoratus
ENSPFOP00000019531	ENSPFOG00000019412	Poecilia_formosa
ENSFHEP00000001641	ENSFHEG00000002404	Fundulus_heteroclitus
ENSTNIP00000001642	ENSTNIG00000013653	Tetraodon_nigroviridis
ENSTRUP00000033868	ENSTRUG00000013303	Takifugu_rubripes
ENSSPAP00000019442	ENSSPAG00000014686	Stegastes_partitus
ENSSPAP00000025960	ENSSPAG00000019583	Stegastes_partitus
ENSPRNP00000042059	ENSPRNG00000020589	Parambassis_ranga
ENSAPOP00000006337	ENSAPOG00000008163	Acanthochromis_polyacanthus
ENSAPEP00000014832	ENSAPEG00000010563	Amphiprion_percula
ENSGAFP00000027438	ENSGAFG00000018538	Gambusia_affinis
ENSMMOP00000005857	ENSMMOG00000004600	Mola_mola
ENSACIP00000001646	ENSACIG00000001349	Amphilophus_citrinellus
ENSCSEP00000030285	ENSCSEG00000019405	Cynoglossus_semilaevis
ENSHCOP00000010167	ENSHCOG00000012739	Hippocampus_comes
ENSMAMP00000016462	ENSMAMG00000011145	Mastacembelus_armatus
ENSPKIP00000008239	ENSPKIG00000023815	Paramormyrops_kingsleyae
ENSEEEP00000015303	ENSEEEG00000007609	Electrophorus_electricus
ENSGMOP00000006281	ENSGMOG00000005914	Gadus_morhua
ENSELUP00000036137	ENSELUG00000015367	Esox_lucius
ENSAMXP00000041806	ENSAMXG00000032617	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005001729	ENSAMXG00005000981	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000019518	ENSPNAG00000026098	Pygocentrus_nattereri
ENSEEEP00000000881	ENSEEEG00000000600	Electrophorus_electricus
ENSDCDP00000017110	ENSDCDG00000013921	Denticeps_clupeoides
ENSXCOP00000021502	ENSXCOG00000016098	Xiphophorus_couchianus
ENSFHEP00000026674	ENSFHEG00000000702	Fundulus_heteroclitus
ENSAPEP00000030173	ENSAPEG00000021435	Amphiprion_percula
ENSAPEP00000009418	ENSAPEG00000006764	Amphiprion_percula
ENSHCOP00000001826	ENSHCOG00000002857	Hippocampus_comes
ENSBSLP00000057010	ENSBSLG00000026552	Betta_splendens
ENSHHUP00000090438	ENSHHUG00000052218	Hucho_hucho
ENSELUP00000036133	ENSELUG00000015350	Esox_lucius
ENSPREP00000020400	ENSPREG00000013805	Poecilia_reticulata
ENSPLAP00000007507	ENSPLAG00000009877	Poecilia_latipinna
ENSXMAP00000037302	ENSXMAG00000007614	Xiphophorus_maculatus
ENSCVAP00000011381	ENSCVAG00000013624	Cyprinodon_variegatus
ENSGWIP00000038901	ENSGWIG00000019827	Gouania_willdenowi
ENSAOCP00000018410	ENSAOCG00000023599	Amphiprion_ocellaris
ENSAPOP00000025548	ENSAPOG00000008744	Acanthochromis_polyacanthus
ENSSPAP00000018375	ENSSPAG00000013858	Stegastes_partitus
ENSPRNP00000002589	ENSPRNG00000001589	Parambassis_ranga
ENSMZEP00005032827	ENSMZEG00005024447	Maylandia_zebra
ENSACLP00000017208	ENSACLG00000011720	Astatotilapia_calliptera
ENSPNYP00000011586	ENSPNYG00000008772	Pundamilia_nyererei
