ENSCAFP00000048545	ENSCAFG00000045896	Canis_lupus_familiaris
ENSCAFP00020021572	ENSCAFG00020017047	Canis_lupus_dingo
ENSNVIP00000016052	ENSNVIG00000012572	Neovison_vison
ENSPTIP00000000516	ENSPTIG00000001325	Panthera_tigris_altaica
ENSEASP00005024879	ENSEASG00005016925	Equus_asinus_asinus
ENSECAP00000038848	ENSECAG00000033503	Equus_caballus
ENSBIXP00005001625	ENSBIXG00005008100	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000012979	ENSBIXG00000017981	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000065729	ENSBTAG00000051894	Bos_taurus
ENSBMUP00000005920	ENSBMUG00000004652	Bos_mutus
ENSBBBP00000020672	ENSBBBG00000003276	Bison_bison_bison
ENSCHIP00000007667	ENSCHIG00000011098	Capra_hircus
ENSMMMP00000019732	ENSMMMG00000017442	Marmota_marmota_marmota
ENSCCNP00000000770	ENSCCNG00000000858	Castor_canadensis
ENSMFAP00000009940	ENSMFAG00000004635	Macaca_fascicularis
ENSMNEP00000006641	ENSMNEG00000027734	Macaca_nemestrina
ENSTGEP00000002938	ENSTGEG00000002542	Theropithecus_gelada
ENSPANP00000021784	ENSPANG00000031283	Papio_anubis
ENSMLEP00000000253	ENSMLEG00000000609	Mandrillus_leucophaeus
ENSCATP00000007750	ENSCATG00000023032	Cercocebus_atys
ENSPTEP00000009133	ENSPTEG00000010362	Piliocolobus_tephrosceles
ENSCANP00000029289	ENSCANG00000038228	Colobus_angolensis_palliatus
ENSPSMP00000031712	ENSPSMG00000022008	Prolemur_simus
