ENSPVIP00000010569	ENSPVIG00000008369	Pogona_vitticeps	ENSPVIT00000013449
ENSACAP00000001905	ENSACAG00000001987	Anolis_carolinensis	ENSACAT00000001951
ENSSMRP00000029672	ENSSMRG00000022808	Salvator_merianae	ENSSMRT00000034630
ENSSPUP00000010166	ENSSPUG00000007856	Sphenodon_punctatus	ENSSPUT00000010830
ENSCPGP00000010398	ENSCPGG00000007401	Calidris_pygmaea	ENSCPGT00000011412
ENSCPUP00000018674	ENSCPUG00000012828	Calidris_pugnax	ENSCPUT00000022163
ENSMUNP00000020513	ENSMUNG00000015611	Melopsittacus_undulatus	ENSMUNT00000023488
ENSTGUP00000012730	ENSTGUG00000012366	Taeniopygia_guttata
ENSLSDP00000018885	ENSLSDG00000013485	Lonchura_striata_domestica
ENSFALP00000008464	ENSFALG00000008123	Ficedula_albicollis
ENSCCEP00000009181	ENSCCEG00000009353	Cyanistes_caeruleus
ENSZALP00000000349	ENSZALG00000000407	Zonotrichia_albicollis
ENSPMJP00000019941	ENSPMJG00000014885	Parus_major
ENSLCOP00000009238	ENSLCOG00000006743	Lepidothrix_coronata
ENSABRP00000004312	ENSABRG00000003988	Anser_brachyrhynchus
ENSAPLP00000004937	ENSAPLG00000005382	Anas_platyrhynchos_platyrhynchos
ENSGALP00000027364	ENSGALG00000016964	Gallus_gallus
ENSGALP00000065135	ENSGALG00000030571	Gallus_gallus
ENSMGAP00000015881	ENSMGAG00000014978	Meleagris_gallopavo
ENSCJPP00005025065	ENSCJPG00005019713	Coturnix_japonica
ENSAHAP00000008983	ENSAHAG00000006575	Apteryx_haastii
ENSCPRP00005001691	ENSCPRG00005001259	Crocodylus_porosus
ENSGAGP00000022707	ENSGAGG00000016646	Gopherus_agassizii
ENSCABP00000026716	ENSCABG00000019605	Chelonoidis_abingdonii
ENSCPBP00000018639	ENSCPBG00000013568	Chrysemys_picta_bellii
ENSMLUP00000014172	ENSMLUG00000015553	Myotis_lucifugus
ENSPVAP00000010632	ENSPVAG00000011277	Pteropus_vampyrus
ENSSARP00000002668	ENSSARG00000002923	Sorex_araneus
ENSEEUP00000002676	ENSEEUG00000002913	Erinaceus_europaeus
ENSCAFP00000047611	ENSCAFG00000044274	Canis_lupus_familiaris
ENSCAFP00020023762	ENSCAFG00020018717	Canis_lupus_dingo
ENSMPUP00000001692	ENSMPUG00000001709	Mustela_putorius_furo
ENSNVIP00000001358	ENSNVIG00000001071	Neovison_vison
ENSUAMP00000001171	ENSUAMG00000001140	Ursus_americanus
ENSUMAP00000021892	ENSUMAG00000016009	Ursus_maritimus
ENSAMEP00000017212	ENSAMEG00000016302	Ailuropoda_melanoleuca
ENSPPRP00000028517	ENSPPRG00000020685	Panthera_pardus
ENSPTIP00000010541	ENSPTIG00000011254	Panthera_tigris_altaica
ENSFCAP00000039764	ENSFCAG00000030356	Felis_catus
ENSOARP00000007966	ENSOARG00000007427	Ovis_aries
ENSCHIP00000027639	ENSCHIG00000023487	Capra_hircus
ENSBIXP00000027847	ENSBIXG00000008819	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040576	ENSBIXG00005003975	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000025365	ENSBTAG00000019054	Bos_taurus
ENSBMUP00000033414	ENSBMUG00000024957	Bos_mutus
ENSBBBP00000015917	ENSBBBG00000023757	Bison_bison_bison
ENSTTRP00000014752	ENSTTRG00000015561	Tursiops_truncatus
ENSSSCP00000034513	ENSSSCG00000037572	Sus_scrofa_strain_reference
ENSVPAP00000001336	ENSVPAG00000001443	Vicugna_pacos
ENSECAP00000007572	ENSECAG00000009543	Equus_caballus
ENSEASP00005025008	ENSEASG00005017003	Equus_asinus_asinus
ENSCCNP00000027936	ENSCCNG00000026973	Castor_canadensis
ENSDORP00000004670	ENSDORG00000004992	Dipodomys_ordii
ENSCGRP00001006842	ENSCGRG00001009306	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000002500	ENSCGRG00000001827	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015003300	ENSCGRG00015002622	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021176	ENSMAUG00000018985	Mesocricetus_auratus
ENSPEMP00000012449	ENSPEMG00000012785	Peromyscus_maniculatus_bairdii
ENSMOCP00000002023	ENSMOCG00000001583	Microtus_ochrogaster
ENSMUSP00000022591	ENSMUSG00000022014	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0039198	MGP_SPRETEiJ_G0020426	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000004059	ENSMSIG00000003651	Mus_spicilegus
MGP_CAROLIEiJ_P0037459	MGP_CAROLIEiJ_G0019530	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085544	MGP_PahariEiJ_G0030548	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012632	ENSRNOG00000009471	Rattus_norvegicus
ENSMUGP00000029835	ENSMUGG00000024774	Meriones_unguiculatus
ENSMUGP00000029861	ENSMUGG00000024802	Meriones_unguiculatus
ENSNGAP00000020653	ENSNGAG00000020070	Nannospalax_galili
ENSHGLP00000012499	ENSHGLG00000008932	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012508	ENSHGLG00100009263	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020271	ENSFDAG00000008562	Fukomys_damarensis
ENSCLAP00000000395	ENSCLAG00000000332	Chinchilla_lanigera
ENSCPOP00000031841	ENSCPOG00000040476	Cavia_porcellus
ENSMMMP00000026824	ENSMMMG00000023471	Marmota_marmota_marmota
ENSOCUP00000033686	ENSOCUG00000000716	Oryctolagus_cuniculus
ENSOPRP00000007605	ENSOPRG00000008305	Ochotona_princeps
ENSTBEP00000007321	ENSTBEG00000008445	Tupaia_belangeri
ENSTGEP00000001804	ENSTGEG00000001631	Theropithecus_gelada
ENSPANP00000023467	ENSPANG00000012981	Papio_anubis
ENSCATP00000004531	ENSCATG00000015725	Cercocebus_atys
ENSMLEP00000037500	ENSMLEG00000042839	Mandrillus_leucophaeus
ENSMMUP00000019586	ENSMMUG00000014926	Macaca_mulatta
ENSMFAP00000000133	ENSMFAG00000040540	Macaca_fascicularis
ENSMNEP00000006309	ENSMNEG00000027227	Macaca_nemestrina
ENSCSAP00000013815	ENSCSAG00000017797	Chlorocebus_sabaeus
ENSRBIP00000011329	ENSRBIG00000029529	Rhinopithecus_bieti
ENSRROP00000029626	ENSRROG00000038606	Rhinopithecus_roxellana
ENSCANP00000005422	ENSCANG00000018524	Colobus_angolensis_palliatus
ENSP00000318982	ENSG00000133106	Homo_sapiens
ENSGGOP00000000793	ENSGGOG00000000804	Gorilla_gorilla
ENSPTRP00000070953	ENSPTRG00000045006	Pan_troglodytes
ENSPPAP00000004999	ENSPPAG00000020892	Pan_paniscus
ENSPPYP00000006062	ENSPPYG00000005322	Pongo_abelii
ENSNLEP00000032425	ENSNLEG00000001705	Nomascus_leucogenys
ENSCCAP00000021278	ENSCCAG00000028457	Cebus_capucinus_imitator
ENSCJAP00000032433	ENSCJAG00000017594	Callithrix_jacchus
ENSSBOP00000037480	ENSSBOG00000034834	Saimiri_boliviensis_boliviensis
ENSANAP00000000073	ENSANAG00000000461	Aotus_nancymaae
ENSTSYP00000011160	ENSTSYG00000012160	Carlito_syrichta
ENSPSMP00000003394	ENSPSMG00000002788	Prolemur_simus
ENSMICP00000006993	ENSMICG00000007681	Microcebus_murinus
ENSPCOP00000004320	ENSPCOG00000012615	Propithecus_coquereli
ENSOGAP00000013094	ENSOGAG00000014614	Otolemur_garnettii
ENSCHOP00000012261	ENSCHOG00000013839	Choloepus_hoffmanni
ENSDNOP00000004740	ENSDNOG00000006106	Dasypus_novemcinctus
ENSPCAP00000014065	ENSPCAG00000015015	Procavia_capensis
ENSETEP00000013469	ENSETEG00000016601	Echinops_telfairi
ENSLAFP00000014125	ENSLAFG00000016838	Loxodonta_africana
ENSVURP00010012231	ENSVURG00010009463	Vombatus_ursinus
ENSPCIP00000034196	ENSPCIG00000025310	Phascolarctos_cinereus
ENSMEUP00000004419	ENSMEUG00000004826	Notamacropus_eugenii
ENSSHAP00000012677	ENSSHAG00000010849	Sarcophilus_harrisii
ENSMODP00000041979	ENSMODG00000025483	Monodelphis_domestica
ENSXETP00000000383	ENSXETG00000000176	Xenopus_tropicalis
ENSLACP00000004060	ENSLACG00000003615	Latimeria_chalumnae
ENSPFOP00000003718	ENSPFOG00000003873	Poecilia_formosa
ENSPREP00000016042	ENSPREG00000010830	Poecilia_reticulata
ENSPMEP00000023997	ENSPMEG00000000106	Poecilia_mexicana
ENSAMXP00000004280	ENSAMXG00000004186	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005042135	ENSAMXG00005019696	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001969	ENSPNAG00000001036	Pygocentrus_nattereri
ENSDARP00000098584	ENSDARG00000074696	Danio_rerio
ENSDCDP00000063090	ENSDCDG00000035622	Denticeps_clupeoides
ENSSMAP00000013440	ENSSMAG00000008261	Scophthalmus_maximus
ENSFHEP00000021310	ENSFHEG00000000937	Fundulus_heteroclitus
ENSPNAP00000030531	ENSPNAG00000017331	Pygocentrus_nattereri
ENSAMXP00000038517	ENSAMXG00000033767	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000033156	ENSIPUG00000022283	Ictalurus_punctatus
ENSEEEP00000011451	ENSEEEG00000005785	Electrophorus_electricus
ENSDARP00000115913	ENSDARG00000094578	Danio_rerio
ENSDCDP00000022762	ENSDCDG00000017376	Denticeps_clupeoides
ENSHHUP00000022567	ENSHHUG00000014137	Hucho_hucho
ENSELUP00000030695	ENSELUG00000008007	Esox_lucius
ENSPFOP00000027679	ENSPFOG00000023478	Poecilia_formosa
ENSPMEP00000027316	ENSPMEG00000011610	Poecilia_mexicana
ENSXMAP00000041282	ENSXMAG00000029717	Xiphophorus_maculatus
ENSCVAP00000020807	ENSCVAG00000000073	Cyprinodon_variegatus
ENSAPOP00000033864	ENSAPOG00000022707	Acanthochromis_polyacanthus
ENSLBEP00000024900	ENSLBEG00000019027	Labrus_bergylta
ENSGACP00000012121	ENSGACG00000009181	Gasterosteus_aculeatus
ENSMZEP00005028016	ENSMZEG00005020903	Maylandia_zebra
