ENSPTRP00000001907	ENSPTRG00000001105	Pan_troglodytes
ENSPPAP00000017208	ENSPPAG00000031680	Pan_paniscus
ENSGGOP00000015199	ENSGGOG00000015576	Gorilla_gorilla
ENSP00000358716	ENSG00000064703	Homo_sapiens
ENSPPYP00000001195	ENSPPYG00000001026	Pongo_abelii
ENSNLEP00000038081	ENSNLEG00000004040	Nomascus_leucogenys
ENSMFAP00000017229	ENSMFAG00000031755	Macaca_fascicularis
ENSMNEP00000001273	ENSMNEG00000005757	Macaca_nemestrina
ENSMMUP00000065490	ENSMMUG00000014489	Macaca_mulatta
ENSCATP00000031850	ENSCATG00000039030	Cercocebus_atys
ENSMLEP00000001461	ENSMLEG00000005722	Mandrillus_leucophaeus
ENSPANP00000007976	ENSPANG00000017985	Papio_anubis
ENSTGEP00000004519	ENSTGEG00000003792	Theropithecus_gelada
ENSCSAP00000016444	ENSCSAG00000001582	Chlorocebus_sabaeus
ENSPTEP00000029545	ENSPTEG00000028932	Piliocolobus_tephrosceles
ENSCANP00000036406	ENSCANG00000041894	Colobus_angolensis_palliatus
ENSRBIP00000013239	ENSRBIG00000030629	Rhinopithecus_bieti
ENSRROP00000012612	ENSRROG00000030608	Rhinopithecus_roxellana
ENSSBOP00000016167	ENSSBOG00000024789	Saimiri_boliviensis_boliviensis
ENSCJAP00000024707	ENSCJAG00000013428	Callithrix_jacchus
ENSCCAP00000017856	ENSCCAG00000026759	Cebus_capucinus_imitator
ENSANAP00000041122	ENSANAG00000037881	Aotus_nancymaae
ENSTSYP00000000140	ENSTSYG00000000153	Carlito_syrichta
ENSPCOP00000025824	ENSPCOG00000025185	Propithecus_coquereli
ENSMICP00000010478	ENSMICG00000011509	Microcebus_murinus
ENSPSMP00000014596	ENSPSMG00000010456	Prolemur_simus
ENSOGAP00000009401	ENSOGAG00000010503	Otolemur_garnettii
ENSTBEP00000001724	ENSTBEG00000001986	Tupaia_belangeri
ENSCAPP00000017863	ENSCAPG00000017427	Cavia_aperea
ENSCPOP00000026652	ENSCPOG00000032340	Cavia_porcellus
ENSCLAP00000012853	ENSCLAG00000008874	Chinchilla_lanigera
ENSHGLP00000020761	ENSHGLG00000014848	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100004931	ENSHGLG00100003740	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014113	ENSFDAG00000001140	Fukomys_damarensis
ENSODEP00000010241	ENSODEG00000007653	Octodon_degus
ENSUPAP00010027958	ENSUPAG00010022080	Urocitellus_parryii
ENSSTOP00000021010	ENSSTOG00000029089	Ictidomys_tridecemlineatus
ENSMMMP00000013489	ENSMMMG00000012030	Marmota_marmota_marmota
ENSMSIP00000006614	ENSMSIG00000005900	Mus_spicilegus
MGP_SPRETEiJ_P0062123	MGP_SPRETEiJ_G0026423	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000088176	ENSMUSG00000027905	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0059739	MGP_CAROLIEiJ_G0025474	Mus_caroli_strain_CAROLI_EIJ
