ENSPMAP00000009155	ENSPMAG00000008283	Petromyzon_marinus	ENSPMAT00000009195
ENSPMAP00000005313	ENSPMAG00000004776	Petromyzon_marinus	ENSPMAT00000005333
ENSEBUP00000027460	ENSEBUG00000016825	Eptatretus_burgeri	ENSEBUT00000028036
ENSMICP00000010816	ENSMICG00000011865	Microcebus_murinus
ENSPCOP00000025460	ENSPCOG00000024929	Propithecus_coquereli
ENSPSMP00000019497	ENSPSMG00000013164	Prolemur_simus
ENSOGAP00000004145	ENSOGAG00000004641	Otolemur_garnettii
ENSRROP00000044525	ENSRROG00000045153	Rhinopithecus_roxellana
ENSRBIP00000002655	ENSRBIG00000012936	Rhinopithecus_bieti
ENSCANP00000011145	ENSCANG00000028725	Colobus_angolensis_palliatus
ENSPTEP00000012928	ENSPTEG00000014398	Piliocolobus_tephrosceles
ENSMFAP00000004443	ENSMFAG00000001561	Macaca_fascicularis
ENSMNEP00000024663	ENSMNEG00000035847	Macaca_nemestrina
ENSMMUP00000052047	ENSMMUG00000018931	Macaca_mulatta
ENSCATP00000024005	ENSCATG00000035374	Cercocebus_atys
ENSMLEP00000040648	ENSMLEG00000044346	Mandrillus_leucophaeus
ENSTGEP00000011094	ENSTGEG00000009032	Theropithecus_gelada
ENSPANP00000020683	ENSPANG00000021526	Papio_anubis
ENSP00000466259	ENSG00000131473	Homo_sapiens
ENSGGOP00000020058	ENSGGOG00000003570	Gorilla_gorilla
ENSPPAP00000007912	ENSPPAG00000027072	Pan_paniscus
ENSPTRP00000044752	ENSPTRG00000023148	Pan_troglodytes
ENSCSAP00000014994	ENSCSAG00000003049	Chlorocebus_sabaeus
ENSRBIP00000012793	ENSRBIG00000030376	Rhinopithecus_bieti
ENSPPYP00000023609	ENSPPYG00000029534	Pongo_abelii
ENSNLEP00000013591	ENSNLEG00000011182	Nomascus_leucogenys
ENSSBOP00000017814	ENSSBOG00000025485	Saimiri_boliviensis_boliviensis
ENSCCAP00000032119	ENSCCAG00000033582	Cebus_capucinus_imitator
ENSCJAP00000027756	ENSCJAG00000014988	Callithrix_jacchus
ENSANAP00000037548	ENSANAG00000036009	Aotus_nancymaae
ENSCCNP00000025995	ENSCCNG00000025285	Castor_canadensis	ENSCCNT00000033006
ENSDORP00000020756	ENSDORG00000001906	Dipodomys_ordii	ENSDORT00000030945
MGP_SPRETEiJ_P0031286	MGP_SPRETEiJ_G0018018	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0031286
ENSMSIP00000000589	ENSMSIG00000000565	Mus_spicilegus
ENSMUSP00000103012	ENSMUSG00000020917	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0029867	MGP_CAROLIEiJ_G0017175	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0036594	MGP_PahariEiJ_G0018305	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023447	ENSRNOG00000016924	Rattus_norvegicus
ENSMUGP00000027400	ENSMUGG00000021729	Meriones_unguiculatus
ENSMOCP00000019954	ENSMOCG00000017771	Microtus_ochrogaster
ENSPEMP00000004467	ENSPEMG00000006656	Peromyscus_maniculatus_bairdii
ENSCGRP00001021496	ENSCGRG00001020299	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000009220	ENSCGRG00000006747	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015004120	ENSCGRG00015002431	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000000954	ENSCGRG00000000751	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001005239	ENSCGRG00001006846	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000000591	ENSMAUG00000000465	Mesocricetus_auratus
ENSNGAP00000006175	ENSNGAG00000009022	Nannospalax_galili
ENSJJAP00000023830	ENSJJAG00000023463	Jaculus_jaculus
ENSUPAP00010011497	ENSUPAG00010009305	Urocitellus_parryii
ENSSTOP00000005420	ENSSTOG00000006029	Ictidomys_tridecemlineatus
ENSSDAP00000009528	ENSSDAG00000008300	Spermophilus_dauricus
ENSMMMP00000007178	ENSMMMG00000006262	Marmota_marmota_marmota
ENSTBEP00000009634	ENSTBEG00000011117	Tupaia_belangeri
ENSCHOP00000010533	ENSCHOG00000011902	Choloepus_hoffmanni
ENSDNOP00000003736	ENSDNOG00000004829	Dasypus_novemcinctus
ENSLAFP00000005849	ENSLAFG00000006961	Loxodonta_africana
ENSPCAP00000014467	ENSPCAG00000015389	Procavia_capensis
ENSPVAP00000003636	ENSPVAG00000003840	Pteropus_vampyrus
ENSMLUP00000010854	ENSMLUG00000011901	Myotis_lucifugus
ENSECAP00000028665	ENSECAG00000009702	Equus_caballus
ENSEASP00005011698	ENSEASG00005006843	Equus_asinus_asinus
