ENSOANP00000004801	ENSOANG00000003029	Ornithorhynchus_anatinus	ENSOANT00000004802
ENSOANP00000018107	ENSOANG00000011429	Ornithorhynchus_anatinus	ENSOANT00000018110
MGP_SPRETEiJ_P0037626	MGP_SPRETEiJ_G0019925	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0037626
ENSMUSP00000153023	ENSMUSG00000046753	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000223689
ENSMSIP00000033463	ENSMSIG00000027991	Mus_spicilegus	ENSMSIT00000042170
MGP_CAROLIEiJ_P0035927	MGP_CAROLIEiJ_G0019040	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0084033	MGP_PahariEiJ_G0030057	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000036334	ENSRNOG00000028380	Rattus_norvegicus
ENSMUGP00000031852	ENSMUGG00000026472	Meriones_unguiculatus
ENSCGRP00015037705	ENSCGRG00015028245	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011706	ENSCGRG00001013272	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000022357	ENSCGRG00000016201	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000007965	ENSMAUG00000009487	Mesocricetus_auratus
ENSPEMP00000000588	ENSPEMG00000000420	Peromyscus_maniculatus_bairdii
ENSMOCP00000025146	ENSMOCG00000021352	Microtus_ochrogaster
ENSNGAP00000009243	ENSNGAG00000011968	Nannospalax_galili
ENSJJAP00000011590	ENSJJAG00000014869	Jaculus_jaculus
ENSCCNP00000015525	ENSCCNG00000015870	Castor_canadensis
ENSCLAP00000013148	ENSCLAG00000009077	Chinchilla_lanigera
ENSODEP00000014160	ENSODEG00000010465	Octodon_degus
ENSHGLP00000002977	ENSHGLG00000002221	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001130	ENSHGLG00100000901	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012385	ENSFDAG00000019738	Fukomys_damarensis
ENSCPOP00000008526	ENSCPOG00000009499	Cavia_porcellus
ENSSTOP00000004294	ENSSTOG00000004768	Ictidomys_tridecemlineatus
ENSUPAP00010017234	ENSUPAG00010013647	Urocitellus_parryii
ENSSDAP00000024537	ENSSDAG00000022330	Spermophilus_dauricus
ENSMMMP00000011707	ENSMMMG00000010476	Marmota_marmota_marmota
ENSOCUP00000011408	ENSOCUG00000013244	Oryctolagus_cuniculus
ENSOPRP00000004654	ENSOPRG00000005045	Ochotona_princeps
ENSPTRP00000025975	ENSPTRG00000015037	Pan_troglodytes
ENSPPAP00000002028	ENSPPAG00000008779	Pan_paniscus
ENSP00000378167	ENSG00000180376	Homo_sapiens
ENSGGOP00000037489	ENSGGOG00000042867	Gorilla_gorilla
ENSPPYP00000015416	ENSPPYG00000013779	Pongo_abelii
ENSNLEP00000008832	ENSNLEG00000007240	Nomascus_leucogenys
ENSPTEP00000018425	ENSPTEG00000019859	Piliocolobus_tephrosceles
ENSCANP00000033768	ENSCANG00000040541	Colobus_angolensis_palliatus
ENSRROP00000035556	ENSRROG00000041251	Rhinopithecus_roxellana
ENSRBIP00000007766	ENSRBIG00000027786	Rhinopithecus_bieti
ENSMFAP00000028151	ENSMFAG00000045400	Macaca_fascicularis
ENSMMUP00000069032	ENSMMUG00000002818	Macaca_mulatta
ENSMNEP00000032090	ENSMNEG00000039408	Macaca_nemestrina
ENSCSAP00000009023	ENSCSAG00000012850	Chlorocebus_sabaeus
ENSPANP00000012040	ENSPANG00000016870	Papio_anubis
ENSTGEP00000036135	ENSTGEG00000028749	Theropithecus_gelada
ENSCATP00000029692	ENSCATG00000038071	Cercocebus_atys
ENSMLEP00000001724	ENSMLEG00000006578	Mandrillus_leucophaeus
ENSCCAP00000012322	ENSCCAG00000023922	Cebus_capucinus_imitator
ENSSBOP00000012113	ENSSBOG00000022871	Saimiri_boliviensis_boliviensis
ENSCJAP00000019975	ENSCJAG00000010819	Callithrix_jacchus
ENSANAP00000028599	ENSANAG00000032111	Aotus_nancymaae
ENSSBOP00000025716	ENSSBOG00000029322	Saimiri_boliviensis_boliviensis
ENSTSYP00000013112	ENSTSYG00000014275	Carlito_syrichta
ENSPSMP00000033624	ENSPSMG00000023177	Prolemur_simus
ENSPCOP00000017158	ENSPCOG00000020377	Propithecus_coquereli
