ENSGALP00000007507	ENSGALG00000004722	Gallus_gallus	ENSGALT00000007519
ENSCJPP00005014700	ENSCJPG00005012245	Coturnix_japonica
ENSMGAP00000004248	ENSMGAG00000004429	Meleagris_gallopavo
ENSNMEP00000015114	ENSNMEG00000013421	Numida_meleagris
ENSABRP00000000144	ENSABRG00000000167	Anser_brachyrhynchus
ENSAPLP00000004755	ENSAPLG00000005186	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000025472	ENSLSDG00000017802	Lonchura_striata_domestica
ENSTGUP00000005534	ENSTGUG00000005362	Taeniopygia_guttata
ENSSCAP00000017511	ENSSCAG00000012710	Serinus_canaria
ENSPMJP00000005925	ENSPMJG00000005091	Parus_major
ENSCCEP00000028088	ENSCCEG00000024353	Cyanistes_caeruleus
ENSFALP00000009449	ENSFALG00000009060	Ficedula_albicollis
ENSZALP00000022973	ENSZALG00000017799	Zonotrichia_albicollis
ENSJHYP00000007671	ENSJHYG00000006110	Junco_hyemalis
ENSLCOP00000001065	ENSLCOG00000000885	Lepidothrix_coronata
ENSMVIP00005021339	ENSMVIG00005015013	Manacus_vitellinus
ENSMUNP00000000649	ENSMUNG00000000614	Melopsittacus_undulatus
ENSCPGP00000010546	ENSCPGG00000007511	Calidris_pygmaea
ENSCPGP00000025691	ENSCPGG00000017729	Calidris_pygmaea
ENSCPUP00000018586	ENSCPUG00000012774	Calidris_pugnax
ENSAOWP00000025652	ENSAOWG00000017329	Apteryx_owenii
ENSAHAP00000010279	ENSAHAG00000007455	Apteryx_haastii
ENSARWP00000002376	ENSARWG00000001809	Apteryx_rowi
ENSDNVP00000008814	ENSDNVG00000006263	Dromaius_novaehollandiae
ENSNPEP00000005624	ENSNPEG00000004251	Nothoprocta_perdicaria
ENSCPRP00005027713	ENSCPRG00005019194	Crocodylus_porosus
ENSCABP00000013984	ENSCABG00000010399	Chelonoidis_abingdonii
ENSGAGP00000013521	ENSGAGG00000010331	Gopherus_agassizii
ENSCPBP00000025997	ENSCPBG00000018465	Chrysemys_picta_bellii
ENSPSIP00000016202	ENSPSIG00000014381	Pelodiscus_sinensis
ENSACAP00000008953	ENSACAG00000009126	Anolis_carolinensis
ENSPVIP00000018506	ENSPVIG00000014143	Pogona_vitticeps
ENSNSUP00000026077	ENSNSUG00000018721	Notechis_scutatus
ENSSMRP00000019056	ENSSMRG00000014848	Salvator_merianae
ENSSPUP00000003675	ENSSPUG00000002808	Sphenodon_punctatus
ENSCCNP00000008947	ENSCCNG00000009450	Castor_canadensis
ENSDORP00000002116	ENSDORG00000002256	Dipodomys_ordii
ENSMSIP00000034060	ENSMSIG00000028447	Mus_spicilegus
ENSMUSP00000136728	ENSMUSG00000021388	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0035934	MGP_SPRETEiJ_G0019386	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0034308	MGP_CAROLIEiJ_G0018506	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040916	MGP_PahariEiJ_G0019572	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000076216	ENSRNOG00000050431	Rattus_norvegicus
ENSRNOP00000020704	ENSRNOG00000015410	Rattus_norvegicus
ENSMUGP00000029753	ENSMUGG00000024702	Meriones_unguiculatus
ENSCGRP00000011779	ENSCGRG00000008571	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015000877	ENSCGRG00015000798	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001018914	ENSCGRG00001018512	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000021414	ENSMAUG00000019149	Mesocricetus_auratus
ENSPEMP00000006355	ENSPEMG00000008598	Peromyscus_maniculatus_bairdii
ENSMOCP00000005652	ENSMOCG00000005160	Microtus_ochrogaster
ENSNGAP00000019745	ENSNGAG00000019463	Nannospalax_galili
ENSJJAP00000009917	ENSJJAG00000013659	Jaculus_jaculus
ENSUPAP00010009203	ENSUPAG00010007443	Urocitellus_parryii
ENSMMMP00000006913	ENSMMMG00000006184	Marmota_marmota_marmota
ENSSDAP00000020901	ENSSDAG00000019012	Spermophilus_dauricus
ENSSTOP00000019783	ENSSTOG00000027094	Ictidomys_tridecemlineatus
ENSHGLP00100002941	ENSHGLG00100002265	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014929	ENSHGLG00000010675	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021085	ENSFDAG00000007967	Fukomys_damarensis
ENSCAPP00000007134	ENSCAPG00000009130	Cavia_aperea
ENSCPOP00000000737	ENSCPOG00000000823	Cavia_porcellus
ENSODEP00000014790	ENSODEG00000010931	Octodon_degus
ENSCLAP00000001223	ENSCLAG00000000930	Chinchilla_lanigera
ENSOCUP00000024373	ENSOCUG00000028053	Oryctolagus_cuniculus
ENSOPRP00000014217	ENSOPRG00000015569	Ochotona_princeps
ENSPPAP00000023417	ENSPPAG00000034885	Pan_paniscus
ENSPTRP00000036080	ENSPTRG00000021113	Pan_troglodytes
ENSP00000364694	ENSG00000106819	Homo_sapiens
ENSGGOP00000028264	ENSGGOG00000001968	Gorilla_gorilla
ENSPPYP00000021717	ENSPPYG00000019379	Pongo_abelii
ENSNLEP00000019952	ENSNLEG00000016436	Nomascus_leucogenys
ENSMNEP00000021819	ENSMNEG00000034619	Macaca_nemestrina
ENSMFAP00000020256	ENSMFAG00000033118	Macaca_fascicularis
ENSMMUP00000006169	ENSMMUG00000004638	Macaca_mulatta
ENSCSAP00000003487	ENSCSAG00000007219	Chlorocebus_sabaeus
ENSTGEP00000003039	ENSTGEG00000002626	Theropithecus_gelada
ENSPANP00000019413	ENSPANG00000024729	Papio_anubis
ENSCATP00000011505	ENSCATG00000029980	Cercocebus_atys
ENSMLEP00000014410	ENSMLEG00000031359	Mandrillus_leucophaeus
ENSRROP00000005756	ENSRROG00000023515	Rhinopithecus_roxellana
ENSRBIP00000006107	ENSRBIG00000025976	Rhinopithecus_bieti
ENSCANP00000000521	ENSCANG00000001746	Colobus_angolensis_palliatus
ENSPTEP00000041519	ENSPTEG00000038022	Piliocolobus_tephrosceles
ENSCCAP00000016066	ENSCCAG00000025820	Cebus_capucinus_imitator
ENSCJAP00000038093	ENSCJAG00000020495	Callithrix_jacchus
ENSSBOP00000009329	ENSSBOG00000021535	Saimiri_boliviensis_boliviensis
ENSANAP00000003244	ENSANAG00000019527	Aotus_nancymaae
ENSTSYP00000025197	ENSTSYG00000003529	Carlito_syrichta
ENSPSMP00000013492	ENSPSMG00000009683	Prolemur_simus
ENSPCOP00000006497	ENSPCOG00000014424	Propithecus_coquereli
ENSMICP00000044990	ENSMICG00000003189	Microcebus_murinus
ENSMICP00000019058	ENSMICG00000028473	Microcebus_murinus
ENSOGAP00000013451	ENSOGAG00000015027	Otolemur_garnettii
ENSTBEP00000012540	ENSTBEG00000014471	Tupaia_belangeri
ENSPVAP00000009974	ENSPVAG00000010586	Pteropus_vampyrus
ENSMLUP00000013877	ENSMLUG00000015234	Myotis_lucifugus
ENSTTRP00000007821	ENSTTRG00000008258	Tursiops_truncatus
ENSSSCP00000008621	ENSSSCG00000008072	Sus_scrofa_strain_reference
ENSOARP00000008846	ENSOARG00000008249	Ovis_aries
ENSCHIP00000014681	ENSCHIG00000015608	Capra_hircus
ENSBIXP00005035369	ENSBIXG00005016510	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000039964	ENSBIXG00000023987	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000034926	ENSBTAG00000011847	Bos_taurus
ENSBMUP00000011878	ENSBMUG00000009122	Bos_mutus
ENSBBBP00000018626	ENSBBBG00000011634	Bison_bison_bison
ENSVPAP00000003622	ENSVPAG00000003898	Vicugna_pacos
ENSUMAP00000021248	ENSUMAG00000015532	Ursus_maritimus
ENSUAMP00000017472	ENSUAMG00000013866	Ursus_americanus
ENSAMEP00000014249	ENSAMEG00000013522	Ailuropoda_melanoleuca
ENSNVIP00000021379	ENSNVIG00000016723	Neovison_vison
ENSMPUP00000004688	ENSMPUG00000004725	Mustela_putorius_furo
ENSCAFP00000033127	ENSCAFG00000002307	Canis_lupus_familiaris
ENSCAFP00020011757	ENSCAFG00020009461	Canis_lupus_dingo
ENSVVUP00000006993	ENSVVUG00000005323	Vulpes_vulpes
ENSPTIP00000016466	ENSPTIG00000015237	Panthera_tigris_altaica
ENSPPRP00000016063	ENSPPRG00000008481	Panthera_pardus
ENSFCAP00000018775	ENSFCAG00000029465	Felis_catus
ENSECAP00000005362	ENSECAG00000007047	Equus_caballus
ENSEASP00005019840	ENSEASG00005013675	Equus_asinus_asinus
ENSEEUP00000005017	ENSEEUG00000005524	Erinaceus_europaeus
ENSSARP00000001692	ENSSARG00000001880	Sorex_araneus
ENSLAFP00000003684	ENSLAFG00000004414	Loxodonta_africana
ENSPCAP00000004418	ENSPCAG00000004734	Procavia_capensis
ENSETEP00000012081	ENSETEG00000014906	Echinops_telfairi
ENSDNOP00000020210	ENSDNOG00000044484	Dasypus_novemcinctus
ENSCHOP00000005660	ENSCHOG00000006401	Choloepus_hoffmanni
ENSPCIP00000013230	ENSPCIG00000010436	Phascolarctos_cinereus
ENSVURP00010023599	ENSVURG00010018088	Vombatus_ursinus
ENSMEUP00000009356	ENSMEUG00000010264	Notamacropus_eugenii
ENSMODP00000060057	ENSMODG00000016214	Monodelphis_domestica
ENSSHAP00000000571	ENSSHAG00000000510	Sarcophilus_harrisii
ENSOANP00000011167	ENSOANG00000007011	Ornithorhynchus_anatinus
ENSXETP00000022553	ENSXETG00000005681	Xenopus_tropicalis
ENSLACP00000021472	ENSLACG00000018869	Latimeria_chalumnae
ENSEEEP00000016327	ENSEEEG00000008075	Electrophorus_electricus
ENSIPUP00000016304	ENSIPUG00000011058	Ictalurus_punctatus
ENSAMXP00005020052	ENSAMXG00005010403	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
