ENSMVIP00005002565	ENSMVIG00005002012	Manacus_vitellinus
ENSLCOP00000019884	ENSLCOG00000013969	Lepidothrix_coronata
ENSTGUP00000004662	ENSTGUG00000004496	Taeniopygia_guttata
ENSLSDP00000005429	ENSLSDG00000004244	Lonchura_striata_domestica
ENSSCAP00000000471	ENSSCAG00000000401	Serinus_canaria
ENSCCEP00000018979	ENSCCEG00000017277	Cyanistes_caeruleus
ENSPMJP00000013133	ENSPMJG00000010036	Parus_major
ENSFALP00000010363	ENSFALG00000009936	Ficedula_albicollis
ENSZALP00000008067	ENSZALG00000007073	Zonotrichia_albicollis
ENSJHYP00000019368	ENSJHYG00000014716	Junco_hyemalis
ENSCPGP00000006599	ENSCPGG00000004719	Calidris_pygmaea
ENSCPUP00000013373	ENSCPUG00000009482	Calidris_pugnax
ENSMUNP00000022456	ENSMUNG00000016875	Melopsittacus_undulatus
ENSABRP00000014712	ENSABRG00000012966	Anser_brachyrhynchus
ENSAPLP00000015120	ENSAPLG00000015230	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000008795	ENSMGAG00000008535	Meleagris_gallopavo
ENSGALP00000055236	ENSGALG00000008953	Gallus_gallus
ENSCJPP00005011263	ENSCJPG00005009700	Coturnix_japonica
ENSNMEP00000009897	ENSNMEG00000009468	Numida_meleagris
ENSARWP00000027479	ENSARWG00000018566	Apteryx_rowi	ENSARWT00000031078
ENSAHAP00000023763	ENSAHAG00000016432	Apteryx_haastii	ENSAHAT00000026183
ENSAOWP00000002367	ENSAOWG00000001673	Apteryx_owenii	ENSAOWT00000002716
ENSDNVP00000000200	ENSDNVG00000000126	Dromaius_novaehollandiae	ENSDNVT00000000236
ENSNPEP00000006156	ENSNPEG00000004606	Nothoprocta_perdicaria
ENSCPRP00005015330	ENSCPRG00005010757	Crocodylus_porosus
ENSGAGP00000025734	ENSGAGG00000018782	Gopherus_agassizii
ENSCABP00000021037	ENSCABG00000015506	Chelonoidis_abingdonii
ENSCPBP00000011008	ENSCPBG00000008417	Chrysemys_picta_bellii
ENSPSIP00000009288	ENSPSIG00000008076	Pelodiscus_sinensis
ENSACAP00000006640	ENSACAG00000006703	Anolis_carolinensis
