ENSXCOP00000027119	ENSXCOG00000020244	Xiphophorus_couchianus
ENSSFOP00015031080	ENSSFOG00015019924	Scleropages_formosus
ENSPKIP00000002980	ENSPKIG00000020661	Paramormyrops_kingsleyae
ENSCPGP00000002960	ENSCPGG00000002194	Calidris_pygmaea
ENSPRNP00000030202	ENSPRNG00000015061	Parambassis_ranga
ENSXETP00000016707	ENSXETG00000002998	Xenopus_tropicalis	ENSXETT00000006251
ENSLOCP00000017668	ENSLOCG00000014347	Lepisosteus_oculatus
ENSAOCP00000002974	ENSAOCG00000006210	Amphiprion_ocellaris
ENSCHAP00000001524	ENSCHAG00000001101	Clupea_harengus
ENSGMOP00000014016	ENSGMOG00000013096	Gadus_morhua
ENSAMXP00000007634	ENSAMXG00000007430	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPKIP00000004047	ENSPKIG00000021308	Paramormyrops_kingsleyae
ENSPNYP00000013938	ENSPNYG00000010530	Pundamilia_nyererei
ENSNBRP00000026340	ENSNBRG00000020110	Neolamprologus_brichardi
ENSCMIP00000005771	ENSCMIG00000003329	Callorhinchus_milii
ENSGAFP00000001874	ENSGAFG00000001313	Gambusia_affinis
ENSHBUP00000030951	ENSHBUG00000016335	Haplochromis_burtoni
ENSSDUP00000015721	ENSSDUG00000011478	Seriola_dumerili	ENSSDUT00000016009
ENSHCOP00000009550	ENSHCOG00000012026	Hippocampus_comes
ENSELUP00000020185	ENSELUG00000019483	Esox_lucius
ENSHHUP00000000745	ENSHHUG00000000430	Hucho_hucho
ENSCVAP00000012121	ENSCVAG00000014510	Cyprinodon_variegatus
ENSDARP00000093820	ENSDARG00000074163	Danio_rerio
ENSAPOP00000006698	ENSAPOG00000008539	Acanthochromis_polyacanthus
ENSGACP00000014298	ENSGACG00000010798	Gasterosteus_aculeatus
ENSAPLP00000006187	ENSAPLG00000006592	Anas_platyrhynchos_platyrhynchos
ENSHHUP00000047979	ENSHHUG00000029128	Hucho_hucho
ENSMZEP00005029839	ENSMZEG00005022256	Maylandia_zebra
ENSATEP00000008670	ENSATEG00000006102	Anabas_testudineus	ENSATET00000008822
ENSOMEP00000004521	ENSOMEG00000005503	Oryzias_melastigma
ENSGWIP00000008967	ENSGWIG00000005344	Gouania_willdenowi
ENSORLP00000010372	ENSORLG00000008266	Oryzias_latipes_ASM223467v1
ENSDCDP00000011389	ENSDCDG00000005650	Denticeps_clupeoides
ENSORLP00020023521	ENSORLG00020004403	Oryzias_latipes_ASM223471v1
ENSPMEP00000012532	ENSPMEG00000014713	Poecilia_mexicana
ENSSFOP00015037356	ENSSFOG00015023774	Scleropages_formosus
ENSEEEP00000036162	ENSEEEG00000017196	Electrophorus_electricus
ENSONIP00000019085	ENSONIG00000015165	Oreochromis_niloticus
ENSCSEP00000021485	ENSCSEG00000013699	Cynoglossus_semilaevis
ENSCHAP00000050200	ENSCHAG00000023068	Clupea_harengus
ENSNMEP00000010502	ENSNMEG00000009933	Numida_meleagris
ENSPLAP00000029994	ENSPLAG00000020643	Poecilia_latipinna
ENSNPEP00000013275	ENSNPEG00000009922	Nothoprocta_perdicaria
ENSPFOP00000006377	ENSPFOG00000006354	Poecilia_formosa
ENSXMAP00000031203	ENSXMAG00000002846	Xiphophorus_maculatus
ENSAPEP00000024667	ENSAPEG00000017489	Amphiprion_percula
ENSLCAP00010012305	ENSLCAG00010005831	Lates_calcarifer
ENSCGOP00000023960	ENSCGOG00000011419	Cottoperca_gobio
ENSMAMP00000013101	ENSMAMG00000008875	Mastacembelus_armatus	ENSMAMT00000013459
ENSACLP00000031124	ENSACLG00000021066	Astatotilapia_calliptera
ENSLCRP00005058465	ENSLCRG00005021703	Larimichthys_crocea
ENSTRUP00000016913	ENSTRUG00000006893	Takifugu_rubripes
ENSSLDP00000001070	ENSSLDG00000000877	Seriola_lalandi_dorsalis
ENSABRP00000004836	ENSABRG00000004448	Anser_brachyrhynchus
ENSLBEP00000008732	ENSLBEG00000006690	Labrus_bergylta
ENSECRP00000026205	ENSECRG00000017712	Erpetoichthys_calabaricus
ENSLACP00000015992	ENSLACG00000014082	Latimeria_chalumnae
ENSACIP00000030669	ENSACIG00000023717	Amphilophus_citrinellus
ENSFHEP00000020626	ENSFHEG00000022549	Fundulus_heteroclitus
ENSSMAP00000002429	ENSSMAG00000001513	Scophthalmus_maximus
ENSAMXP00005030096	ENSAMXG00005014811	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMMOP00000009178	ENSMMOG00000007099	Mola_mola
ENSCPUP00000013864	ENSCPUG00000009812	Calidris_pugnax
ENSSPAP00000014028	ENSSPAG00000010598	Stegastes_partitus
ENSORLP00015032884	ENSORLG00015017960	Oryzias_latipes_ASM223469v1
ENSKMAP00000021877	ENSKMAG00000016246	Kryptolebias_marmoratus
ENSDNVP00000011987	ENSDNVG00000008458	Dromaius_novaehollandiae
ENSBSLP00000044760	ENSBSLG00000021349	Betta_splendens	ENSBSLT00000049154
ENSTNIP00000022439	ENSTNIG00000019239	Tetraodon_nigroviridis
ENSMALP00000010591	ENSMALG00000007531	Monopterus_albus	ENSMALT00000010815
ENSPNAP00000005866	ENSPNAG00000012022	Pygocentrus_nattereri
