ENSMICP00000004315	ENSMICG00000004734	Microcebus_murinus
ENSVURP00010009927	ENSVURG00010007671	Vombatus_ursinus
ENSSPAP00000015716	ENSSPAG00000011830	Stegastes_partitus
ENSARWP00000005871	ENSARWG00000004181	Apteryx_rowi
ENSCSEP00000017375	ENSCSEG00000011141	Cynoglossus_semilaevis
ENSUPAP00010008406	ENSUPAG00010006736	Urocitellus_parryii
ENSMMOP00000021894	ENSMMOG00000016650	Mola_mola
ENSSBOP00000024906	ENSSBOG00000028867	Saimiri_boliviensis_boliviensis
ENSCINP00000003275	ENSCING00000001631	Ciona_intestinalis
ENSCJPP00005007873	ENSCJPG00005007151	Coturnix_japonica
ENSCHIP00000027579	ENSCHIG00000023427	Capra_hircus
ENSSTOP00000000808	ENSSTOG00000000898	Ictidomys_tridecemlineatus
ENSPVIP00000028692	ENSPVIG00000021208	Pogona_vitticeps
ENSVVUP00000011480	ENSVVUG00000008449	Vulpes_vulpes
ENSMLEP00000017983	ENSMLEG00000033124	Mandrillus_leucophaeus
ENSODEP00000014612	ENSODEG00000010807	Octodon_degus
ENSMZEP00005033498	ENSMZEG00005025019	Maylandia_zebra
ENSGALP00000073324	ENSGALG00000031243	Gallus_gallus
ENSPCIP00000007254	ENSPCIG00000006154	Phascolarctos_cinereus
ENSAMEP00000014633	ENSAMEG00000013860	Ailuropoda_melanoleuca
ENSLOCP00000011321	ENSLOCG00000009275	Lepisosteus_oculatus
ENSPTEP00000001173	ENSPTEG00000001231	Piliocolobus_tephrosceles
ENSBMUP00000004495	ENSBMUG00000003486	Bos_mutus
ENSABRP00000020512	ENSABRG00000017424	Anser_brachyrhynchus
ENSMUGP00000010776	ENSMUGG00000009468	Meriones_unguiculatus
ENSOARP00000002547	ENSOARG00000002397	Ovis_aries
ENSETEP00000013836	ENSETEG00000017047	Echinops_telfairi
ENSCSAP00000003022	ENSCSAG00000006735	Chlorocebus_sabaeus
ENSDORP00000019762	ENSDORG00000006543	Dipodomys_ordii
ENSEEEP00000001545	ENSEEEG00000000996	Electrophorus_electricus
ENSNBRP00000014778	ENSNBRG00000011417	Neolamprologus_brichardi
ENSBSLP00000049154	ENSBSLG00000023174	Betta_splendens
ENSCGRP00000021409	ENSCGRG00000015543	Cricetulus_griseus_CriGri_1.0
ENSMEUP00000007605	ENSMEUG00000008313	Notamacropus_eugenii
ENSCPOP00000003963	ENSCPOG00000004392	Cavia_porcellus
ENSSHAP00000010944	ENSSHAG00000009431	Sarcophilus_harrisii
ENSMFAP00000000712	ENSMFAG00000037503	Macaca_fascicularis
ENSPCAP00000006729	ENSPCAG00000007148	Procavia_capensis
ENSPCOP00000017948	ENSPCOG00000020824	Propithecus_coquereli
ENSP00000297504	ENSG00000197150	Homo_sapiens
ENSBIXP00005008349	ENSBIXG00005013652	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPMAP00000004654	ENSPMAG00000004214	Petromyzon_marinus	ENSPMAT00000004673
ENSSCAP00000012185	ENSSCAG00000009098	Serinus_canaria
ENSSMAP00000030974	ENSSMAG00000018981	Scophthalmus_maximus
ENSTGEP00000005311	ENSTGEG00000004414	Theropithecus_gelada
ENSXMAP00000006357	ENSXMAG00000006347	Xiphophorus_maculatus
ENSHGLP00000014838	ENSHGLG00000010591	Heterocephalus_glaber_HetGla_female_1.0
ENSPLAP00000027503	ENSPLAG00000016699	Poecilia_latipinna
ENSMAUP00000023999	ENSMAUG00000020986	Mesocricetus_auratus
ENSSMRP00000001358	ENSSMRG00000001196	Salvator_merianae
ENSCSAVP00000002233	ENSCSAVG00000001308	Ciona_savignyi
ENSFHEP00000010626	ENSFHEG00000011986	Fundulus_heteroclitus
ENSCJAP00000037650	ENSCJAG00000020233	Callithrix_jacchus
ENSPKIP00000020303	ENSPKIG00000005114	Paramormyrops_kingsleyae
ENSAPOP00000015619	ENSAPOG00000018667	Acanthochromis_polyacanthus
ENSDNOP00000033612	ENSDNOG00000032182	Dasypus_novemcinctus
ENSAPLP00000023923	ENSAPLG00000022316	Anas_platyrhynchos_platyrhynchos
ENSPSMP00000012177	ENSPSMG00000008737	Prolemur_simus
ENSLSDP00000018274	ENSLSDG00000013010	Lonchura_striata_domestica
ENSSLDP00000017350	ENSSLDG00000013646	Seriola_lalandi_dorsalis
ENSSARP00000008276	ENSSARG00000009154	Sorex_araneus
ENSMOCP00000001627	ENSMOCG00000001257	Microtus_ochrogaster
ENSHBUP00000025989	ENSHBUG00000008407	Haplochromis_burtoni
ENSAMXP00005012840	ENSAMXG00005006077	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPMEP00000014796	ENSPMEG00000017221	Poecilia_mexicana
ENSCHOP00000010422	ENSCHOG00000011793	Choloepus_hoffmanni
ENSOMEP00000021385	ENSOMEG00000023254	Oryzias_melastigma
ENSRROP00000029730	ENSRROG00000038648	Rhinopithecus_roxellana
ENSOPRP00000003481	ENSOPRG00000003774	Ochotona_princeps
ENSTNIP00000011331	ENSTNIG00000008493	Tetraodon_nigroviridis
ENSHGLP00100020561	ENSHGLG00100015152	Heterocephalus_glaber_HetGla_1.0
ENSPEMP00000014604	ENSPEMG00000014335	Peromyscus_maniculatus_bairdii
ENSOCUP00000007500	ENSOCUG00000008682	Oryctolagus_cuniculus
ENSECAP00000035848	ENSECAG00000009774	Equus_caballus
ENSXETP00000008241	ENSXETG00000007260	Xenopus_tropicalis	ENSXETT00000019624
ENSCLAP00000001596	ENSCLAG00000001197	Chinchilla_lanigera
ENSMLUP00000013379	ENSMLUG00000014699	Myotis_lucifugus
ENSELUP00000023421	ENSELUG00000022262	Esox_lucius
ENSPPAP00000017741	ENSPPAG00000031904	Pan_paniscus
ENSCCAP00000004906	ENSCCAG00000019976	Cebus_capucinus_imitator
ENSMALP00000031390	ENSMALG00000021666	Monopterus_albus
ENSANAP00000035307	ENSANAG00000035186	Aotus_nancymaae
ENSORLP00020007323	ENSORLG00020008184	Oryzias_latipes_ASM223471v1
ENSJJAP00000008132	ENSJJAG00000012342	Jaculus_jaculus
ENSRNOP00000071952	ENSRNOG00000008557	Rattus_norvegicus
ENSCGRP00001022337	ENSCGRG00001020904	Cricetulus_griseus_CHOK1GS_HDv1
ENSPANP00000004185	ENSPANG00000010540	Papio_anubis
ENSBBBP00000006877	ENSBBBG00000015114	Bison_bison_bison
ENSONIP00000011937	ENSONIG00000009500	Oreochromis_niloticus
ENSAMXP00000013648	ENSAMXG00000013262	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPREP00000011741	ENSPREG00000007968	Poecilia_reticulata
ENSOMEP00000006276	ENSOMEG00000000177	Oryzias_melastigma
ENSFCAP00000012238	ENSFCAG00000013195	Felis_catus
ENSJHYP00000011288	ENSJHYG00000008842	Junco_hyemalis
ENSPNAP00000028884	ENSPNAG00000003242	Pygocentrus_nattereri
ENSTRUP00000007520	ENSTRUG00000003209	Takifugu_rubripes
ENSPPYP00000020386	ENSPPYG00000018180	Pongo_abelii
ENSMPUP00000008023	ENSMPUG00000008082	Mustela_putorius_furo
ENSKMAP00000006001	ENSKMAG00000004537	Kryptolebias_marmoratus
ENSPMJP00000004473	ENSPMJG00000003864	Parus_major
ENSMUSP00000110729	ENSMUSG00000028973	Mus_musculus_strain_reference_(CL57BL6)
ENSSDAP00000021083	ENSSDAG00000019158	Spermophilus_dauricus
ENSORLP00015007248	ENSORLG00015008087	Oryzias_latipes_ASM223469v1
ENSMSIP00000004497	ENSMSIG00000004031	Mus_spicilegus
ENSCAPP00000004736	ENSCAPG00000007188	Cavia_aperea
MGP_CAROLIEiJ_P0066913	MGP_CAROLIEiJ_G0027008	Mus_caroli_strain_CAROLI_EIJ
ENSACAP00000003716	ENSACAG00000003754	Anolis_carolinensis
ENSGWIP00000026752	ENSGWIG00000013995	Gouania_willdenowi
ENSPNYP00000020654	ENSPNYG00000015606	Pundamilia_nyererei
ENSLCOP00000005949	ENSLCOG00000004411	Lepidothrix_coronata
ENSDARP00000073658	ENSDARG00000056672	Danio_rerio
ENSPVAP00000006688	ENSPVAG00000007090	Pteropus_vampyrus
ENSMMUP00000026921	ENSMMUG00000020442	Macaca_mulatta
ENSAOCP00000030132	ENSAOCG00000020931	Amphiprion_ocellaris
ENSCINP00000003293	ENSCING00000022381	Ciona_intestinalis
ENSIPUP00000000172	ENSIPUG00000000144	Ictalurus_punctatus
ENSCATP00000014579	ENSCATG00000031257	Cercocebus_atys
ENSHHUP00000091296	ENSHHUG00000052680	Hucho_hucho
ENSNVIP00000002342	ENSNVIG00000001850	Neovison_vison
ENSGAFP00000031856	ENSGAFG00000021441	Gambusia_affinis
ENSCCNP00000006550	ENSCCNG00000006884	Castor_canadensis
ENSCMIP00000005083	ENSCMIG00000003005	Callorhinchus_milii
ENSOMEP00000014928	ENSOMEG00000016475	Oryzias_melastigma
ENSACLP00000026040	ENSACLG00000017717	Astatotilapia_calliptera
ENSFDAP00000021977	ENSFDAG00000007311	Fukomys_damarensis
ENSSFOP00015014393	ENSSFOG00015009232	Scleropages_formosus
ENSUMAP00000023424	ENSUMAG00000016697	Ursus_maritimus
ENSMAMP00000023823	ENSMAMG00000016011	Mastacembelus_armatus
ENSATEP00000008500	ENSATEG00000005929	Anabas_testudineus
ENSNGAP00000024957	ENSNGAG00000023058	Nannospalax_galili
ENSPTIP00000012689	ENSPTIG00000012586	Panthera_tigris_altaica
ENSPFOP00000013227	ENSPFOG00000013125	Poecilia_formosa
ENSHCOP00000013687	ENSHCOG00000016910	Hippocampus_comes
ENSMMMP00000006904	ENSMMMG00000006147	Marmota_marmota_marmota
ENSOANP00000001202	ENSOANG00000000774	Ornithorhynchus_anatinus
ENSCAFP00020007930	ENSCAFG00020006413	Canis_lupus_dingo
ENSAPEP00000003357	ENSAPEG00000002379	Amphiprion_percula
ENSCVAP00000030192	ENSCVAG00000018587	Cyprinodon_variegatus
ENSCGRP00015009216	ENSCGRG00015007060	Cricetulus_griseus_CriGri-PICR
ENSLAFP00000007372	ENSLAFG00000008773	Loxodonta_africana
ENSSDUP00000024045	ENSSDUG00000017474	Seriola_dumerili
ENSCGOP00000003849	ENSCGOG00000002017	Cottoperca_gobio
ENSCAFP00000007003	ENSCAFG00000004698	Canis_lupus_familiaris
ENSCANP00000022417	ENSCANG00000034633	Colobus_angolensis_palliatus
ENSGAGP00000008841	ENSGAGG00000006937	Gopherus_agassizii
MGP_SPRETEiJ_P0069536	MGP_SPRETEiJ_G0028004	Mus_spretus_strain_SPRET/EiJ
ENSCPBP00000016635	ENSCPBG00000012251	Chrysemys_picta_bellii
ENSRBIP00000000477	ENSRBIG00000002318	Rhinopithecus_bieti
ENSPTRP00000045424	ENSPTRG00000019870	Pan_troglodytes
ENSMUNP00000009229	ENSMUNG00000007281	Melopsittacus_undulatus
ENSFALP00000008673	ENSFALG00000008317	Ficedula_albicollis
ENSEBUP00000011020	ENSEBUG00000007001	Eptatretus_burgeri	ENSEBUT00000011579
ENSLACP00000009643	ENSLACG00000008502	Latimeria_chalumnae	ENSLACT00000009717
ENSNLEP00000044022	ENSNLEG00000004032	Nomascus_leucogenys
ENSUAMP00000029548	ENSUAMG00000022758	Ursus_americanus
ENSGACP00000023755	ENSGACG00000017977	Gasterosteus_aculeatus
ENSLCAP00010010068	ENSLCAG00010004603	Lates_calcarifer
ENSBIXP00000040035	ENSBIXG00000024091	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHCOP00000019623	ENSHCOG00000005214	Hippocampus_comes
ENSGMOP00000003338	ENSGMOG00000003158	Gadus_morhua
ENSSSCP00000070962	ENSSSCG00000027986	Sus_scrofa_strain_reference
ENSPMGP00000018924	ENSPMGG00000015381	Periophthalmus_magnuspinnatus
ENSMODP00000004825	ENSMODG00000003937	Monodelphis_domestica
ENSXCOP00000020024	ENSXCOG00000015030	Xiphophorus_couchianus
ENSLCRP00005052009	ENSLCRG00005019519	Larimichthys_crocea
ENSGGOP00000032295	ENSGGOG00000016858	Gorilla_gorilla
MGP_PahariEiJ_P0048361	MGP_PahariEiJ_G0021781	Mus_pahari_strain_PAHARI_EIJ
ENSTSYP00000029648	ENSTSYG00000032457	Carlito_syrichta
ENSECRP00000002466	ENSECRG00000001688	Erpetoichthys_calabaricus	ENSECRT00000002500
ENSPPRP00000016354	ENSPPRG00000008733	Panthera_pardus
ENSPRNP00000044985	ENSPRNG00000021842	Parambassis_ranga
ENSCMIP00000004388	ENSCMIG00000002487	Callorhinchus_milii	ENSCMIT00000004550
ENSCHAP00000021189	ENSCHAG00000010415	Clupea_harengus
ENSACIP00000024366	ENSACIG00000018908	Amphilophus_citrinellus
ENSMNEP00000041048	ENSMNEG00000043332	Macaca_nemestrina
ENSBTAP00000054696	ENSBTAG00000007759	Bos_taurus
ENSORLP00000021952	ENSORLG00000017547	Oryzias_latipes_ASM223467v1
ENSOGAP00000001578	ENSOGAG00000001769	Otolemur_garnettii
ENSLBEP00000002010	ENSLBEG00000001537	Labrus_bergylta
ENSEASP00005006595	ENSEASG00005004594	Equus_asinus_asinus
ENSTTRP00000000797	ENSTTRG00000000843	Tursiops_truncatus
