ENSCGRP00000002057	ENSCGRG00000001529	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001009988	ENSCGRG00001011992	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015037634	ENSCGRG00015028202	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000029427	ENSPEMG00000030427	Peromyscus_maniculatus_bairdii
ENSMOCP00000009961	ENSMOCG00000010154	Microtus_ochrogaster	ENSMOCT00000013040
ENSMOCP00000002678	ENSMOCG00000002125	Microtus_ochrogaster	ENSMOCT00000002847
ENSMUGP00000010567	ENSMUGG00000009301	Meriones_unguiculatus
ENSMUGP00000015173	ENSMUGG00000013089	Meriones_unguiculatus
ENSMUGP00000007828	ENSMUGG00000007098	Meriones_unguiculatus
ENSMSIP00000000425	ENSMSIG00000000460	Mus_spicilegus
ENSMSIP00000035194	ENSMSIG00000029312	Mus_spicilegus
ENSMSIP00000011795	ENSMSIG00000010287	Mus_spicilegus
ENSMSIP00000021615	ENSMSIG00000018348	Mus_spicilegus
ENSMUSP00000123235	ENSMUSG00000065952	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000131256	ENSMUSG00000058932	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000103740	ENSMUSG00000058174	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000031873	ENSMSIG00000026694	Mus_spicilegus
ENSMSIP00000010465	ENSMSIG00000009183	Mus_spicilegus
ENSRNOP00000066813	ENSRNOG00000033214	Rattus_norvegicus
ENSRNOP00000072058	ENSRNOG00000031483	Rattus_norvegicus
MGP_PahariEiJ_P0038656	MGP_PahariEiJ_G0018734	Mus_pahari_strain_PAHARI_EIJ
MGP_SPRETEiJ_P0034412	MGP_SPRETEiJ_G0018812	Mus_spretus_strain_SPRET/EiJ
ENSCGRP00001000043	ENSCGRG00001000056	Cricetulus_griseus_CHOK1GS_HDv1
ENSSDAP00000022034	ENSSDAG00000020048	Spermophilus_dauricus
ENSCCNP00000003545	ENSCCNG00000003768	Castor_canadensis
ENSPEMP00000035047	ENSPEMG00000030615	Peromyscus_maniculatus_bairdii
ENSCLAP00000006869	ENSCLAG00000004838	Chinchilla_lanigera
ENSEBUP00000007043	ENSEBUG00000004615	Eptatretus_burgeri
